index,branch,branch_memory,device_voltage_V,source_voltage_V,source_current_A,active_area_mean_conductive_state,stable,reachable,atlas_only_reason,nonlinear_iterations,jv_evaluations,residual_evaluations,solver_wall_time_s,stability_wall_time_s,rightmost_spectral_abscissa_per_s,tau_lambda_per_s
0,up,1.0,0.0,0.0,0.0,0.17001295306415276,True,True,,0,0,2,0.008044800022616982,8.91747700003907,-906449.2569821896,4153.225806451613
1,up,1.0,1.0,1.597831964196512,4.981933034970933e-05,0.17481206686473097,True,True,,2,6,16,0.04773819993715733,8.04654820007272,-951264.2506699776,4153.225806451613
2,up,1.0,2.0,3.3587034257476938,0.00011322528547897447,0.19268672762242806,True,True,,3,11,27,0.07369140000082552,6.6743315000785515,-1206083.756662562,4153.225806451613
3,up,1.0,3.0,6.2003051824262645,0.0002666920985355221,0.2601172078476256,True,True,,5,33,73,0.19038759998511523,5.182151600020006,-1287866.0403304785,4153.225806451613
4,up,1.0,3.0625,8.455068523401096,0.00044938071028342456,0.3415561624260767,False,False,marginal_or_unstable,3,34,73,0.19998709997162223,4.305384899955243,781719.0938429378,4153.225806451613
5,up,1.0,3.09375,7.754798160081628,0.00038842068000680233,0.31556762715348374,False,False,marginal_or_unstable,9,75,161,0.41892560000997037,5.519675599993207,43141.938855662556,4153.225806451613
6,up,1.0,3.087045484566202,7.079641879002501,0.00033271636620302487,0.2906816001250119,True,False,source_direction_reversal,3,22,48,0.14580870000645518,5.807067299960181,-686085.4320464603,4153.225806451613
7,up,1.0,3.029630925071061,6.406506119528037,0.00028140626620474797,0.2669941905220743,True,False,source_direction_reversal,3,18,40,0.10592919995542616,5.091440599993803,-1197359.4518921035,4153.225806451613
8,up,1.0,2.903996080615321,5.7059213636093205,0.0002334937735828333,0.24457914387426455,True,False,source_direction_reversal,3,15,34,0.10568040004000068,5.300224700011313,-1495561.2679144898,4153.225806451613
9,up,1.0,2.683727097105276,4.936148982538297,0.00018770182378608508,0.22349183886754767,True,False,source_direction_reversal,4,26,57,0.14612779999151826,5.733132800087333,-1783290.3813493194,4153.225806451613
10,up,1.0,2.3222327237651887,4.026640183910029,0.00014203395501207,0.2037783197975324,True,False,source_direction_reversal,4,23,51,0.15294360008556396,7.240942500066012,-1557054.001486096,4153.225806451613
11,up,1.0,1.7088413799618472,2.8122333486250604,9.194933072193445e-05,0.18551044611670084,True,False,source_direction_reversal,4,18,41,0.12913979997392744,7.4003795000026,-1081358.928396061,4153.225806451613
12,up,1.0,1.196398298491059,1.9232445588089997,6.057052169316172e-05,0.17702872032626124,True,False,source_direction_reversal,4,18,41,0.11910779995378107,6.256215400062501,-974373.996010948,4153.225806451613
13,up,1.0,0.8072251885664461,1.2837883494722246,3.9713596742148206e-05,0.17308895803728097,True,False,source_direction_reversal,4,17,39,0.10476270003709942,6.626373299979605,-934403.1568018477,4153.225806451613
14,up,1.0,0.020572388348104317,0.03244738667789712,9.895831941494001e-07,0.1700148925928446,True,False,source_direction_reversal,6,25,57,0.13430439995136112,7.24033739999868,-906466.0777883716,4153.225806451613
