model,split,mean_temperature_rise_relative_l2,mean_potential_relative_l2,mean_joint_field_score,mean_terminal_current_relative_error,mean_energy_ledger_relative_error,mean_interface_flux_mismatch,mean_local_current_cv_residual_p95,mean_local_energy_cv_residual_p95,mean_hotspot_coordinate_error_width_fraction,case_count,complete_case_pass_count,all_finite
B0-R,test,0.20618898857318324,0.041266725648890015,0.12372785711103662,35.92964386600481,0.7713740051429464,1.2962611292364326,0.2669549972533184,31.542761420197962,0.7690338797718088,2,0,True
B1-R,test,0.9443786919739303,0.26452240861076814,0.6044505502923493,0.8964964292634114,0.9995040176502433,0.1036350725242057,7.501715397929923e-05,0.09455017262686125,0.37,2,0,True
P0-RCV,test,0.619322700736056,0.18294404004151915,0.4011333703887876,0.891355391804025,0.8735793432846559,0.10294916252470704,0.004963764618194464,0.9469611492777803,0.35071337695236404,2,0,True
B0-R,validation,0.2556188266043211,0.05360046461424654,0.1546096456092838,14.870314958029889,0.6956876953701145,1.336284207192615,0.248221785475917,43.801496532951035,0.21000000000000002,2,0,True
B1-R,validation,0.9722972622775397,0.26470652843437564,0.6185018953559576,0.9445280128838691,0.9995042536504429,0.08665338037084275,4.909110634418832e-05,0.09454778139960057,0.37,2,0,True
P0-RCV,validation,0.7839239547107832,0.1860673665520248,0.48499566063140404,0.941737538502766,0.560561801981383,0.10480910228635625,0.004960906827106627,0.48435139749108747,0.35071337695236404,2,0,True
