audit_stage,comparator_depth_m,formal_case,frequency_state_space_relative_error,grid_family,grid_level,impulse_integral_relative_error,impulse_step_derivative_relative_error,maximum_pole_real_per_s,minimum_capacity_J_m2K,minimum_conductance_matrix_eigenvalue_W_m2K,minimum_physical_conductance_W_m2K,minimum_real_admittance_relative_margin,pair_depth_pass,pair_foundation_pass,pair_id,pair_pass,passed,physical_depth_m,production_depth_m,raw_unnormalized,region,step_DC_relative_error,step_initial_relative_error,voting
raw_foundation,0.0001024,False,2.6482751660586168e-12,formal_window_pullback,fine,1.0056347997267566e-15,2.297361164751362e-11,-10969.533073946934,0.002203125,102850.29969208775,9.313225746154785e-10,0.6586149127095842,False,True,primary_51p2um_vs_102p4um,False,True,0.0001024,5.12e-05,True,electrode_covered_vo2,0.0,1.005631968090949e-15,False
raw_foundation,0.0002048,False,2.733181684399723e-14,inherited_raw,coarse,8.174426122588491e-16,2.8631800725602206e-15,-10935.557461733813,0.005625,205276.80663681185,4.656612873077393e-10,0.6879198668063047,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0001024,0.0001024,True,bare_vo2,0.0,8.174351283482142e-16,False
raw_foundation,0.0002048,False,1.3065119371035007e-14,inherited_raw,fine,0.0,2.7805708711789217e-14,-10969.533073946934,0.0028125,102850.29969208775,9.313225746154785e-10,0.6876185546587181,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0001024,0.0001024,True,bare_vo2,0.0,0.0,False
raw_foundation,0.0002048,False,3.943119656540397e-14,inherited_raw,coarse,1.4305180230012037e-15,2.2110055867277216e-14,-2733.7922064977292,0.005625,103044.218458062,4.656612873077393e-10,0.70708357130536,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0002048,0.0001024,True,bare_vo2,0.0,1.430511474609375e-15,False
raw_foundation,0.0002048,False,1.1098531788714156e-14,inherited_raw,fine,0.0,2.1343920790900207e-14,-2742.3581928188228,0.0028125,51629.31533584492,4.656612873077393e-10,0.7070757220557727,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0002048,0.0001024,True,bare_vo2,0.0,0.0,False
raw_foundation,0.0002048,False,1.0144830640327077e-14,inherited_raw,coarse,1.2570470392231396e-16,5.757204509687471e-14,-10935.557461733813,0.00440625,205276.80663681185,4.656612873077393e-10,0.5229439666929196,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0001024,0.0001024,True,electrode_covered_vo2,0.0,1.2570399601136864e-16,False
raw_foundation,0.0002048,False,4.066543025454806e-14,inherited_raw,fine,1.0056347997267566e-15,1.2281236429005117e-13,-10969.533073946934,0.002203125,102850.29969208775,9.313225746154785e-10,0.5229336142179711,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0001024,0.0001024,True,electrode_covered_vo2,0.0,1.005631968090949e-15,False
raw_foundation,0.0002048,False,2.4727034470470434e-14,inherited_raw,coarse,1.1313391496926017e-15,6.760151927873241e-14,-2733.7922064977292,0.00440625,103044.218458062,4.656612873077393e-10,0.5229427158948542,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0002048,0.0001024,True,electrode_covered_vo2,0.0,1.1313359641023176e-15,False
raw_foundation,0.0002048,False,4.6244050653387515e-14,inherited_raw,fine,1.131337556895217e-15,9.937023139374474e-14,-2742.3581928188228,0.002203125,51629.31533584492,4.656612873077393e-10,0.5229332999492283,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0002048,0.0001024,True,electrode_covered_vo2,0.0,1.1313359641023176e-15,False
raw_foundation,0.0002048,False,1.2708767671695182e-12,formal_window_pullback,coarse,8.174426122588491e-16,3.310234023198553e-11,-10935.557461733813,0.005625,205276.80663681185,4.656612873077393e-10,0.6876526867223753,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0001024,0.0001024,True,bare_vo2,0.0,8.174351283482142e-16,False
raw_foundation,0.0002048,False,8.657125967093499e-13,formal_window_pullback,fine,0.0,4.714682496023998e-12,-10969.533073946934,0.0028125,102850.29969208775,9.313225746154785e-10,0.6873286046629687,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0001024,0.0001024,True,bare_vo2,0.0,0.0,False
raw_foundation,0.0002048,False,2.8152309998296655e-12,formal_window_pullback,coarse,1.4305180230012037e-15,6.527304022606066e-11,-2733.7922064977292,0.005625,103044.218458062,4.656612873077393e-10,0.6887908707153559,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0002048,0.0001024,True,bare_vo2,0.0,1.430511474609375e-15,False
raw_foundation,0.0002048,False,9.484079746061021e-13,formal_window_pullback,fine,0.0,1.7411019765617496e-11,-2742.3581928188228,0.0028125,51629.31533584492,4.656612873077393e-10,0.6883852351645869,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0002048,0.0001024,True,bare_vo2,0.0,0.0,False
raw_foundation,0.0002048,False,5.912923279303076e-13,formal_window_pullback,coarse,1.2570470392231396e-16,3.319002126964921e-11,-10935.557461733813,0.00440625,205276.80663681185,4.656612873077393e-10,0.6822643555341503,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0001024,0.0001024,True,electrode_covered_vo2,0.0,1.2570399601136864e-16,False
raw_foundation,0.0002048,False,5.552469002393039e-12,formal_window_pullback,fine,1.0056347997267566e-15,6.864478983178493e-12,-10969.533073946934,0.002203125,102850.29969208775,9.313225746154785e-10,0.6822803780493306,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0001024,0.0001024,True,electrode_covered_vo2,0.0,1.005631968090949e-15,False
raw_foundation,0.0002048,False,3.360476459452812e-12,formal_window_pullback,coarse,1.1313391496926017e-15,6.527268861343956e-11,-2733.7922064977292,0.00440625,103044.218458062,4.656612873077393e-10,0.6822640818838089,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0002048,0.0001024,True,electrode_covered_vo2,0.0,1.1313359641023176e-15,False
raw_foundation,0.0002048,False,6.0225276298743435e-12,formal_window_pullback,fine,1.131337556895217e-15,9.210027920500988e-12,-2742.3581928188228,0.002203125,51629.31533584492,4.656612873077393e-10,0.6822803090765865,False,True,conditional_maximum_102p4um_vs_204p8um,False,True,0.0002048,0.0001024,True,electrode_covered_vo2,0.0,1.1313359641023176e-15,False
