absolute_frequency_log_magnitude_error,axis,candidate_frequency_imag_W_m2K,candidate_frequency_real_W_m2K,comparator_depth_m,comparison_role,effective_coordinate,formal_case,frequency_cumulative_rmse,frequency_log_magnitude_error,frequency_squared_rmse_contribution,grid_family,impulse_error,pair_id,production_depth_m,raw_coordinate,raw_unnormalized,reference_frequency_imag_W_m2K,reference_frequency_real_W_m2K,region,step_error,voting
,time,,,0.0001024,mesh_D,9.569720445237278e-10,False,,,,inherited_raw,0.0002469557166125588,primary_51p2um_vs_102p4um,5.12e-05,9.569720445237278e-10,True,,,bare_vo2,-3.0837307063642996e-06,False
,time,,,0.0001024,mesh_D,1.0535123833759663e-09,False,,,,inherited_raw,0.00021440607037594224,primary_51p2um_vs_102p4um,5.12e-05,1.0535123833759663e-09,True,,,bare_vo2,-2.9417640931544853e-06,False
,time,,,0.0001024,mesh_D,1.1597918123918484e-09,False,,,,inherited_raw,0.0001860970381197621,primary_51p2um_vs_102p4um,5.12e-05,1.1597918123918484e-09,True,,,bare_vo2,-2.8060933311806558e-06,False
,time,,,0.0001024,mesh_D,1.276792821153902e-09,False,,,,inherited_raw,0.0001614869213561017,primary_51p2um_vs_102p4um,5.12e-05,1.276792821153902e-09,True,,,bare_vo2,-2.676472048361055e-06,False
,time,,,0.0001024,mesh_D,1.4055970138193724e-09,False,,,,inherited_raw,0.00014010085502562028,primary_51p2um_vs_102p4um,5.12e-05,1.4055970138193724e-09,True,,,bare_vo2,-2.552658851105291e-06,False
,time,,,0.0001024,mesh_D,1.5473951079019933e-09,False,,,,inherited_raw,0.00012152308567496549,primary_51p2um_vs_102p4um,5.12e-05,1.5473951079019933e-09,True,,,bare_vo2,-2.434417968265436e-06,False
,time,,,0.0001024,mesh_D,1.7034979417413059e-09,False,,,,inherited_raw,0.00010539001783188387,primary_51p2um_vs_102p4um,5.12e-05,1.7034979417413059e-09,True,,,bare_vo2,-2.3215197572114195e-06,False
,time,,,0.0001024,mesh_D,1.875348592416942e-09,False,,,,inherited_raw,9.138400287738769e-05,primary_51p2um_vs_102p4um,5.12e-05,1.875348592416942e-09,True,,,bare_vo2,-2.2137410826518294e-06,False
,time,,,0.0001024,mesh_D,2.064535716130781e-09,False,,,,inherited_raw,7.922778564708799e-05,primary_51p2um_vs_102p4um,5.12e-05,2.064535716130781e-09,True,,,bare_vo2,-2.1108655792826263e-06,False
,time,,,0.0001024,mesh_D,2.2728082343807885e-09,False,,,,inherited_raw,6.867955460760357e-05,primary_51p2um_vs_102p4um,5.12e-05,2.2728082343807885e-09,True,,,bare_vo2,-2.0126838300835685e-06,False
,time,,,0.0001024,mesh_D,2.5020915016913615e-09,False,,,,inherited_raw,5.952856508786499e-05,primary_51p2um_vs_102p4um,5.12e-05,2.5020915016913615e-09,True,,,bare_vo2,-1.9189934753672548e-06,False
,time,,,0.0001024,mesh_D,2.754505104361231e-09,False,,,,inherited_raw,5.159127206535099e-05,primary_51p2um_vs_102p4um,5.12e-05,2.754505104361231e-09,True,,,bare_vo2,-1.8295992518454477e-06,False
,time,,,0.0001024,mesh_D,3.0323824547676364e-09,False,,,,inherited_raw,4.470790879880892e-05,primary_51p2um_vs_102p4um,5.12e-05,3.0323824547676364e-09,True,,,bare_vo2,-1.7443129781815713e-06,False
,time,,,0.0001024,mesh_D,3.338292362364307e-09,False,,,,inherited_raw,3.8739476727265496e-05,primary_51p2um_vs_102p4um,5.12e-05,3.338292362364307e-09,True,,,bare_vo2,-1.6629535050267192e-06,False
,time,,,0.0001024,mesh_D,3.6750627807842904e-09,False,,,,inherited_raw,3.35651062112488e-05,primary_51p2um_vs_102p4um,5.12e-05,3.6750627807842904e-09,True,,,bare_vo2,-1.585346628053693e-06,False
,time,,,0.0001024,mesh_D,4.0458069505753115e-09,False,,,,inherited_raw,2.907973647905392e-05,primary_51p2um_vs_102p4um,5.12e-05,4.0458069505753115e-09,True,,,bare_vo2,-1.5113249673302946e-06,False
,time,,,0.0001024,mesh_D,4.453952179241496e-09,False,,,,inherited_raw,2.5192080064152393e-05,primary_51p2um_vs_102p4um,5.12e-05,4.453952179241496e-09,True,,,bare_vo2,-1.4407278285374265e-06,False
,time,,,0.0001024,mesh_D,4.9032715246458114e-09,False,,,,inherited_raw,2.1822845557806287e-05,primary_51p2um_vs_102p4um,5.12e-05,4.9032715246458114e-09,True,,,bare_vo2,-1.3734010490301234e-06,False
,time,,,0.0001024,mesh_D,5.3979186746672375e-09,False,,,,inherited_raw,1.8903183966339485e-05,primary_51p2um_vs_102p4um,5.12e-05,5.3979186746672375e-09,True,,,bare_vo2,-1.3091968250362235e-06,False
,time,,,0.0001024,mesh_D,5.942466345554065e-09,False,,,,inherited_raw,1.6373328719100057e-05,primary_51p2um_vs_102p4um,5.12e-05,5.942466345554065e-09,True,,,bare_vo2,-1.2479735289111172e-06,False
,time,,,0.0001024,mesh_D,6.541948553943253e-09,False,,,,inherited_raw,1.4181410278568415e-05,primary_51p2um_vs_102p4um,5.12e-05,6.541948553943253e-09,True,,,bare_vo2,-1.1895955235953945e-06,False
,time,,,0.0001024,mesh_D,7.201907153325238e-09,False,,,,inherited_raw,1.2282424236671602e-05,primary_51p2um_vs_102p4um,5.12e-05,7.201907153325238e-09,True,,,bare_vo2,-1.1339329698267585e-06,False
,time,,,0.0001024,mesh_D,7.928443065155773e-09,False,,,,inherited_raw,1.0637330464348496e-05,primary_51p2um_vs_102p4um,5.12e-05,7.928443065155773e-09,True,,,bare_vo2,-1.0808616278225782e-06,False
,time,,,0.0001024,mesh_D,8.728272678215934e-09,False,,,,inherited_raw,9.212268228548677e-06,primary_51p2um_vs_102p4um,5.12e-05,8.728272678215934e-09,True,,,bare_vo2,-1.0302626614549135e-06,False
,time,,,0.0001024,mesh_D,9.608789937598425e-09,False,,,,inherited_raw,7.977874591096637e-06,primary_51p2um_vs_102p4um,5.12e-05,9.608789937598425e-09,True,,,bare_vo2,-9.820224435240617e-07,False
,time,,,0.0001024,mesh_D,1.0578134697295563e-08,False,,,,inherited_raw,6.908691177778972e-06,primary_51p2um_vs_102p4um,5.12e-05,1.0578134697295563e-08,True,,,bare_vo2,-9.360323590688551e-07,False
,time,,,0.0001024,mesh_D,1.1645267968267726e-08,False,,,,inherited_raw,5.98264746043071e-06,primary_51p2um_vs_102p4um,5.12e-05,1.1645267968267726e-08,True,,,bare_vo2,-8.921886123154109e-07,False
,time,,,0.0001024,mesh_D,1.282005475761557e-08,False,,,,inherited_raw,5.1806123499745315e-06,primary_51p2um_vs_102p4um,5.12e-05,1.282005475761557e-08,True,,,bare_vo2,-8.503920394693651e-07,False
,time,,,0.0001024,mesh_D,1.4113355264654335e-08,False,,,,inherited_raw,4.4860050067508935e-06,primary_51p2um_vs_102p4um,5.12e-05,1.4113355264654335e-08,True,,,bare_vo2,-8.105479231229623e-07,False
,time,,,0.0001024,mesh_D,1.5537125276943297e-08,False,,,,inherited_raw,3.8844561621453846e-06,primary_51p2um_vs_102p4um,5.12e-05,1.5537125276943297e-08,True,,,bare_vo2,-7.725658098974605e-07,False
,time,,,0.0001024,mesh_D,1.7104526694371618e-08,False,,,,inherited_raw,3.363514093951009e-06,primary_51p2um_vs_102p4um,5.12e-05,1.7104526694371618e-08,True,,,bare_vo2,-7.363593354727375e-07,False
,time,,,0.0001024,mesh_D,1.883004920302924e-08,False,,,,inherited_raw,2.91238989524529e-06,primary_51p2um_vs_102p4um,5.12e-05,1.883004920302924e-08,True,,,bare_vo2,-7.018460543485753e-07,False
,time,,,0.0001024,mesh_D,2.0729644223664843e-08,False,,,,inherited_raw,2.5217361800734105e-06,primary_51p2um_vs_102p4um,5.12e-05,2.0729644223664843e-08,True,,,bare_vo2,-6.689472726328415e-07,False
,time,,,0.0001024,mesh_D,2.282087237300428e-08,False,,,,inherited_raw,2.183454844306062e-06,primary_51p2um_vs_102p4um,5.12e-05,2.282087237300428e-08,True,,,bare_vo2,-6.375878875839402e-07,False
,time,,,0.0001024,mesh_D,2.5123065801120556e-08,False,,,,inherited_raw,1.890530605358235e-06,primary_51p2um_vs_102p4um,5.12e-05,2.5123065801120556e-08,True,,,bare_vo2,-6.076962338534818e-07,False
,time,,,0.0001024,mesh_D,2.765750690556716e-08,False,,,,inherited_raw,1.6368866834049622e-06,primary_51p2um_vs_102p4um,5.12e-05,2.765750690556716e-08,True,,,bare_vo2,-5.792039332941695e-07,False
,time,,,0.0001024,mesh_D,3.044762507437992e-08,False,,,,inherited_raw,1.4172594210730338e-06,primary_51p2um_vs_102p4um,5.12e-05,3.044762507437992e-08,True,,,bare_vo2,-5.52045750048322e-07,False
,time,,,0.0001024,mesh_D,3.351921327671813e-08,False,,,,inherited_raw,1.2270896552574022e-06,primary_51p2um_vs_102p4um,5.12e-05,3.351921327671813e-08,True,,,bare_vo2,-5.261594528243281e-07,False
,time,,,0.0001024,mesh_D,3.6900666503395486e-08,False,,,,inherited_raw,1.0624286909917963e-06,primary_51p2um_vs_102p4um,5.12e-05,3.6900666503395486e-08,True,,,bare_vo2,-5.014856817427228e-07,False
,time,,,0.0001024,mesh_D,4.0623244261541147e-08,False,,,,inherited_raw,9.198566799975544e-07,primary_51p2um_vs_102p4um,5.12e-05,4.0623244261541147e-08,True,,,bare_vo2,-4.779678192065195e-07,False
,time,,,0.0001024,mesh_D,4.472135954999584e-08,False,,,,inherited_raw,7.964118330543651e-07,primary_51p2um_vs_102p4um,5.12e-05,4.472135954999584e-08,True,,,bare_vo2,-4.5555186720934575e-07,False
,time,,,0.0001024,mesh_D,4.923289698684758e-08,False,,,,inherited_raw,6.895291891727313e-07,primary_51p2um_vs_102p4um,5.12e-05,4.923289698684758e-08,True,,,bare_vo2,-4.341863300776772e-07,False
,time,,,0.0001024,mesh_D,5.4199563030005664e-08,False,,,,inherited_raw,5.969875412328097e-07,primary_51p2um_vs_102p4um,5.12e-05,5.4199563030005664e-08,True,,,bare_vo2,-4.138221006871198e-07,False
,time,,,0.0001024,mesh_D,5.966727152839145e-08,False,,,,inherited_raw,5.168633739776811e-07,primary_51p2um_vs_102p4um,5.12e-05,5.966727152839145e-08,True,,,bare_vo2,-3.9441235175575964e-07,False
,time,,,0.0001024,mesh_D,6.56865681679356e-08,False,,,,inherited_raw,4.4749100524016024e-07,primary_51p2um_vs_102p4um,5.12e-05,6.56865681679356e-08,True,,,bare_vo2,-3.759124328122467e-07,False
,time,,,0.0001024,mesh_D,7.231309773613115e-08,False,,,,inherited_raw,3.874280895618295e-07,primary_51p2um_vs_102p4um,5.12e-05,7.231309773613115e-08,True,,,bare_vo2,-3.582797707380374e-07,False
,time,,,0.0001024,mesh_D,7.960811852472228e-08,False,,,,inherited_raw,3.3542568324786317e-07,primary_51p2um_vs_102p4um,5.12e-05,7.960811852472228e-08,True,,,bare_vo2,-3.414737740711291e-07,False
,time,,,0.0001024,mesh_D,8.763906862587261e-08,False,,,,inherited_raw,2.9040231319568937e-07,primary_51p2um_vs_102p4um,5.12e-05,8.763906862587261e-08,True,,,bare_vo2,-3.254557425006105e-07,False
,time,,,0.0001024,mesh_D,9.648018935688301e-08,False,,,,inherited_raw,2.514215551083229e-07,primary_51p2um_vs_102p4um,5.12e-05,9.648018935688301e-08,True,,,bare_vo2,-3.101887802867574e-07,False
,time,,,0.0001024,mesh_D,1.0621321157664618e-07,False,,,,inherited_raw,2.1767259556189374e-07,primary_51p2um_vs_102p4um,5.12e-05,1.0621321157664618e-07,True,,,bare_vo2,-2.956377125978745e-07,False
,time,,,0.0001024,mesh_D,1.1692811123841961e-07,False,,,,inherited_raw,1.8845337598422236e-07,primary_51p2um_vs_102p4um,5.12e-05,1.1692811123841961e-07,True,,,bare_vo2,-2.817690060745129e-07,False
,time,,,0.0001024,mesh_D,1.2872394116355296e-07,False,,,,inherited_raw,1.6315601720420317e-07,primary_51p2um_vs_102p4um,5.12e-05,1.2872394116355296e-07,True,,,bare_vo2,-2.685506934899561e-07,False
,time,,,0.0001024,mesh_D,1.417097467254174e-07,False,,,,inherited_raw,1.4125420131066452e-07,primary_51p2um_vs_102p4um,5.12e-05,1.417097467254174e-07,True,,,bare_vo2,-2.5595230104502853e-07,False
,time,,,0.0001024,mesh_D,1.5600557390848356e-07,False,,,,inherited_raw,1.222922248590789e-07,primary_51p2um_vs_102p4um,5.12e-05,1.5600557390848356e-07,True,,,bare_vo2,-2.439447788264304e-07,False
,time,,,0.0001024,mesh_D,1.717435790614535e-07,False,,,,inherited_raw,1.058755247214754e-07,primary_51p2um_vs_102p4um,5.12e-05,1.717435790614535e-07,True,,,bare_vo2,-2.325004351439591e-07,False
,time,,,0.0001024,mesh_D,1.890692506034477e-07,False,,,,inherited_raw,9.166248562462134e-08,primary_51p2um_vs_102p4um,5.12e-05,1.890692506034477e-07,True,,,bare_vo2,-2.2159287356549741e-07,False
,time,,,0.0001024,mesh_D,2.0814275397718506e-07,False,,,,inherited_raw,7.935733618973536e-08,primary_51p2um_vs_102p4um,5.12e-05,2.0814275397718506e-07,True,,,bare_vo2,-2.1119693230417663e-07,False
,time,,,0.0001024,mesh_D,2.291404122824451e-07,False,,,,inherited_raw,6.870399324180136e-08,primary_51p2um_vs_102p4um,5.12e-05,2.291404122824451e-07,True,,,bare_vo2,-2.0128862689355445e-07,False
