case_id,split,reconstruction_relative_error,a1,a2
g010nm_cooling_high_localized-sink,train,0.0029071188198608417,-30.85999164339642,2.07333558517443
g010nm_cooling_high_nominal,train,0.001829573551121373,-33.057753678477496,-2.19977889145769
g010nm_cooling_low_localized-sink,train,0.013347911960596549,20.155537862375834,-0.0070030365541491335
g010nm_cooling_low_nominal,train,0.010639452357108593,19.966361939648436,-0.362457051123946
g010nm_cooling_near-transition_localized-sink,train,0.0034338742714961614,-0.31118329794697824,1.9878442924362885
g010nm_cooling_near-transition_nominal,train,0.0016955586612743693,-1.9810451018147588,-1.1559751837636278
g010nm_heating_high_localized-sink,train,0.002335209178537949,-26.93411380356802,2.1599477710951875
g010nm_heating_high_nominal,train,0.0010062683937002391,-29.21583440632854,-2.0941212427663
g010nm_heating_low_localized-sink,train,0.019111872073187916,20.714337359142743,-0.10013816375371842
g010nm_heating_low_nominal,train,0.017173846099200495,20.58661594113733,-0.3399486534167009
g010nm_heating_near-transition_localized-sink,train,0.004517093505228457,7.685576100775693,1.4986969546685518
g010nm_heating_near-transition_nominal,train,0.0017509248034760696,6.438731162338874,-0.8547405832947532
g020nm_cooling_high_localized-sink,train,0.004268581999680951,-30.922271553634147,1.9911932854683982
g020nm_cooling_low_localized-sink,train,0.009924721321003737,20.150681366682996,-0.010908016217657135
g020nm_cooling_low_nominal,train,0.011461833633381678,19.95903849140403,-0.3611204787521851
g020nm_cooling_near-transition_nominal,train,0.002436153833087518,-2.034803447906145,-1.150660930141017
g020nm_heating_high_nominal,train,0.00219408241629429,-29.28530926664053,-2.1015218529203077
g020nm_heating_low_localized-sink,train,0.01635418786032483,20.71106222574067,-0.10274938913828979
g020nm_heating_low_nominal,train,0.017984895746321772,20.58163053224704,-0.3390247413008076
g020nm_heating_near-transition_localized-sink,train,0.0060473782112104935,7.652733218219403,1.4691303257582913
