seed,split,case_id,contact_overlap_nm,mode,temperature_rise_relative_l2,potential_relative_l2,joint_field_score,terminal_current_relative_error,predicted_terminal_current_A,reference_terminal_current_A,hotspot_coordinate_error_width_fraction,true_fixed_point_defect,sigma_defect,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,energy_ledger_error,projection_count,main_linear_solve_count,diagnostic_projection_count,diagnostic_linear_solve_count,diagnostic_included_in_timing,median_wall_time_s,timing_repeats,finite,practical_case_pass,nonlinear_iteration_count,practical_gate_role
baseline,train,g010nm_cooling_high_localized-sink,10.0,COLD,5.595126454373452e-15,8.431260869200724e-16,3.219126270646762e-15,2.447487414138121e-15,0.004252663689192514,0.004252663689192504,0.0,5.70898409107161e-09,2.6896409805414026e-10,2.447487414138115e-15,5.045348429545346e-09,5.045348429545346e-09,42,85,1,2,False,0.18447805001051165,10,True,True,42,reference_baseline_nonvoting
baseline,train,g010nm_cooling_high_localized-sink,10.0,A1,0.009405942625625736,0.0020354894047090867,0.005720716015167411,0.004260389615862903,0.004270781693413697,0.004252663689192504,0.0,0.009272154669312131,0.00041028054766018875,4.0618406664336376e-15,5.144998177482629e-15,5.144998177482629e-15,1,2,1,2,False,0.005950500009930693,20,True,True,0,admission_metric
baseline,train,g010nm_cooling_high_localized-sink,10.0,A2,0.0002131851182681809,6.047948105042453e-05,0.00013683229965930272,0.00017966958724119713,0.0042534277635222165,0.004252663689192504,0.0,0.00020642891923543404,9.756770104900115e-06,1.90325936428303e-15,5.165989703053938e-15,5.165989703053938e-15,2,4,1,2,False,0.01048964999790769,20,True,True,0,admission_metric
baseline,train,g010nm_cooling_high_localized-sink,10.0,R0,0.22496026681968448,0.0005665004897692895,0.11276338365472688,0.009322752770071972,0.0042130171570039,0.004252663689192504,0.0,0.21768052487339784,0.009732275792195341,5.490043236094042e-16,0.198825966974053,0.198825966974053,0,1,1,2,False,0.004041200008941814,20,True,False,0,admission_metric
baseline,train,g010nm_cooling_high_localized-sink,10.0,R1,0.00968477944080399,0.0005665004897692895,0.00512563996528664,0.009322752770071972,0.0042130171570039,0.004252663689192504,0.0,0.009252293145044175,0.0004075380621471026,5.490043236094042e-16,5.7645453978987445e-15,5.7645453978987445e-15,1,2,1,2,False,0.005161849985597655,20,True,True,0,admission_metric
baseline,train,g010nm_cooling_high_localized-sink,10.0,R2,0.00043933701713802715,6.300232817262822e-06,0.00022281862497764497,0.0003918038891114644,0.004250997479019995,0.004252663689192504,0.0,0.0004197980537757975,1.8387710843311495e-05,1.2242233625436463e-15,5.0329182682349956e-15,5.0329182682349956e-15,2,4,1,2,False,0.010165799976675771,20,True,True,0,admission_metric
baseline,train,g010nm_cooling_high_nominal,10.0,COLD,5.976985990518598e-15,1.4052327316289635e-15,3.69110936107378e-15,4.056179936271058e-15,0.004276741917843941,0.0042767419178439585,0.8590692637965813,5.891722739082255e-09,2.804138177486133e-10,2.70411995751405e-16,5.6512134759826064e-09,5.6512134759826064e-09,38,77,1,2,False,0.21280349999142345,10,True,True,38,reference_baseline_nonvoting
baseline,train,g010nm_cooling_high_nominal,10.0,A1,0.001585731317728349,0.0003418301778562119,0.0009637807477922805,0.0013936366852986552,0.004270781693413697,0.0042767419178439585,0.8590692637965813,0.0015427883656668542,7.415893493147473e-05,4.0618406664336376e-15,5.821971621888238e-15,5.821971621888238e-15,1,2,1,2,False,0.005692350008757785,20,True,True,0,admission_metric
baseline,train,g010nm_cooling_high_nominal,10.0,A2,7.017315538772606e-05,1.0391909400710858e-05,4.028253239421846e-05,6.483405068274085e-05,0.0042764646393417,0.0042767419178439585,0.8590692637965813,6.765839666529587e-05,3.2170642723766223e-06,3.921228167501107e-15,5.814234869053387e-15,5.814234869053387e-15,2,4,1,2,False,0.011726600001566112,20,True,True,0,admission_metric
baseline,train,g010nm_cooling_high_nominal,10.0,R0,0.25042537953383553,0.0005690328400862327,0.1254972061869609,0.01169614677035753,0.004226720516673915,0.0042767419178439585,0.19697715603592209,0.24175839724177517,0.011829977517471602,1.9152854297533497e-15,0.2353200313509466,0.2353200313509466,0,1,1,2,False,0.004700549994595349,20,True,False,0,admission_metric
baseline,train,g010nm_cooling_high_nominal,10.0,R1,0.011941677374061712,0.0005690328400862327,0.006255355107073972,0.01169614677035753,0.004226720516673915,0.0042767419178439585,0.19697715603592209,0.011405508889759018,0.000544918046391886,1.9152854297533497e-15,6.019468493510539e-15,6.019468493510539e-15,1,2,1,2,False,0.00551755000196863,20,True,True,0,admission_metric
baseline,train,g010nm_cooling_high_nominal,10.0,R2,0.0005501497604847316,1.370739013193151e-05,0.00028192857530833155,0.0005433778984672733,0.004274418030808354,0.0042767419178439585,0.19697715603592209,0.0005247595922752424,2.5088227430183062e-05,1.8939130807695357e-15,5.8170187480778704e-15,5.8170187480778704e-15,2,4,1,2,False,0.012144549997174181,20,True,True,0,admission_metric
