mode_index,singular_value,energy_fraction,cumulative_energy,selected
1,94.44570898146534,0.9956502825524451,0.9956502825524451,True
2,6.231339481800579,0.004334162432333278,0.9999844449847785,True
3,0.3138047884036965,1.0991614585156933e-05,0.9999954365993635,False
4,0.17805733751901134,3.538849630126551e-06,0.9999989754489936,False
5,0.07832666019661222,6.847965707710099e-07,0.9999996602455644,False
6,0.04376261058114361,2.1377100621809808e-07,0.9999998740165706,False
7,0.03350553035761476,1.2530700578866948e-07,0.9999999993235764,False
8,0.002197299180230891,5.389155890762239e-10,0.999999999862492,False
9,0.0009611788469652927,1.0312186723814553e-10,0.9999999999656138,False
10,0.0005035711641495909,2.8305059077367994e-11,0.9999999999939189,False
11,0.00018225079716366856,3.707500619944581e-12,0.9999999999976263,False
12,0.00012678647737768674,1.7942717952330478e-12,0.9999999999994206,False
13,7.197420436845038e-05,5.782239878083524e-13,0.9999999999999988,False
14,3.0141007899311017e-06,1.014046570783909e-15,0.9999999999999998,False
15,1.0047163929629306e-06,1.1267545893836146e-16,1.0,False
16,1.9306661717643418e-12,4.160607364064235e-28,1.0,False
17,4.2887110588777643e-13,2.053033020809328e-29,1.0,False
18,4.0397461312789307e-13,1.8215894677007748e-29,1.0,False
19,1.454265916527679e-13,2.3606413523953163e-30,1.0,False
20,1.42154289978843e-14,2.2556011126246136e-32,1.0,False
