case_id,contact_overlap_nm,m2_solve_wall_time_s,m1_source_current_A,m2_source_current_A,terminal_current_relative_difference,m1_Tmax_K,m2_Tmax_K,Tmax_difference_K,hotspot_resolved,hotspot_distance_width_fraction,hotspot_hausdorff_width_fraction_diagnostic,m1_hotspot_set_cardinality,m2_hotspot_set_cardinality,m1_hotspot_tie_tolerance_K,m2_hotspot_tie_tolerance_K,hotspot_metric_tie_aware,m2_converged,m2_finite,m2_scaled_nonlinear_residual,m2_current_imbalance,m2_terminal_electrical_heat_ledger_error,m2_electrical_heat_sink_ledger_error,m2_physical_solve_reused_after_metric_repair,m1_reference_gate_pass,m2_reference_gate_pass,sentinel_pass
g010nm_heating_near-transition_localized-sink,10.0,0.22640410001622513,0.0002929561976066031,0.0002930911952020656,0.00046059928674907323,326.6678564838951,326.6689630535652,0.0011065696701280103,True,0.0,0.0,2,2,4.642229448619092e-12,4.6422451739199065e-12,True,True,True,7.072251757622194e-08,2.0345585422854972e-15,3.53836268223564e-15,5.122553436451511e-09,True,True,True,True
g020nm_cooling_near-transition_nominal,20.0,0.2816936000017449,0.0006272295991422137,0.0006272290812301325,8.257143947357983e-07,328.56658652492354,328.5673752342942,0.0007887093706813175,False,nan,nan,0,0,nan,nan,True,True,True,6.90882188427197e-08,1.72855852021266e-16,1.5030943654023134e-16,1.3430331983310563e-08,True,True,True,True
g030nm_heating_near-transition_localized-sink,30.0,0.2562348000064958,0.00029291825442099846,0.00029310262159881403,0.0006290192042974216,326.6711581575422,326.6718210018203,0.0006628442781106969,True,0.0,0.0,2,2,4.642276368223608e-12,4.642285787807343e-12,True,True,True,7.071994112712175e-08,1.479621255615399e-15,2.894911152290994e-15,5.178974178786564e-09,True,True,True,True
g030nm_cooling_high_nominal,30.0,0.19237580001936294,0.0042784520483918585,0.0042784527202065605,1.570228178019781e-07,357.02934025216337,357.01270842917586,0.016631822987505984,False,nan,nan,0,0,nan,nan,True,True,True,7.12817124047713e-08,3.040918509717205e-16,5.406077350608363e-16,1.0808643183673645e-08,True,True,True,True
