model_form,case_id,evidence_type,iterations,converged,finite,scaled_nonlinear_residual,scaled_thermal_residual,scaled_electrical_residual,terminal_current_imbalance,terminal_field_joule_error,joule_sink_ledger_error,source_current_A,ground_current_A,terminal_power_W,field_joule_power_W,sink_power_W,Tmax_K,Tmean_K,hotspot_x_m,hotspot_y_m,hotspot_lateral_shift_width_fraction,chi_2d,ledger_gates_pass,two_dimensional_gate_pass,max_current_relative_difference_vs_M2,max_Tmax_difference_K_vs_M2,max_hotspot_distance_width_fraction_vs_M2,sufficient,selected_reference,selection_metric_repair
M0,C0,literature-guided synthetic numerical digital-twin evidence,32,True,True,9.003453915834788e-08,9.003453915834788e-08,6.182594120670451e-14,1.6486917655121195e-16,5.734580053955199e-16,9.003126632710776e-08,0.0003288068137311,-0.0003288068137311,0.0003781278357907,0.0003781278357907,0.0003781278017474,326.8355718531433,326.83557185314294,5e-09,1.1e-07,0.2799999999999999,5.0261631430735436e-14,True,True,0.0026115091578456174,0.05743406645041205,0.10000000000000002,False,False,width_W_and_resolved_hotspot_only
M0,C1,literature-guided synthetic numerical digital-twin evidence,39,True,True,8.188467589499455e-08,8.188467589499455e-08,8.28604840459488e-14,4.971629042756927e-16,7.205259482256413e-16,1.4375732773807136e-08,0.0003271167749527,-0.0003271167749527,0.0003761842911957,0.0003761842911957,0.0003761842966036,326.8355105092088,326.6207307590483,4.5e-08,1e-08,0.48,0.1880558727805698,True,True,0.0026115091578456174,0.05743406645041205,0.10000000000000002,False,False,width_W_and_resolved_hotspot_only
M1,C0,literature-guided synthetic numerical digital-twin evidence,33,True,True,7.98050339979087e-08,7.98050339979087e-08,5.94047553137422e-14,1.9009521700397506e-15,2.587307301377353e-15,6.733524086351614e-08,0.0003279494660647,-0.0003279494660647,0.0003771418859744,0.0003771418859744,0.0003771418605795,326.86114373600543,326.84580861146355,5e-09,2.9e-07,0.0799999999999999,8.827165173762999e-14,True,True,0.0004966829831421466,0.001382332724290336,0.0,True,True,width_W_and_resolved_hotspot_only
M1,C1,literature-guided synthetic numerical digital-twin evidence,39,True,True,8.177847869535696e-08,8.177847869535696e-08,5.32474101621274e-14,1.6623581709151972e-16,2.8910576885481684e-16,1.3634289597380955e-08,0.0003261036614896,-0.0003261036614896,0.0003750192107131,0.0003750192107131,0.0003750192158262,326.8915622429349,326.6336019714897,9.5e-08,1e-08,0.48,0.1861157701246887,True,True,0.0004966829831421466,0.001382332724290336,0.0,True,True,width_W_and_resolved_hotspot_only
M2,C0,literature-guided synthetic numerical digital-twin evidence,41,True,True,7.022796194326244e-08,7.022796194326244e-08,1.0331268553306997e-13,1.7356531169555757e-15,3.0185271599227365e-15,1.1201119824812137e-08,0.0003279492514917,-0.0003279492514917,0.0003771416392155,0.0003771416392155,0.000377141634991,326.86191721815754,326.845781300034,9.5e-08,4.3e-07,0.3600000000000001,1.3295024463869984e-13,True,True,0.0,0.0,0.0,True,False,width_W_and_resolved_hotspot_only
M2,C1,literature-guided synthetic numerical digital-twin evidence,41,True,True,7.058988748379615e-08,7.058988748379615e-08,8.307663554479512e-14,9.13842990992746e-16,1.155848842362366e-15,5.1952147415264e-09,0.0003262656718629,-0.0003262656718629,0.0003752055226424,0.0003752055226424,0.0003752055206931,326.8929445756592,326.6541343839397,9.5e-08,1e-08,0.48,0.1559159999455612,True,True,0.0,0.0,0.0,True,False,width_W_and_resolved_hotspot_only
