model,step,anchor_loss,constitutive_loss,conservation_loss,interface_loss,port_loss,ledger_loss,total_loss,finite
B0,301,0.0038958846125751734,0.0,0.0,0.0,0.0,0.0,0.038958847522735596,True
B0,306,0.0038675880059599876,0.0,0.0,0.0,0.0,0.0,0.038675881922245026,True
B0,311,0.0038398217875510454,0.0,0.0,0.0,0.0,0.0,0.03839821740984917,True
B0,316,0.0038125088904052973,0.0,0.0,0.0,0.0,0.0,0.038125090301036835,True
B0,321,0.0037854721304029226,0.0,0.0,0.0,0.0,0.0,0.037854719907045364,True
B0,326,0.0037586584221571684,0.0,0.0,0.0,0.0,0.0,0.03758658468723297,True
B0,331,0.003732006996870041,0.0,0.0,0.0,0.0,0.0,0.03732006996870041,True
B0,336,0.0037054528947919607,0.0,0.0,0.0,0.0,0.0,0.037054527550935745,True
B0,341,0.003678944893181324,0.0,0.0,0.0,0.0,0.0,0.03678944706916809,True
B0,346,0.0036524368915706873,0.0,0.0,0.0,0.0,0.0,0.036524370312690735,True
B0,351,0.0036258839536458254,0.0,0.0,0.0,0.0,0.0,0.03625883907079697,True
B0,356,0.0035992406774312258,0.0,0.0,0.0,0.0,0.0,0.03599240630865097,True
B0,361,0.00357245746999979,0.0,0.0,0.0,0.0,0.0,0.03572457283735275,True
B0,366,0.0035455122124403715,0.0,0.0,0.0,0.0,0.0,0.035455122590065,True
B0,371,0.0035200940910726786,0.0,0.0,0.0,0.0,0.0,0.03520094230771065,True
B0,376,0.003558918135240674,0.0,0.0,0.0,0.0,0.0,0.03558918088674545,True
B0,381,0.0035052832681685686,0.0,0.0,0.0,0.0,0.0,0.0350528322160244,True
B0,386,0.0034474593121558428,0.0,0.0,0.0,0.0,0.0,0.03447459265589714,True
B0,391,0.0034192341845482588,0.0,0.0,0.0,0.0,0.0,0.034192342311143875,True
B0,396,0.0033948614727705717,0.0,0.0,0.0,0.0,0.0,0.033948615193367004,True
B0,401,0.003361126407980919,0.0,0.0,0.0,0.0,0.0,0.03361126407980919,True
B0,406,0.0033358156215399504,0.0,0.0,0.0,0.0,0.0,0.03335815668106079,True
B0,411,0.0033044228330254555,0.0,0.0,0.0,0.0,0.0,0.033044226467609406,True
B0,416,0.003273203270509839,0.0,0.0,0.0,0.0,0.0,0.0327320322394371,True
B0,421,0.003241361118853092,0.0,0.0,0.0,0.0,0.0,0.03241360932588577,True
B0,426,0.0032071247696876526,0.0,0.0,0.0,0.0,0.0,0.032071247696876526,True
B0,431,0.0031706958543509245,0.0,0.0,0.0,0.0,0.0,0.03170695900917053,True
B0,436,0.0031319984700530767,0.0,0.0,0.0,0.0,0.0,0.031319983303546906,True
B0,441,0.0030906368046998978,0.0,0.0,0.0,0.0,0.0,0.030906368046998978,True
B0,446,0.0030464918818324804,0.0,0.0,0.0,0.0,0.0,0.03046491928398609,True
B0,451,0.002999191405251622,0.0,0.0,0.0,0.0,0.0,0.029991913586854935,True
B0,456,0.002949262037873268,0.0,0.0,0.0,0.0,0.0,0.02949262037873268,True
B0,461,0.002976176096126437,0.0,0.0,0.0,0.0,0.0,0.02976176142692566,True
B0,466,0.0028886219952255487,0.0,0.0,0.0,0.0,0.0,0.0288862194865942,True
B0,471,0.002805538708344102,0.0,0.0,0.0,0.0,0.0,0.028055386617779732,True
B0,476,0.002758011454716325,0.0,0.0,0.0,0.0,0.0,0.02758011408150196,True
B0,481,0.0026924272533506155,0.0,0.0,0.0,0.0,0.0,0.026924272999167442,True
B0,486,0.0026390489656478167,0.0,0.0,0.0,0.0,0.0,0.02639048919081688,True
B0,491,0.0025754652451723814,0.0,0.0,0.0,0.0,0.0,0.0257546529173851,True
B0,496,0.0025144971441477537,0.0,0.0,0.0,0.0,0.0,0.025144971907138824,True
B0,501,0.0024477962870150805,0.0,0.0,0.0,0.0,0.0,0.024477962404489517,True
B0,506,0.002381380880251527,0.0,0.0,0.0,0.0,0.0,0.02381380833685398,True
B0,511,0.0023143619764596224,0.0,0.0,0.0,0.0,0.0,0.023143619298934937,True
B0,516,0.002373296767473221,0.0,0.0,0.0,0.0,0.0,0.023732967674732208,True
B0,521,0.002259397180750966,0.0,0.0,0.0,0.0,0.0,0.022593971341848373,True
B0,526,0.002121315337717533,0.0,0.0,0.0,0.0,0.0,0.02121315337717533,True
B0,531,0.0020643353927880526,0.0,0.0,0.0,0.0,0.0,0.02064335346221924,True
B0,536,0.002005454618483782,0.0,0.0,0.0,0.0,0.0,0.020054545253515244,True
B0,541,0.0019268104806542397,0.0,0.0,0.0,0.0,0.0,0.019268104806542397,True
B0,546,0.0018590911058709025,0.0,0.0,0.0,0.0,0.0,0.018590910360217094,True
B0,551,0.0017946260049939156,0.0,0.0,0.0,0.0,0.0,0.017946260049939156,True
B0,556,0.001730757881887257,0.0,0.0,0.0,0.0,0.0,0.017307579517364502,True
B0,561,0.0016699848929420114,0.0,0.0,0.0,0.0,0.0,0.01669984869658947,True
B0,566,0.0016037160530686378,0.0,0.0,0.0,0.0,0.0,0.01603716053068638,True
B0,571,0.0015458498382940888,0.0,0.0,0.0,0.0,0.0,0.015458498150110245,True
B0,576,0.0015724956756457686,0.0,0.0,0.0,0.0,0.0,0.01572495698928833,True
