attempt_index,execution_path,state_time_s,dt_s,candidate_time_s,rejection_index,at_locked_floor,endpoint_remainder,candidate_available,candidate_wall_time_s,process_working_set_bytes,process_peak_working_set_bytes,error_class,error_message,max_absolute_delta_s,max_absolute_delta_b,transition_increment,transition_threshold,actual_trigger_component,trigger_cell_row,trigger_cell_column,trigger_cell_x_m,trigger_cell_y_m,T_n_K,T_candidate_K,s_n,s_equilibrium_candidate,s_candidate,b_n,b_candidate,heating_activation,cooling_activation,observed_d_s,conditional_observed_candidate_dt_max_s,branch_H,branch_A,conditional_frozen_activation_dt_max_b,branch_dt_constraint_status,state_BE_identity_max_abs,branch_BE_identity_max_abs,input_voltage_V,device_voltage_V,source_current_A,total_joule_power_W,terminal_device_power_W,nonlinear_method,nonlinear_iterations,nonlinear_converged,krylov_matvecs,armijo_backtracks,predictor_picard_iterations,fallback_picard_iterations,scaled_residual_inf,scaled_update_inf,finite_state,nonlinear_gate_pass,thermal_ledger_relative_residual,circuit_ledger_relative_residual,combined_ledger_relative_residual,device_power_ledger_relative_residual,four_ledgers_pass,lateral_matrix_face_relative_mismatch,lateral_matrix_face_roundoff_ratio,lateral_face_to_cell_global_residual_W,lateral_audit_pass,candidate_integrity_pass
1,full_history_control,0.0,5e-09,5e-09,0,False,False,True,1.5228802000001451,63729664,63778816,,,0.15870400655873074,1.6665623501910805,1.6665623501910805,0.02,branch_memory_b,0,4,4.5e-08,1e-08,336.4,336.168160826905,0.5,0.6904439132540183,0.6587032610450184,1.0,-0.6665623501910805,0.0,0.9996245781759411,0.19044391325401833,1.1734065252417272e-10,0.9996245781759411,-1.9992491563518822,1.010480366483371e-11,finite_conditional_frozen_activation_bound,5.551115123125783e-15,2.1094237467877974e-15,12.5,0.03490889543100597,2.6399624547231134e-05,9.215817327371093e-07,9.2158173273711e-07,damped_newton_krylov,2,True,34,0,8,0,4.559997562250176e-14,3.3910374508394625e-14,True,True,3.8554988430155556e-15,1.2691987542000026e-15,1.6457193427866689e-15,4.021096569732759e-16,True,2.5599269474688596e-08,0.001610731623217079,-1.262177448353619e-28,True,True
2,full_history_control,0.0,2.5e-09,2.5e-09,1,False,False,True,2.231108099999801,63913984,63913984,,,0.11996284210588182,1.428432489789618,1.428432489789618,0.02,branch_memory_b,0,5,5.5e-08,1e-08,336.4,336.2828530448748,0.5,0.6679475140185157,0.6199625100132267,1.0,-0.42843248978961795,0.0,0.9996596827302866,0.1679475140185157,1.3518307578657247e-10,0.9996596827302866,-1.9993193654605732,1.0104448819444294e-11,finite_conditional_frozen_activation_bound,8.770761894538737e-15,4.274358644806853e-15,12.5,0.017741359143231942,1.1189389764002798e-05,1.98514982396777e-07,1.9851498239677696e-07,damped_newton_krylov,2,True,28,0,8,0,1.6856985112263947e-14,9.992007221626409e-15,True,True,9.123016584193216e-15,1.334161216213533e-16,1.3016291950854963e-15,1.3333895145904432e-16,True,4.121600528739975e-08,0.0014074662843971356,-3.8480634956680956e-27,True,True
3,full_history_control,0.0,1.25e-09,1.25e-09,2,False,False,True,1.2508195000000342,64139264,64139264,,,0.07426964946399028,1.110951065604172,1.110951065604172,0.02,branch_memory_b,16,4,4.5e-08,3.3e-07,336.4,336.34112003110135,0.5,0.6336851359756078,0.5742695199864509,1.0,-0.11095106560417181,0.0,0.9996759661911311,0.13368513597560783,1.7592449380797842e-10,0.9996759661911311,-1.9993519323822622,1.0104284230715275e-11,finite_conditional_frozen_activation_bound,3.1086244689504383e-15,5.037636974236648e-15,12.5,0.008934291993344468,4.544271106898478e-06,4.0599844965949765e-08,4.059984496594968e-08,damped_newton_krylov,2,True,22,0,8,0,2.5380404090937217e-14,1.0241807402167069e-14,True,True,1.541698870674442e-14,2.666441080155828e-16,2.5996397054615517e-15,1.059447194658795e-15,True,1.0683307474849881e-07,0.0019336721039884402,4.601474963960738e-27,True,True
4,full_history_control,0.0,6.25e-10,6.25e-10,3,False,False,True,1.200681799999984,64385024,64385024,,,0.03619506815092166,0.7690810771855818,0.7690810771855818,0.02,branch_memory_b,0,5,5.5e-08,1e-08,336.4,336.37048338689726,0.5,0.5941070661771647,0.5361950254527555,1.0,0.23091892281441814,0.0,0.9996838140106075,0.09410706617716469,2.6987979732171335e-10,0.9996838140106075,-1.999367628021215,1.010420490903629e-11,finite_conditional_frozen_activation_bound,1.7763568394002505e-15,7.91033905045424e-15,12.5,0.004480124668827322,1.9043997676126827e-06,8.531948378190586e-09,8.531948378190599e-09,damped_newton_krylov,2,True,19,0,8,0,1.5745761749484322e-14,3.7474363889788975e-14,True,True,4.256813593297317e-14,1.3993825636952781e-15,7.68052648446254e-15,7.756077049574943e-16,True,1.4811789986594752e-07,0.0013935637889364951,6.730622873103893e-27,True,True
5,full_history_control,0.0,3.125e-10,3.125e-10,4,False,False,True,1.08476840000003,64602112,64602112,,,0.014001246102602116,0.4760771505380187,0.4760771505380187,0.02,branch_memory_b,0,5,5.5e-08,1e-08,336.4,336.38522252111125,0.5,0.5588051828196311,0.5140012340046758,1.0,0.5239228494619813,0.0,0.9996876693985933,0.0588051828196311,5.153950721727366e-10,0.9996876693985933,-1.9993753387971867,1.0104165941235241e-11,finite_conditional_frozen_activation_bound,3.885780586188048e-15,6.905587213168474e-14,12.5,0.002242717961075513,8.586396565563249e-07,1.925686579850582e-09,1.9256865798505796e-09,damped_newton_krylov,2,True,18,0,8,0,6.907158875068735e-14,1.9883183641211666e-13,True,True,1.7094185747770452e-13,7.928414891701993e-15,3.274373071705704e-14,6.4432651284603965e-16,True,2.1098017605802242e-07,0.0010159848910465262,5.465319255264545e-28,True,True
6,full_history_control,0.0,2.5e-10,2.5e-10,5,True,False,True,1.3456479000005857,65249280,65249280,,,0.009896685349114254,0.3999002930674579,0.3999002930674579,0.02,branch_memory_b,4,4,4.5e-08,9e-08,336.4,336.38817494758797,0.5,0.549483387348407,0.5098966774696854,1.0,0.6000997069325421,0.0,0.999688435247787,0.04948338734840696,6.783481071445014e-10,0.999688435247787,-1.999376870495574,1.010415820055618e-11,finite_conditional_frozen_activation_bound,1.6653345369377348e-14,1.2418954753457001e-12,12.5,0.0017945572772571621,6.738993114338304e-07,1.2093509134721749e-09,1.2093509134721712e-09,damped_newton_krylov,2,True,21,0,8,0,1.241839631274375e-12,1.2200240817605845e-12,True,True,3.780391016614554e-12,7.395147025196433e-15,5.709993936024088e-13,1.5389713254532033e-15,True,3.6594288734424234e-07,0.0014169608723222258,-3.2426682176933674e-27,True,True
