mode_index,singular_value,energy_fraction,cumulative_energy_fraction,selected,selected_rank,train_sample_count
1,319.8593071014381,0.9836996513813037,0.9836996513813037,True,2,174
2,40.13917087595117,0.015491066845168214,0.9991907182264719,True,2,174
3,9.099931917854054,0.0007961975180976632,0.9999869157445695,False,2,174
4,0.861535258454802,7.136588317187268e-06,0.9999940523328867,False,2,174
5,0.6930171763334463,4.61777247357263e-06,0.9999986701053603,False,2,174
6,0.34681468908732194,1.156483657630486e-06,0.9999998265890179,False,2,174
7,0.10233705808923776,1.0069557572540108e-07,0.9999999272845936,False,2,174
8,0.06522905820339776,4.090974283238836e-08,0.9999999681943366,False,2,174
9,0.05381441893169503,2.7844655162889837e-08,0.9999999960389917,False,2,174
10,0.015422197161381877,2.2868466091448506e-09,0.9999999983258383,False,2,174
11,0.009389631005290234,8.476988315781533e-10,0.9999999991735371,False,2,174
12,0.006090696202436545,3.566797134132549e-10,0.9999999995302169,False,2,174
13,0.0052356313908506385,2.6356191782640927e-10,0.9999999997937788,False,2,174
14,0.0045419712921294314,1.9835050158659812e-10,0.9999999999921294,False,2,174
15,0.0007562058564825519,5.498251560614263e-12,0.9999999999976276,False,2,174
16,0.0003766323784276608,1.363891550562858e-12,0.9999999999989915,False,2,174
17,0.0002956247128882129,8.402838291417323e-13,0.9999999999998318,False,2,174
18,0.00013026974332234226,1.6316674432164058e-13,0.999999999999995,False,2,174
19,2.1582071752490333e-05,4.478481632558798e-15,0.9999999999999994,False,2,174
20,8.610833199604384e-06,7.129102951976115e-16,1.0000000000000002,False,2,174
21,2.918364838855482e-06,8.188864814529125e-17,1.0000000000000002,False,2,174
22,1.3081742409298365e-06,1.6454160139593936e-17,1.0000000000000002,False,2,174
23,5.244463107951727e-07,2.6445184584663504e-18,1.0000000000000002,False,2,174
24,1.9108069048783854e-07,3.5105740417658985e-19,1.0000000000000002,False,2,174
25,4.458333484548891e-08,1.9111273806371087e-20,1.0000000000000002,False,2,174
26,2.1403506387369123e-08,4.404680244250273e-21,1.0000000000000002,False,2,174
27,6.738719726341611e-09,4.366156724660958e-22,1.0000000000000002,False,2,174
28,3.858466179947247e-09,1.4314425715917089e-22,1.0000000000000002,False,2,174
29,1.4950064686527953e-09,2.1489716037839498e-23,1.0000000000000002,False,2,174
30,2.935027827885585e-10,8.282643707297028e-25,1.0000000000000002,False,2,174
31,1.517508376606701e-10,2.21414840960883e-25,1.0000000000000002,False,2,174
32,4.2262844954305495e-11,1.7173625587410202e-26,1.0000000000000002,False,2,174
33,2.8823714567601913e-11,7.988117237253588e-27,1.0000000000000002,False,2,174
34,2.4352708787549337e-11,5.702155862823144e-27,1.0000000000000002,False,2,174
35,1.7335721350023186e-11,2.8895377225918296e-27,1.0000000000000002,False,2,174
36,1.523001489018614e-12,2.2302070745486765e-29,1.0000000000000002,False,2,174
37,1.2717117103189572e-12,1.554969496906093e-29,1.0000000000000002,False,2,174
38,1.1080141261785244e-12,1.1804161095248675e-29,1.0000000000000002,False,2,174
39,7.305379500964466e-13,5.131331786093012e-30,1.0000000000000002,False,2,174
40,6.406365018073964e-13,3.946098242197567e-30,1.0000000000000002,False,2,174
41,6.314686070493036e-13,3.833964284845053e-30,1.0000000000000002,False,2,174
42,6.192636470370243e-13,3.687191598277678e-30,1.0000000000000002,False,2,174
43,6.07641766948569e-13,3.5500933182639195e-30,1.0000000000000002,False,2,174
44,5.868694301824976e-13,3.311520965670528e-30,1.0000000000000002,False,2,174
45,5.795284095406631e-13,3.229192942937758e-30,1.0000000000000002,False,2,174
46,5.771624038441862e-13,3.202879504289804e-30,1.0000000000000002,False,2,174
47,5.675488493278564e-13,3.0970700489377998e-30,1.0000000000000002,False,2,174
48,5.585762962871366e-13,2.9999190604833285e-30,1.0000000000000002,False,2,174
49,5.531387991293954e-13,2.941797525029246e-30,1.0000000000000002,False,2,174
50,5.47463148413053e-13,2.881736813759821e-30,1.0000000000000002,False,2,174
51,5.44603222860928e-13,2.8517073003530196e-30,1.0000000000000002,False,2,174
52,5.329458291858062e-13,2.730930631969168e-30,1.0000000000000002,False,2,174
53,5.221814938779519e-13,2.6217271162798127e-30,1.0000000000000002,False,2,174
54,5.160285417743034e-13,2.560306624380767e-30,1.0000000000000002,False,2,174
55,5.104858900411808e-13,2.5056016040512422e-30,1.0000000000000002,False,2,174
56,4.965516402262759e-13,2.3706823964859873e-30,1.0000000000000002,False,2,174
57,4.927597305380168e-13,2.3346132787715313e-30,1.0000000000000002,False,2,174
58,4.872314232275813e-13,2.282522738067023e-30,1.0000000000000002,False,2,174
59,4.775399590808657e-13,2.1926230180148546e-30,1.0000000000000002,False,2,174
60,4.717954854363044e-13,2.1401888392293456e-30,1.0000000000000002,False,2,174
61,4.661916883248418e-13,2.089650166037453e-30,1.0000000000000002,False,2,174
62,4.641349841331718e-13,2.0712529614161436e-30,1.0000000000000002,False,2,174
63,4.555044016858642e-13,1.994939315672683e-30,1.0000000000000002,False,2,174
64,4.4591181786715706e-13,1.9118001801943094e-30,1.0000000000000002,False,2,174
65,4.4335001158795505e-13,1.8898963295146268e-30,1.0000000000000002,False,2,174
66,4.4173755481754996e-13,1.8761742840710365e-30,1.0000000000000002,False,2,174
67,4.393344400075363e-13,1.855816502492558e-30,1.0000000000000002,False,2,174
68,4.2664707466512835e-13,1.750177424819164e-30,1.0000000000000002,False,2,174
69,4.2167138514051734e-13,1.7095932496304266e-30,1.0000000000000002,False,2,174
70,4.2017628715869895e-13,1.697491512812132e-30,1.0000000000000002,False,2,174
71,4.0785276261434303e-13,1.599378854906308e-30,1.0000000000000002,False,2,174
72,4.0151384984240435e-13,1.5500495956507596e-30,1.0000000000000002,False,2,174
73,4.002242993504685e-13,1.5401089307526623e-30,1.0000000000000002,False,2,174
74,3.9971073669986744e-13,1.536158970880542e-30,1.0000000000000002,False,2,174
75,3.9022218060800755e-13,1.4640922313119688e-30,1.0000000000000002,False,2,174
76,3.871994736339796e-13,1.4414980185238614e-30,1.0000000000000002,False,2,174
77,3.8007062805719045e-13,1.388906947446052e-30,1.0000000000000002,False,2,174
78,3.732366208636188e-13,1.3394084391100638e-30,1.0000000000000002,False,2,174
79,3.693930031168559e-13,1.3119638335923795e-30,1.0000000000000002,False,2,174
80,3.669640732674502e-13,1.2947670205419922e-30,1.0000000000000002,False,2,174
81,3.5471782506550725e-13,1.2097915843162512e-30,1.0000000000000002,False,2,174
82,3.4781688170466473e-13,1.163177111126699e-30,1.0000000000000002,False,2,174
83,3.43837625746664e-13,1.136714321760306e-30,1.0000000000000002,False,2,174
84,3.4345717859271204e-13,1.1342002253169101e-30,1.0000000000000002,False,2,174
85,3.388665838369443e-13,1.1040837609007667e-30,1.0000000000000002,False,2,174
86,3.3085804232507734e-13,1.0525141050927247e-30,1.0000000000000002,False,2,174
87,3.2710399481288723e-13,1.0287651156366576e-30,1.0000000000000002,False,2,174
88,3.231238906924424e-13,1.0038820114877643e-30,1.0000000000000002,False,2,174
89,3.208586071015504e-13,9.898557743680235e-31,1.0000000000000002,False,2,174
90,3.1449409924988506e-13,9.509759545111073e-31,1.0000000000000002,False,2,174
91,3.0760494080049724e-13,9.097690265898556e-31,1.0000000000000002,False,2,174
92,3.021243771415265e-13,8.776393142118417e-31,1.0000000000000002,False,2,174
93,3.011926923453557e-13,8.722347689966124e-31,1.0000000000000002,False,2,174
94,2.936305864262041e-13,8.28985851088024e-31,1.0000000000000002,False,2,174
95,2.9203039808642266e-13,8.199750806007924e-31,1.0000000000000002,False,2,174
96,2.870989076449233e-13,7.92515223614012e-31,1.0000000000000002,False,2,174
97,2.857823063605119e-13,7.852631302145568e-31,1.0000000000000002,False,2,174
98,2.8409213390773234e-13,7.7600219745424894e-31,1.0000000000000002,False,2,174
99,2.7596517184368853e-13,7.322393841882728e-31,1.0000000000000002,False,2,174
100,2.739430966810674e-13,7.215480457419905e-31,1.0000000000000002,False,2,174
101,2.674421530796794e-13,6.877082797863623e-31,1.0000000000000002,False,2,174
102,2.6613870991894045e-13,6.8102119428726845e-31,1.0000000000000002,False,2,174
103,2.631869927938784e-13,6.659986929638392e-31,1.0000000000000002,False,2,174
104,2.577828457838562e-13,6.389289414865487e-31,1.0000000000000002,False,2,174
105,2.5380064020203086e-13,6.1934118361630715e-31,1.0000000000000002,False,2,174
106,2.433766740501925e-13,5.695114196859069e-31,1.0000000000000002,False,2,174
107,2.3847845078150026e-13,5.468180184078509e-31,1.0000000000000002,False,2,174
108,2.3793191332128026e-13,5.443145295183833e-31,1.0000000000000002,False,2,174
109,2.362883048016215e-13,5.368203691398833e-31,1.0000000000000002,False,2,174
110,2.3180443502708415e-13,5.16639984980928e-31,1.0000000000000002,False,2,174
111,2.309386548079201e-13,5.127879330403209e-31,1.0000000000000002,False,2,174
112,2.1636388782854148e-13,4.501052582850802e-31,1.0000000000000002,False,2,174
113,2.1266198048901285e-13,4.348347477775544e-31,1.0000000000000002,False,2,174
114,2.085324810142238e-13,4.1811134690497465e-31,1.0000000000000002,False,2,174
115,2.0517646452342352e-13,4.047618920468585e-31,1.0000000000000002,False,2,174
116,2.0412972272451843e-13,4.006425067945449e-31,1.0000000000000002,False,2,174
117,2.0130042704539824e-13,3.8961343633102166e-31,1.0000000000000002,False,2,174
118,1.9661282450586146e-13,3.716791657991885e-31,1.0000000000000002,False,2,174
119,1.8962210960948077e-13,3.45718389433553e-31,1.0000000000000002,False,2,174
120,1.877159930294568e-13,3.3880287242786076e-31,1.0000000000000002,False,2,174
121,1.8093022070149463e-13,3.147507395010071e-31,1.0000000000000002,False,2,174
122,1.7173029705002227e-13,2.8355569588007893e-31,1.0000000000000002,False,2,174
123,1.6722365275473604e-13,2.6886851263684054e-31,1.0000000000000002,False,2,174
124,1.6142321710471974e-13,2.5053968671102174e-31,1.0000000000000002,False,2,174
125,1.5855416742177808e-13,2.4171291516468214e-31,1.0000000000000002,False,2,174
126,1.0232338017367996e-13,1.0066866047954069e-31,1.0000000000000002,False,2,174
127,8.487147256468161e-14,6.92576909693598e-32,1.0000000000000002,False,2,174
128,7.606433401908631e-14,5.562969355426729e-32,1.0000000000000002,False,2,174
129,6.094247886931913e-14,3.5709581795242146e-32,1.0000000000000002,False,2,174
130,4.790874156813819e-14,2.2068563249709315e-32,1.0000000000000002,False,2,174
131,3.66406219542412e-14,1.2908334387560193e-32,1.0000000000000002,False,2,174
132,3.3711251584758656e-14,1.0926832523501007e-32,1.0000000000000002,False,2,174
133,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
134,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
135,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
136,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
137,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
138,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
139,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
140,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
141,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
142,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
143,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
144,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
145,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
