seed,mode,device_voltage_V,certified_same_voltage_pair,reference_current_separation,predicted_current_separation,reference_temperature_rise_separation,predicted_temperature_rise_separation,current_separation_relative_error,temperature_separation_relative_error,maximum_separation_relative_error,direct_assignment_joint_error,swapped_assignment_joint_error,head_swap
20260809,A1,0.75,True,0.4330624854423076,0.9943726500734279,0.4334179118904736,0.9993391848855843,1.2961412809928043,1.305717316865578,1.305717316865578,147.23111337760847,260.0512039982253,False
20260809,A1,0.775,False,0.43399339950473514,0.9943726500734279,0.43437572905347316,0.9992998123419166,1.29121606735998,1.3005424693489247,1.3005424693489247,138.7149038052737,245.43529706871956,False
20260809,A1,0.8,False,0.4349595692265123,0.9943726500734278,0.43537017235712894,0.9992597814565187,1.2861266205539947,1.295195777989214,1.295195777989214,130.979609578813,232.16782354023843,False
20260809,A1,0.825,False,0.4359615105377544,0.9943726500734279,0.43640180719644023,0.9992191381104264,1.2808725679633475,1.289676902416313,1.289676902416313,123.93182138397223,220.08781700890208,False
20260809,A1,0.85,False,0.4369997663143146,0.9943726500734279,0.43747125494211486,0.9991779277027071,1.2754535052959723,1.2839853279843858,1.2839853279843858,117.4916563762971,209.057637918541,False
20260809,A1,0.875,False,0.43807490739504795,0.9943726500734278,0.43857911059980725,0.9991361950573096,1.2698689956617868,1.2781208017200731,1.2781208017200731,111.59047293638694,198.9590026509557,False
20260809,A1,0.9,False,0.43918753440807284,0.9943726500734279,0.4397260615151122,0.9990939843361121,1.2641185647803534,1.2720827164386206,1.2720827164386206,106.16902337354797,189.6898441813175,False
20260809,A1,0.925,False,0.44033827752632887,0.9943726500734279,0.44091277439587406,0.9990513389582965,1.2582017072407976,1.2658707049873248,1.2658707049873248,101.17595787841827,181.16169194078506,False
20260809,A1,0.95,True,0.9902742947429363,0.9943726500734278,0.9937416252885147,0.999008301526099,0.004138606194514427,0.005299844651324908,0.005299844651324908,1.2220340692870817,173.41650590645764,False
20260809,A1,0.975,False,0.9906528951898745,0.9943726500734279,0.9938437949616564,0.9989649137569794,0.003754851877599783,0.005152840739444907,0.005152840739444907,1.1430687520285963,166.15365285529177,False
20260809,A1,1.0,False,0.9907753306007241,0.9943726500734279,0.9938844642605219,0.9989212164221812,0.003630812517831557,0.005067744132017212,0.005067744132017212,1.0908045012979155,159.4263785612542,False
20260809,A1,1.025,False,0.9908500436200138,0.9943726500734279,0.9939074553741544,0.998877249291627,0.0035551357908250444,0.005000258213780865,0.005000258213780865,1.0467110276905833,153.18454173549435,False
20260809,A1,1.05,False,0.9909063258614309,0.9943726500734279,0.9939208802322047,0.998833051085052,0.0034981351128055365,0.004942215170788781,0.004942215170788781,1.0076616207247602,147.38254041364115,False
20260809,A1,1.075,False,0.9940954928340616,0.9943726500734279,0.9941769534819453,0.9987886594292504,0.0002788034362535241,0.004638717414594383,0.004638717414594383,0.6896686915997801,141.95591025140305,False
20260809,A1,1.1,False,0.9941967521174749,0.9943726500734279,0.9942424653523907,0.9987441108212765,0.00017692469380766962,0.004527713938762652,0.004527713938762652,0.6448363586959607,136.91380380730013,False
20260809,A1,1.125,False,0.9942511506928483,0.9943726500734278,0.9942820181513491,0.9986994405974089,0.0001222019008927617,0.00444282644704069,0.00444282644704069,0.6093386189719261,132.20455892503855,False
20260809,A1,1.15,False,0.9942858026258266,0.9943726500734278,0.994308996657931,0.9986546829076834,8.734656310275972e-05,0.0043705591162899165,0.0043705591162899165,0.5789522964470273,127.79906718981532,False
20260809,A1,1.175,False,0.9943090150050008,0.994372650073428,0.994327940895354,0.9986098706957505,6.399928741156453e-05,0.004306355704477861,0.004306355704477861,0.5522274703684832,123.67154955731098,False
20260809,A1,1.2,False,0.9943246772840848,0.9943726500734279,0.9943411591404221,0.9985650356838279,4.824660439297535e-05,0.004247914817342218,0.004247914817342218,0.5284051301047965,119.79895489647019,False
20260809,A1,1.225,False,0.9943349797329015,0.9943726500734279,0.9943500517556412,0.9985202083624808,3.788495959027162e-05,0.004193851651615762,0.004193851651615762,0.5070142737347334,116.16059880988632,False
20260809,A1,1.25,False,0.9943412993652937,0.9943726500734279,0.9943555625876341,0.9984754179849652,3.1529121996858846e-05,0.00414324166559683,0.00414324166559683,0.4877377870476225,112.7378695588643,False
20260809,A1,1.275,False,0.9943445688716509,0.9943726500734278,0.9943583738084858,0.9984306925658635,2.8240916334215738e-05,0.004095423606461237,0.004095423606461237,0.4703561126113815,109.51397804595969,False
20260809,A1,1.3,False,0.994345454461932,0.9943726500734278,0.9943590024524221,0.9983860588837221,2.7350264813645293e-05,0.004049901918087833,0.004049901918087833,0.45472084417669056,106.47374370680852,False
20260809,A1,1.3250000000000002,False,0.9943444505676845,0.994372650073428,0.9943578530437691,0.9983415424874194,2.835989654028811e-05,0.004006293540555855,0.004006293540555855,0.4407422065786916,103.60341036756583,False
20260809,A1,1.35,True,0.9943419342026315,0.9943726500734279,0.9943552484560396,0.9982971677059764,3.089065213871842e-05,0.003964296719967563,0.003964296719967563,0.42838410777492075,100.89048710044109,False
20260809,A1,1.375,False,0.9943381981768717,0.9943726500734279,0.9943514493031569,0.9982529576615284,3.46480670453186e-05,0.003923671415278508,0.003923671415278508,0.4176657225735724,98.32361001618158,False
20260809,A1,1.4,False,0.9943334725622653,0.9943726500734279,0.9943466670830368,0.9982089342851829,3.940077674505197e-05,0.00388422602499011,0.00388422602499011,0.4086811934131245,95.8924217170716,False
20260809,A1,1.425,False,0.9943279393167559,0.9943726500734278,0.9943410735373873,0.9981651183354998,4.496580544907326e-05,0.003845807942448137,0.003845807942448137,0.40155917891080745,93.58746575656669,False
20260809,A1,1.4500000000000002,False,0.9943217427389053,0.9943726500734278,0.9943348078373144,0.9981215294193168,5.119805022294204e-05,0.003808296312424661,0.003808296312424661,0.3963014013806705,91.40009393258886,False
20260809,A1,1.475,False,0.994314997261829,0.994372650073428,0.9943279823219247,0.9980781860146756,5.798244194016954e-05,0.0037715962533746233,0.0037715962533746233,0.39291449928306765,89.32238461468701,False
20260809,A1,1.5,False,0.9943077934648182,0.9943726500734279,0.9943206873573239,0.9980351054955975,6.522789928424666e-05,0.0037356339715164,0.0037356339715164,0.39135847362089166,87.34707357789743,False
20260809,A1,1.525,False,0.9943002028065141,0.9943726500734279,0.9943129945748042,0.9979923041584761,7.286256877883566e-05,0.0037003535141822046,0.0037003535141822046,0.3914867775535435,85.46747811451027,False
20260809,A1,1.55,True,0.9942922814444033,0.9943726500734279,0.9943049612787327,0.997949797249857,8.082998382312333e-05,0.0036657123448693638,0.0036657123448693638,0.3930556323126416,83.67745848506607,False
20260809,A2,0.75,True,0.4330624854423076,0.9944166432821174,0.4334179118904736,0.9985751573350925,1.2962428672769284,1.3039545204293184,1.3039545204293184,113.07656236900237,199.9080713687804,False
20260809,A2,0.775,False,0.43399339950473514,0.9944152100075774,0.43437572905347316,0.9985037899037746,1.2913141332158156,1.2987099027829323,1.2987099027829323,107.51025318320653,190.40592391596837,False
20260809,A2,0.8,False,0.4349595692265123,0.9944137252779737,0.43537017235712894,0.9984325347632044,1.2862210550887236,1.2932956783824,1.2932956783824,102.45013437157705,181.77976770603004,False
20260809,A2,0.825,False,0.4359615105377544,0.9944121891139893,0.43640180719644023,0.9983615000953575,1.280963261842522,1.287711653874886,1.287711653874886,97.8354653736878,173.9249584045366,False
20260809,A2,0.85,False,0.4369997663143146,0.9944106015540916,0.43747125494211486,0.9982907861387582,1.2755403508359224,1.2819574426000848,1.2819574426000848,93.61429795113467,166.75201708574207,False
20260809,A2,0.875,False,0.43807490739504795,0.9944089626511778,0.43857911059980725,0.9982204853100686,1.2699518869142579,1.2760329007573743,1.2760329007573743,89.74199072994982,160.1840444754375,False
20260809,A2,0.9,False,0.43918753440807284,0.9944072724693501,0.4397260615151122,0.9981506823741753,1.2641973976096341,1.269937512766392,1.269937512766392,86.18000833952078,154.1546867513537,False
20260809,A2,0.925,False,0.44033827752632887,0.99440553108087,0.44091277439587406,0.9980814546555818,1.2582763793942766,1.2636709857706532,1.2636709857706532,82.89495003805804,148.60642806263817,False
20260809,A2,0.95,True,0.9902742947429363,0.994403738563336,0.9937416252885147,0.9980128722842345,0.004170000011432851,0.004298146406496469,0.004298146406496469,0.9013993283239236,143.67078144770662,False
20260809,A2,0.975,False,0.9906528951898745,0.9944018949971085,0.9938437949616564,0.9979449984693501,0.003784372735836421,0.0041266077511224455,0.0041266077511224455,0.8454741853093665,138.94526844717967,False
20260809,A2,1.0,False,0.9907753306007241,0.9944000004630091,0.9938844642605219,0.997877889795229,0.003658417554752142,0.004017997743508621,0.004017997743508621,0.8110172324132535,134.56650438457544,False
20260809,A2,1.025,False,0.9908500436200138,0.9943980550402978,0.9939074553741544,0.9978115965335634,0.0035807753586218558,0.0039280731201873954,0.0039280731201873954,0.7825855291875997,130.5024937617222,False
20260809,A2,1.05,False,0.9909063258614309,0.994396058804936,0.9939208802322047,0.9977461629672468,0.0035217586692378043,0.003848679317561416,0.003848679317561416,0.7576475896317656,126.72364338128482,False
20260809,A2,1.075,False,0.9940954928340616,0.9943940118281269,0.9941769534819453,0.99768162772122,0.00030029207074891136,0.003525201652482626,0.003525201652482626,0.46355742802973876,123.17968851046564,False
20260809,A2,1.1,False,0.9941967521174749,0.9943919141751246,0.9942424653523907,0.9976180240963989,0.00019630124241909496,0.0033951061855035385,0.0033951061855035385,0.42963638639027574,119.89231268929564,False
20260809,A2,1.125,False,0.9942511506928483,0.9943897659042958,0.9942820181513491,0.9975553804032298,0.00013941669702965907,0.003292186916913965,0.003292186916913965,0.4037964811070443,116.8210658398114,False
20260809,A2,1.15,False,0.9942858026258266,0.9943875670664131,0.994308996657931,0.9974937202919093,0.00010234928459982475,0.0032029516424800985,0.0032029516424800985,0.38215856300319345,113.94683426696776,False
20260809,A2,1.175,False,0.9943090150050008,0.9943853177041608,0.994327940895354,0.9974330630767259,7.673942205950127e-05,0.0031228350865568346,0.0031228350865568346,0.36342866092366166,111.25278156632977,False
20260809,A2,1.2,False,0.9943246772840848,0.9943830178518278,0.9943411591404221,0.9973734240524385,5.867355912594038e-05,0.0030495216698438387,0.0030495216698438387,0.3469444732436155,108.72387819939799,False
20260809,A2,1.225,False,0.9943349797329015,0.9943806675351635,0.9943500517556412,0.9973148148009605,4.594809917505688e-05,0.00298160898175115,0.00298160898175115,0.3323014743380238,106.3466520480624,False
20260809,A2,1.25,False,0.9943412993652937,0.994378266771373,0.9943555625876341,0.9972572434869791,3.717778402936411e-05,0.002918152226949723,0.002918152226949723,0.31922938172119675,104.10899042695478,False
20260809,A2,1.275,False,0.9943445688716509,0.994375815569228,0.9943583738084858,0.9972007151414705,3.142441619870786e-05,0.0028584677394511517,0.0028584677394511517,0.3075403402692962,101.99997308945173,False
20260809,A2,1.3,False,0.994345454461932,0.9943733139292719,0.9943590024524221,0.9971452319323181,2.801789580757724e-05,0.002802035756727857,0.002802035756727857,0.29710428629502533,100.00973009805215,False
20260809,A2,1.3250000000000002,False,0.9943444505676845,0.9943707618440962,0.9943578530437691,0.9970907934215165,2.6460927495201956e-05,0.0027484475225712417,0.0027484475225712417,0.28783656039231836,98.12932025947325,False
20260809,A2,1.35,True,0.9943419342026315,0.9943681592986736,0.9943552484560396,0.9970373968086509,2.637432370097073e-05,0.0026973743606984605,0.0026973743606984605,0.2796915810523904,96.35062652761765,False
20260809,A2,1.375,False,0.9943381981768717,0.9943655062707271,0.9943514493031569,0.9969850371605113,2.7463587243641767e-05,0.0026485483167949125,0.0026485483167949125,0.2726592316947678,94.66626546576295,False
20260809,A2,1.4,False,0.9943334725622653,0.9943628027311237,0.9943466670830368,0.9969337076268876,2.949731620995354e-05,0.0026017490976663546,0.0026017490976663546,0.2667617590929649,93.06950846335432,False
20260809,A2,1.425,False,0.9943279393167559,0.9943600486442783,0.9943410735373873,0.9968833996426893,3.229249249947068e-05,0.0025567948191636647,0.0025567948191636647,0.26205363842674634,91.55421287455896,False
20260809,A2,1.4500000000000002,False,0.9943217427389053,0.9943572439685594,0.9943348078373144,0.9968341031166784,3.57039659580737e-05,0.002513534937794217,0.002513534937794217,0.2586238396133712,90.11476160092523,False
20260809,A2,1.475,False,0.994314997261829,0.9943543886566871,0.9943279823219247,0.9967858066071518,3.961661542526007e-05,0.002471844631675436,0.002471844631675436,0.2564648233038815,88.74600990864687,False
20260809,A2,1.5,False,0.9943077934648182,0.9943514826561174,0.9943206873573239,0.9967384974850253,4.393930288619674e-05,0.0024316200582403186,0.0024316200582403186,0.2554875167491341,87.4432414591746,False
20260809,A2,1.525,False,0.9943002028065141,0.9943485259094077,0.9943129945748042,0.996692162084777,4.8600113685185224e-05,0.0023927752357196133,0.0023927752357196133,0.25558151897733505,86.20211475459733,False
20260809,A2,1.55,True,0.9942922814444033,0.9943455183545608,0.9943049612787327,0.9966467858437965,5.354251576822509e-05,0.002355237735163367,0.002355237735163367,0.2565875146934623,85.01864436796956,False
20260809,R1,0.75,True,0.4330624854423076,0.4732865990703277,0.4334179118904736,0.9402479007917685,0.09288293255634303,1.169379425715504,1.169379425715504,1.397531593859547,2.62467269024774,False
20260809,R1,0.775,False,0.43399339950473514,0.5189562344771843,0.43437572905347316,0.9601607668583754,0.19576987822719677,1.2104383432071921,1.2104383432071921,2.2224241182067512,4.116572397088295,False
20260809,R1,0.8,False,0.4349595692265123,0.5758871622203231,0.43537017235712894,0.9698280816520731,0.3240015922501074,1.2275942249358662,1.2275942249358662,3.1453265620465873,5.780472993808928,False
20260809,R1,0.825,False,0.4359615105377544,0.6410803385759498,0.43640180719644023,0.9738898638613589,0.4704975624687218,1.2316357260706208,1.2316357260706208,4.154199238620005,7.6008908970677584,False
20260809,R1,0.85,False,0.4369997663143146,0.712273075991888,0.43747125494211486,0.9734838750028603,0.6299163772998029,1.225252205728738,1.225252205728738,5.27969338608514,9.591784822250567,False
20260809,R1,0.875,False,0.43807490739504795,0.7851261123611518,0.43857911059980725,0.9692914475937262,0.7922188628191376,1.210072080879796,1.210072080879796,6.58411777147851,11.806880685317218,False
20260809,R1,0.9,False,0.43918753440807284,0.8527949734426237,0.4397260615151122,0.9618833489536662,0.9417558710813633,1.1874604057794944,1.1874604057794944,8.122900528626142,14.350787756315436,False
