mode_index,singular_value,modal_energy_fraction,cumulative_energy,selected
1,58.47473295629224,0.99621210368437,0.99621210368437,True
2,3.6044834497298264,0.003785309469712814,0.9999974131540827,True
3,0.09291693666227328,2.5153885883045157e-06,0.999999928542671,False
4,0.015111324121712408,6.653043474363262e-08,0.9999999950731058,False
5,0.004111453697633195,4.9249987779294166e-09,0.9999999999981044,False
6,7.677316001741393e-05,1.7172524836117731e-12,0.9999999999998217,False
7,2.4731298611923617e-05,1.782006001036391e-13,0.9999999999999999,False
8,5.819171582367621e-15,9.865921268806066e-33,0.9999999999999999,False
