scope,root_index,source_voltage_V,load_resistance_ohm,branch,delta,resistance_variant,metallic_multiplier,temperature_K,device_voltage_V,current_A,resistance_ohm,insulating_fraction,conductive_state,current_residual,thermal_residual,analytic_fd_relative_frobenius,eigenpair_relative_residual_max,spectral_abscissa_per_s,alpha_tau_dimensionless,robust_stability_margin,stability_classification,case_id,diagnostic_only
base_matrix,0,9.0,12000.0,heating,1,S1_QS,1.0,331.2130281720848,6.711649691656974,0.00019069585902858546,35195.571240227575,0.9323169305796473,0.06768306942035274,1.0842021724855044e-16,3.0839528461809905e-15,2.4576871783803904e-08,1.526098641439615e-17,-1414029.6064703332,-0.3404653809753812,0.3404653809753812,stable,Vs9_heating_S1_QS,False
base_matrix,0,9.0,12000.0,heating,1,S7_DYNAMIC_COMPARATOR,4.9,331.0973180521303,6.775396619302667,0.0001853836150581111,36547.97980489713,0.9359193022403915,0.06408069775960845,3.614007241618348e-17,2.5699607051508254e-15,2.2083832416226048e-08,3.0915722826262595e-17,-1480518.6689530383,-0.35647439796150826,0.35647439796150826,stable,Vs9_heating_S7_DYNAMIC_COMPARATOR,False
base_matrix,0,9.0,12000.0,cooling,-1,S1_QS,1.0,332.3667755217527,3.0719485617711864,0.0004940042865190678,6218.465397167387,0.16789534043166437,0.8321046595683357,0.0,1.1564823173178713e-15,9.983346185763705e-08,4.68895820636883e-17,5048668.563916216,1.2156017513118658,-1.2156017513118658,unstable,Vs9_cooling_S1_QS,False
base_matrix,0,9.0,12000.0,cooling,-1,S7_DYNAMIC_COMPARATOR,4.9,332.549610082326,3.2400937032897517,0.00047999219139252064,6750.305028691847,0.15536443472571587,0.8446355652742841,7.228014483236696e-17,1.7989724936055776e-15,2.103279290002882e-08,4.7058907013757577e-17,3147851.1966131907,0.7579292201554091,-0.7579292201554091,unstable,Vs9_cooling_S7_DYNAMIC_COMPARATOR,False
base_matrix,0,12.5,12000.0,heating,1,S1_QS,1.0,338.9549048312098,4.113185722331094,0.0006989011898057422,5885.217799492291,0.2150831916089202,0.7849168083910798,0.0,6.394884621840901e-15,1.1639203521390195e-07,2.6081231629183802e-17,17346508.028143715,4.176634942698682,-4.176634942698682,unstable,Vs12.5_heating_S1_QS,True
base_matrix,0,12.5,12000.0,heating,1,S7_DYNAMIC_COMPARATOR,4.9,339.2330673405659,4.280645401629994,0.0006849462165308338,6249.608068953097,0.1922737483642506,0.8077262516357494,2.0816681711721685e-16,1.4654943925052066e-15,2.1420922321577066e-08,6.516369791346824e-17,14201105.698840039,3.4192953527304173,-3.4192953527304173,unstable,Vs12.5_heating_S7_DYNAMIC_COMPARATOR,True
base_matrix,0,12.5,12000.0,cooling,-1,S1_QS,1.0,334.25440136388124,2.226864428274207,0.0008560946309771494,2601.189573788655,0.07204073655788157,0.9279592634421184,2.0816681711721685e-16,3.796962744218035e-15,4.860145584978431e-08,5.653414614395532e-17,5230695.791209619,1.2594296662329956,-1.2594296662329956,unstable,Vs12.5_cooling_S1_QS,True
base_matrix,0,12.5,12000.0,cooling,-1,S7_DYNAMIC_COMPARATOR,4.9,334.9448205335781,2.444884543013851,0.0008379262880821791,2917.779973951683,0.05190162392156511,0.948098376078435,1.0408340855860843e-16,1.865174681370263e-15,3.3559152294567465e-08,2.797913143274877e-17,2531380.3871432524,0.6094974136034239,-0.6094974136034239,unstable,Vs12.5_cooling_S7_DYNAMIC_COMPARATOR,True
base_matrix,0,15.8,12000.0,heating,1,S1_QS,1.0,340.60970421232565,3.0191382741230344,0.0010650718104897473,2834.680482938289,0.10603652281655723,0.8939634771834428,0.0,5.169981838354208e-15,6.765656735689785e-08,8.393931201959218e-17,18478003.34577374,4.449072650244552,-4.449072650244552,unstable,Vs15.8_heating_S1_QS,False
base_matrix,0,15.8,12000.0,heating,1,S7_DYNAMIC_COMPARATOR,4.9,341.3464167258973,3.2094075157202524,0.0010492160403566457,3058.862419439682,0.07553229090645186,0.9244677090935481,0.0,3.168698546088063e-15,4.07288815324464e-08,2.2988914577712434e-17,6591830.129475817,1.587159099135925,-1.587159099135925,unstable,Vs15.8_heating_S7_DYNAMIC_COMPARATOR,False
base_matrix,0,15.8,12000.0,cooling,-1,S1_QS,1.0,335.3566117870321,1.8330027474493762,0.001163916437712552,1574.8576857044663,0.042554851568964824,0.9574451484310351,1.6468893759273485e-16,1.917896488421722e-15,1.5598931610895197e-08,4.207384959591937e-17,4960869.076726574,1.1944616806098938,-1.1944616806098938,unstable,Vs15.8_cooling_S1_QS,False
base_matrix,0,15.8,12000.0,cooling,-1,S7_DYNAMIC_COMPARATOR,4.9,336.83058260519147,2.1411112356665005,0.001138240730361125,1881.0706545241962,0.020647370465160353,0.9793526295348396,1.6468893759273485e-16,1.2508020576663405e-15,1.240654686662195e-08,2.0787051465437536e-17,10062.003782456624,0.0024226960563584884,-0.0024226960563584884,unstable,Vs15.8_cooling_S7_DYNAMIC_COMPARATOR,False
