load_resistance_ohm,branch,source_voltage_V,temperature_K,device_voltage_V,current_A,conductive_state,stability_classification,robust_stability_margin,reachable,reachability_status,target_grid_point,diagnostic_only,voting_eligible,load_scope
12000.0,heating,0.0,325.0,0.0,0.0,0.003120523811974585,stable,0.17109868944029832,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,0.5,325.01564971839997,0.4043175172015214,7.973540233206548e-06,0.003145254551126797,stable,0.17118749465278185,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,1.0,325.0626911423968,0.8082653013156483,1.5977891557029307e-05,0.0032207750332237106,stable,0.17145611074913042,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,1.5,325.1414027869573,1.2114675618518662,2.404436984567782e-05,0.0033512025740628504,stable,0.17191129566566188,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,2.0,325.2522546468582,1.6135360730769261,3.220532724358949e-05,0.0035438615797940276,stable,0.17256485996361567,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,2.5,325.39591730104775,2.0140631072168365,4.049474106526361e-05,0.0038100530143027056,stable,0.17343458439743142,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,3.0,325.5732755443581,2.4126132008396115,4.8948899930032403e-05,0.004166301449846754,stable,0.17454572766787854,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,3.5,325.78544766415445,2.8087130745439333,5.760724378800559e-05,0.0046362957623578005,stable,0.17593343166453032,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,4.0,326.03381222241296,3.2018386689548555,6.651344425376205e-05,0.005253883564852457,stable,0.17764658509689718,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,4.5,326.320045471777,3.5913976270171664,7.571686441523612e-05,0.00606772101056996,stable,0.17975419839581278,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,5.0,326.64617479605886,3.976704406488482,8.527463279262654e-05,0.007148599423555058,stable,0.18235635698201524,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,5.5,327.0146577593123,4.356943066502369,9.525474445813592e-05,0.008601225351282271,stable,0.18560405440610378,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,6.0,327.4285044264839,4.731108621009006,0.00010574094824924952,0.01058364063984718,stable,0.1897375370946668,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,6.5,327.89147684837894,5.097909421699894,0.00011684088152500887,0.013340220422114135,stable,0.19516685993115743,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,7.0,328.40843386078654,5.455594921279894,0.00012870042322667556,0.017259854747843306,stable,0.20266086621383148,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,7.5,328.9859662758948,5.801631391353745,0.00014153071738718786,0.022983430585517106,stable,0.21386689107310092,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,8.0,329.63365489633685,6.132042470556187,0.00015566312745365104,0.031614951673869074,stable,0.23316785535647006,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,8.5,330.3667930711646,6.439928658217246,0.00017167261181522952,0.0451729526848077,stable,0.2797017482760174,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,9.0,331.2130281720848,6.711649691656974,0.00019069585902858546,0.06768306942035274,stable,0.3404653809753812,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,9.5,332.2317092756826,6.914651166010976,0.00021544573616575198,0.10838119403215374,stable,0.2287805131843229,True,continuous_quasistatic_reachable,True,False,True,nominal_12k
12000.0,heating,10.0,333.58742297860454,6.942135524851341,0.0002548220395957216,0.19444330227517304,unstable,-0.01818632429464576,False,continuous_component_terminated_at_nonstable_point,True,False,False,nominal_12k
12000.0,heating,10.5,335.68613728635404,6.320686054888545,0.0003482761620926213,0.41109427755611816,unstable,-1.3727177060639293,False,post_switch_reachability_unresolved,True,False,False,nominal_12k
12000.0,heating,11.0,337.23065437500713,5.374212937937365,0.0004688155885052195,0.6039813738910544,unstable,-2.8069798587252337,False,post_switch_reachability_unresolved,True,False,False,nominal_12k
12000.0,heating,11.5,338.01408338533895,4.805708799446848,0.0005578576000460959,0.69391724280528,unstable,-3.5033891700867947,False,post_switch_reachability_unresolved,True,False,False,nominal_12k
12000.0,heating,12.0,338.54441888040503,4.413117355429609,0.0006322402203808659,0.747787517525181,unstable,-3.912919696463086,False,post_switch_reachability_unresolved,True,False,False,nominal_12k
12000.0,heating,12.5,338.9549048312098,4.113185722331094,0.0006989011898057422,0.7849168083910798,unstable,-4.176634942698682,False,post_switch_reachability_unresolved,True,True,False,nominal_12k
12000.0,heating,13.0,339.29495449482937,3.87076579803509,0.0007607695168304091,0.8125427904544562,unstable,-4.349790522373901,False,post_switch_reachability_unresolved,True,False,False,nominal_12k
12000.0,heating,13.5,339.5882884817497,3.6677523017909834,0.0008193539748507513,0.8341106367418654,unstable,-4.459445139030407,False,post_switch_reachability_unresolved,True,False,False,nominal_12k
12000.0,heating,14.0,339.8481828357615,3.493535679634354,0.0008755386933638038,0.8515173190982566,unstable,-4.520686691265879,False,post_switch_reachability_unresolved,True,False,False,nominal_12k
12000.0,heating,14.5,340.08285616074767,3.341332762867717,0.0009298889364276902,0.8659130718386494,unstable,-4.5425700442348145,False,post_switch_reachability_unresolved,True,False,False,nominal_12k
12000.0,heating,15.0,340.2977720788626,3.206527347117269,0.0009827893877402275,0.8780447805853008,unstable,-4.530681265410034,False,post_switch_reachability_unresolved,True,False,False,nominal_12k
12000.0,heating,15.5,340.49676076263984,3.085827255047885,0.0010345143954126762,0.8884228910080617,unstable,-4.488347346263944,False,post_switch_reachability_unresolved,True,False,False,nominal_12k
12000.0,heating,15.8,340.60970421232565,3.0191382741230344,0.0010650718104897473,0.8939634771834428,unstable,-4.449072650244552,False,post_switch_reachability_unresolved,True,False,False,nominal_12k
12000.0,heating,16.0,340.68261995574017,2.976797488711974,0.0010852668759406688,0.8974103979903434,unstable,-4.417191726949595,False,post_switch_reachability_unresolved,True,False,False,nominal_12k
12000.0,heating,16.5,340.85746140615043,2.877583839277113,0.0011352013467269073,0.9052737706043986,unstable,-4.3172802370875765,False,post_switch_reachability_unresolved,True,False,False,nominal_12k
12000.0,heating,17.0,341.0229223802591,2.7867403458271442,0.0011844383045144047,0.9122137715617173,unstable,-4.186868914951356,False,post_switch_reachability_unresolved,True,False,False,nominal_12k
12000.0,cooling,17.0,335.69175033768784,1.7309533045460772,0.0012724205579544936,0.9638428891804645,unstable,-1.1244462412222307,False,ambiguous_or_missing_high_stable_endpoint,True,False,False,nominal_12k
