alpha,finite,range,original_residual_inf,original_merit_l2,fp_defect_inf,raw_thermal_residual_inf_W_per_cell,temperature_min_K,temperature_max_K,correction,exponent
1.0,True,True,0.13300321267337484,0.5810845173421463,0.005931996667884428,4.221724579682387e-05,338.49488175775105,339.13063023271076,v1_last_failed_lgmres,0
0.5,True,True,0.07110471976709136,0.15643675683993807,0.003206960265043517,2.28322247985508e-05,337.90345002588145,339.2949805555529,v1_last_failed_lgmres,1
0.25,True,True,0.03926689805005527,0.04569538010145233,0.0017754328918088834,1.2681374635109386e-05,337.57162412852233,339.37715571697396,v1_last_failed_lgmres,2
0.125,True,True,0.026129970763520475,0.02066187380532881,0.0011792563377132678,8.462872319705549e-06,337.36023547609005,339.4182432976845,v1_last_failed_lgmres,3
0.0625,True,True,0.01926417320813925,0.012286481718401203,0.0008674641507454067,6.248129084050876e-06,337.2545409561358,339.4387870880398,v1_last_failed_lgmres,4
0.03125,True,True,0.014311648799808358,0.007574874063837873,0.0007495143503820034,5.427121169857087e-06,337.2016936961587,339.44906383836366,v1_last_failed_lgmres,5
0.015625,True,True,0.011017670223603743,0.005013161465838665,0.0006547024035407294,4.735185657999787e-06,337.1752700661702,339.4542058566281,v1_last_failed_lgmres,6
0.0078125,True,True,0.009820220507841235,0.004232077886103944,0.0006153271731939463,4.450766101406472e-06,337.1620582511759,339.4567769577541,v1_last_failed_lgmres,7
0.00390625,True,True,0.009543711022324536,0.0040677411099902284,0.0006064421564271509,4.386809327823754e-06,337.15545234367875,339.4580625083171,v1_last_failed_lgmres,8
0.001953125,True,True,0.00950666496174586,0.004046820602041752,0.0006055595465277692,4.380477109800468e-06,337.1521493899302,339.4587052835986,v1_last_failed_lgmres,9
0.0009765625,True,True,0.009511132263887546,0.00405111456601054,0.0006060127448995479,4.383736908983197e-06,337.15049791305586,339.45902667123937,v1_last_failed_lgmres,10
