derivative_max_relative_difference,derivative_pass,effective_rank,information_trace,neighborhood,observation_count,protocol,retained_condition_number,singular_1,singular_2,singular_3,singular_4,singular_5,spectral_gap,threshold_rank,window
0.00973737237286945,True,1.0000571323829177,11771.985596446402,anchor,8,triangle_low_amplitude,1.0,108.49854968454864,0.22424985337852948,0.004976276332548024,0.00018938022083631606,0.0,1.8938022083631606e+26,1,pre_switch
0.00973737237286945,True,1.0320309278968112,129298.17994844116,anchor,160,triangle_low_amplitude,14.301010673827072,358.6918720164059,25.081575015733968,2.9843987809027452,0.573460071934268,0.0,5.734600719342679e+29,2,switch
0.00973737237286945,True,1.000093453297705,12665.487433665367,anchor,8,triangle_low_amplitude,1.0,112.54063834592077,0.30332371740419894,0.011672124916569014,0.0035835730518426067,0.0,3.5835730518426063e+27,1,post_switch
0.00973737237286945,True,1.0003525343181898,21779.06011593346,anchor,8,triangle_low_amplitude,1.0,147.57501816637009,0.820854263845931,0.01767698274716987,0.003864039632532655,0.0,3.8640396325326547e+27,1,cooling_recovery
0.07274263554202959,False,1.0904538534338548,42.35736272705207,anchor,54,triangle_high_amplitude,7.59276612403363,6.452456569702971,0.8498163204683469,0.03126168987875239,0.0013679768280480125,5.233271687876807e-21,2.6139992525460013e+17,2,pre_switch
0.07274263554202959,False,1.0135635475679066,3673308.635026657,anchor,54,triangle_high_amplitude,1.0,1914.859146598833,79.91579755990527,15.361171795746614,0.7638159935913567,0.0,7.638159935913566e+29,1,switch
0.07274263554202959,False,1.0022693469232444,1069496.6979306734,anchor,8,triangle_high_amplitude,1.0,1034.0392268336939,16.09328344529558,0.7601773145069967,0.060483468149778015,0.0,6.048346814977801e+28,1,post_switch
0.07274263554202959,False,1.0056627084069192,2408693.2401134158,anchor,8,triangle_high_amplitude,1.0,1551.469677035729,40.36425754401577,2.4097258059244444,0.035868185337803234,0.0,3.5868185337803232e+28,1,cooling_recovery
0.38724070899535024,False,1.039697472993562,3653.6737119555305,anchor,32,multi_pulse,13.100614088493831,60.259400743320015,4.5997386333397445,1.1024717529829717,0.3244912176474614,0.0,3.244912176474614e+29,2,pre_switch
0.38724070899535024,False,1.355153906120482,15970110.476084575,anchor,32,multi_pulse,3.1878299531513736,3812.5661716530644,1195.9753900562039,63.01243627632847,11.043645489735821,0.0,1.104364548973582e+31,2,switch
0.38724070899535024,False,1.0000000685958466,3729347.1284695887,anchor,8,multi_pulse,1.0,1931.1517589275072,0.11152981364327824,0.004675147111997833,0.00016370390613804474,1.0470579598899245e-20,1.5634655616891988e+16,1,post_switch
0.38724070899535024,False,1.0000001150560112,5979838.7282931255,anchor,8,multi_pulse,1.0,2445.370870412296,0.18544941433678166,0.0063757056720075604,3.21533028094118e-05,0.0,3.2153302809411796e+25,1,cooling_recovery
0.01038725727029461,True,1.0000592152777936,13799.989754742714,alternating_plus,8,triangle_low_amplitude,1.0,117.47309670143997,0.2475331501558493,0.0057803866224157285,0.00020868994299122942,0.0,2.086899429912294e+26,1,pre_switch
0.01038725727029461,True,1.034773269017764,154626.13916085803,alternating_plus,160,triangle_low_amplitude,13.624410644726085,392.1551919511857,28.783277469912893,3.399788862165337,0.6395000933718809,0.0,6.395000933718808e+29,2,switch
0.01038725727029461,True,1.0001026203724515,15403.433239475626,alternating_plus,8,triangle_low_amplitude,1.0,124.11006984706218,0.3508901233467907,0.024491890318146615,0.008848820211838271,0.0,8.84882021183827e+27,1,post_switch
0.01038725727029461,True,1.000366320528673,26549.963736675432,alternating_plus,8,triangle_low_amplitude,1.0,162.93896624529464,0.9254648437377041,0.022515262256822297,0.004845218320976277,0.0,4.8452183209762763e+27,1,cooling_recovery
0.07821671465115189,False,1.075448708412274,29.821164114346615,alternating_plus,63,triangle_high_amplitude,8.529562815906964,5.423474595002878,0.6358443817177271,0.052574612153578004,0.005026340606067815,0.0,5.026340606067814e+27,2,pre_switch
0.07821671465115189,False,1.0170630412229134,3315585.33320827,alternating_plus,63,triangle_high_amplitude,1.0,1818.734869547596,86.73150172981343,16.30242681531988,0.8276397657851566,2.2231368125433103e-18,3.722846750211118e+17,1,switch
0.07821671465115189,False,1.0024183540712446,1095697.9706134978,alternating_plus,8,triangle_high_amplitude,1.0,1046.6196586317349,16.858421513030823,1.02647730984168,0.027340625294712453,2.551435864845563e-17,1071577995411119.9,1,post_switch
0.07821671465115189,False,1.0070696319939563,1936370.9084465436,alternating_plus,8,triangle_high_amplitude,1.0,1390.9267344073376,41.11914793297592,1.715319049617843,0.03621197853452423,0.0,3.621197853452423e+28,1,cooling_recovery
0.6484293492573403,False,1.0316119032107431,7814.1043189810025,alternating_plus,30,multi_pulse,15.148663787824884,88.19021776536513,5.821649948838682,1.5698464835260788,0.4835114991669368,0.0,4.8351149916693676e+29,2,pre_switch
0.6484293492573403,False,1.2523330708928384,2990246.1250291388,alternating_plus,30,multi_pulse,6.539719384993293,1687.478589839855,275.5813972757586,258.0353208598087,11.610362851760446,0.0,1.1610362851760446e+31,3,switch
0.6484293492573403,False,1.000000598947521,114793.26979796763,alternating_plus,8,multi_pulse,1.0,338.8115494310388,0.06138144401446309,0.001555596369942344,6.938075178084533e-05,0.0,6.938075178084532e+25,1,post_switch
0.6484293492573403,False,1.0000003697286421,184530.7725410832,alternating_plus,8,multi_pulse,1.0,429.5704469615413,0.06027820606612986,0.0022096144225645605,1.8293729264442222e-05,6.041651701145993e-22,3.0279351027422236e+16,1,cooling_recovery
0.0022767718962896834,True,1.0000550974273719,10068.54681495998,alternating_minus,8,triangle_low_amplitude,1.0,100.34194255295674,0.2033748943396536,0.004275706548382589,0.0001726114695760107,7.174466422327666e-20,2405913686331102.5,1,pre_switch
0.0022767718962896834,True,1.0295942274605598,108592.58289834106,alternating_minus,160,triangle_low_amplitude,14.980876014561822,328.7913900680227,21.94740746458541,2.6245639424382996,0.4771636762265029,0.0,4.771636762265029e+29,2,switch
0.0022767718962896834,True,1.0000900166005788,10475.03044046174,alternating_minus,8,triangle_low_amplitude,1.0,102.34723920006321,0.2696894960325419,0.017243543848140853,0.006230787129752968,0.0,6.230787129752967e+27,1,post_switch
0.0022767718962896834,True,1.0003358184528346,17972.264335853615,alternating_minus,8,triangle_low_amplitude,1.0,134.05870683162982,0.7260891787962538,0.015283343170528462,0.0044055193031630755,0.0,4.405519303163075e+27,1,cooling_recovery
0.07093549520381721,False,1.1215261228963889,80.96916598732557,alternating_minus,42,triangle_high_amplitude,6.330149189922995,8.887999159683941,1.404074199994023,0.03471228617692015,0.0027609568329147027,0.0,2.760956832914702e+27,2,pre_switch
0.07093549520381721,False,1.0109688030033983,3968794.066045042,alternating_minus,42,triangle_high_amplitude,1.0,1990.7726265797066,73.69835248158066,13.654063155095542,0.731236511337122,0.0,7.312365113371219e+29,1,switch
0.07093549520381721,False,1.0021334049393542,963473.4397520294,alternating_minus,8,triangle_high_amplitude,1.0,981.4556519823061,14.75690123578628,0.6867993423659974,0.07153038676771939,0.0,7.153038676771938e+28,1,post_switch
0.07093549520381721,False,1.0047230090315409,2888744.4885116974,alternating_minus,8,triangle_high_amplitude,1.0,1699.16163805063,39.80994967916995,3.063290583155576,0.021122078323379652,1.5258057638165803e-17,1384322881999466.0,1,cooling_recovery
0.3269540288770643,False,1.045008219222492,1937.1822499052132,alternating_minus,30,multi_pulse,11.753560438450837,43.85207176185677,3.7309606728526457,0.43333651803300927,0.26496040825562656,0.0,2.649604082556265e+29,2,pre_switch
0.3269540288770643,False,1.5360684637073982,23449948.64566659,alternating_minus,30,multi_pulse,2.3673190404897326,4459.752293528516,1883.8830834587961,106.78930268278008,11.777042244770232,0.0,1.1777042244770232e+31,2,switch
0.3269540288770643,False,1.0000001755816827,3959071.76844237,alternating_minus,8,multi_pulse,1.0,1989.7416246453422,0.18865463268289626,0.0023330880283194723,0.0002659542024637192,0.0,2.6595420246371914e+26,1,post_switch
0.3269540288770643,False,1.0000000981993358,6358374.020784733,alternating_minus,8,multi_pulse,1.0,2521.5816444809384,0.17605855270439713,0.002217888237347676,7.290948066535374e-05,0.0,7.290948066535373e+25,1,cooling_recovery
