refinement,nx,nz,source_current_A_at_1V,side_vo2_current_A_at_1V,relative_current_imbalance,face_terminal_source_current_A,terminal_source_area_m2,total_vo2_ti_contact_area_m2,raw_max_field_V_m,raw_max_field_x_m,raw_max_field_z_m,legacy_vs_face_core_relative_l2,legacy_raw_field_p50_V_m,face_raw_field_p50_V_m,face_common_grid_field_p50_V_m,legacy_raw_field_p90_V_m,face_raw_field_p90_V_m,face_common_grid_field_p90_V_m,legacy_raw_field_p95_V_m,face_raw_field_p95_V_m,face_common_grid_field_p95_V_m,legacy_raw_field_p99_V_m,face_raw_field_p99_V_m,face_common_grid_field_p99_V_m,probe_0_x_m,probe_0_z_m,probe_0_Ex_V_m,probe_0_Ez_V_m,probe_1_x_m,probe_1_z_m,probe_1_Ex_V_m,probe_1_Ez_V_m,probe_2_x_m,probe_2_z_m,probe_2_Ex_V_m,probe_2_Ez_V_m,old_csv_current_relative_difference,old_csv_p99_relative_difference,old_csv_imbalance_absolute_difference,common_grid_relative_l1,common_grid_relative_l2,common_grid_relative_linf
2,20,30,7.533097871992293e-06,1.9413165929213998e-05,2.503735912102033e-09,7.533097871992293e-06,1e-14,1.9999999999999997e-14,21609354.94864572,1.75e-08,9.375e-08,1.2782110186033256e-16,3118234.9469051855,3118234.946905186,3109401.6912659737,6911380.900804484,6911380.900804484,7201096.492171048,7116369.094936417,7116369.094936417,7779541.647164328,7426946.004254443,7426946.0042544445,8654034.683383157,3.4999999999999996e-08,2.5e-08,1513275.5622257495,-503869.88460795593,5e-08,5e-08,3111130.9983564205,-3.136665327474475e-08,6.5e-08,7.5e-08,5870891.587328011,2076235.5674780465,0.0,0.0,0.0,0.09014625017361255,0.11059001283857849,0.19729183503719785
4,40,60,7.937988707462642e-06,1.9413165929214926e-05,1.103991119233025e-08,7.937988707462642e-06,1e-14,1.9999999999999997e-14,31081569.574708812,1.875e-08,9.6875e-08,1.1960605742916907e-16,3208124.981286671,3208124.981286671,3203349.696512808,7191789.481710066,7191789.481710066,7708234.570741293,7867773.472684266,7867773.472684267,8376445.214268407,8543689.561289662,8543689.561289664,9375576.33040764,3.4999999999999996e-08,2.5e-08,1542445.4017271001,-511855.55046056944,5e-08,5e-08,3214043.509951192,-5.320871423464268e-07,6.5e-08,7.5e-08,6110657.116338396,2408153.577925927,0.0,0.0,0.0,0.04060984591607722,0.048543350888758045,0.08094030864187143
8,80,120,8.139754971603344e-06,1.9413165929215184e-05,2.4545981245371294e-08,8.139754971603342e-06,1e-14,1.9999999999999997e-14,44114851.918789625,1.9375e-08,9.84375e-08,9.53527271706606e-17,3249515.0583339776,3249515.0583339776,3254706.0080288807,7938060.8488926655,7938060.8488926655,7942164.066251311,8645846.506255819,8645846.506255817,8662918.500190383,9606816.608992632,9606816.608992632,9726394.599785272,3.4999999999999996e-08,2.5e-08,1561722.296942702,-517832.33957547916,5e-08,5e-08,3268027.935633058,-1.3988828868605196e-06,6.5e-08,7.5e-08,6229444.770533299,2542587.312740377,0.0,0.0,0.0,0.016977587867739025,0.01998449927844163,0.03458047531426049
16,160,240,8.240037708440251e-06,1.9413165929208736e-05,7.263248722253093e-08,8.240037708440251e-06,1e-14,1.999999999999999e-14,62120575.72544583,8.03125e-08,9.921875e-08,1.1570519852820888e-16,3271624.750378953,3271624.750378953,3281316.33621139,8080533.844374909,8080533.84437491,8053295.495247727,8815033.854454665,8815033.854454665,8799516.912586704,9927409.861703688,9927409.86170369,9900700.054672392,3.4999999999999996e-08,2.5e-08,1572558.4833600188,-521439.0337731437,5e-08,5e-08,3295683.87145618,-9.636733011575416e-07,6.5e-08,7.5e-08,6288561.305828122,2601179.4859775146,,,,0.0055281760096369745,0.006448059017942,0.010393979919852801
32,320,480,8.289158140495443e-06,1.9413165929176403e-05,2.393913406637712e-07,8.289158140495443e-06,1.000000000000001e-14,2.0000000000000022e-14,86692032.82810278,8.015625e-08,9.960937499999999e-08,9.938516399107525e-17,3282857.0525724273,3282857.0525724273,3294650.7471086006,8009485.05013227,8009485.050132269,8105179.727795093,8748043.93565862,8748043.93565862,8862579.71527099,9810422.104696753,9810422.104696754,9985317.482730014,3.4999999999999996e-08,2.5e-08,1578180.3614594457,-523374.1219232088,5e-08,5e-08,3309456.2927327794,3.046144684049068e-06,6.5e-08,7.5e-08,6317647.954814782,2627876.6356278732,,,,0.0,0.0,0.0
