Fo_A,time_s,Theta_base,Theta_fine,Z_green_K_W,Z_green_fine_K_W,steady_Rs_K_W
0.1,4.2857142857142864e-10,0.21237267492454526,0.21237267492456183,27135.985011128472,27135.98501113059,52158.95646368626
0.3,1.2857142857142856e-09,0.27098823382620735,0.27098823382620735,34625.60639645757,34625.60639645757,52158.95646368626
1.0,4.285714285714286e-09,0.32406620059304475,0.32406620059304475,41407.66021349319,41407.66021349319,52158.95646368626
3.0,1.2857142857142859e-08,0.35755517631598865,0.35755517631598865,45686.72456854134,45686.72456854134,52158.95646368626
10.0,4.285714285714286e-08,0.3800152494565466,0.3800152494565466,48556.567444078755,48556.567444078755,52158.95646368626
30.0,1.2857142857142858e-07,0.3918536883774367,0.3918536883774367,50069.22768262673,50069.22768262673,52158.95646368626
100.0,4.285714285714286e-07,0.39923552232837844,0.39923552232837844,51012.44382622225,51012.44382622225,52158.95646368626
300.0,1.2857142857142858e-06,0.4030254167793888,0.4030254167793889,51496.69877593702,51496.69877593703,52158.95646368626
1218.0,5.220000000000001e-06,0.405635663584059,0.405635663584059,51830.22387841097,51830.22387841097,52158.95646368626
