gamma_sub,T_sw_offset_K,objective,G_loss,I_loss,finite_result,is_true_pair
300000000.0,-2.0,197.2861004289889,91.13917550983035,212.2938498383171,True,False
300000000.0,-1.0,2.0817224770061156,1.0671049225848954,2.0292351088424403,True,False
300000000.0,-0.5,0.26935610954460476,0.14636224811797743,0.24598772285325468,True,False
300000000.0,0.0,0.013837081409853449,0.007319850811791531,0.013034461196123837,True,False
300000000.0,0.5,0.013508915153444007,0.00893306035858361,0.009151709589720796,True,False
300000000.0,1.0,0.06764037410846986,0.043085545858347216,0.04910965650024529,True,False
300000000.0,2.0,0.19112290797953116,0.12209218486046235,0.13806144623813763,True,False
350000000.0,-2.0,139.89501916836866,64.68391882568706,150.4222006853632,True,False
350000000.0,-1.0,1.4436372846305414,0.7565867795952875,1.3741010100705078,True,False
350000000.0,-0.5,0.17998229735050064,0.09980682879826192,0.16035093710447748,True,False
350000000.0,0.0,0.00463984837563214,0.0024502952344099276,0.004379106282444426,True,False
350000000.0,0.5,0.020617247396665303,0.013165047818867983,0.014904399155594637,True,False
350000000.0,1.0,0.07788124796246414,0.04921561946666638,0.05733125699159551,True,False
350000000.0,2.0,0.20013085969060307,0.12760703023322276,0.14504765891476062,True,False
400000000.0,-2.0,97.935234672212,45.40733389403908,105.05580155634586,True,False
400000000.0,-1.0,1.0136025163063458,0.5434417714820289,0.9403214896486339,True,False
400000000.0,-0.5,0.11815844116922797,0.06699079643287496,0.10233528947270601,True,False
400000000.0,0.0,0.0006188233479015252,0.00031900658516877665,0.0005996335254654971,True,False
400000000.0,0.5,0.02860194149472699,0.017888834508881353,0.021426213971691276,True,False
400000000.0,1.0,0.08796392911350423,0.055265116007222295,0.06539762621256387,True,False
400000000.0,2.0,0.2087013388522545,0.13287100863225587,0.15166066043999726,True,False
425000000.0,-2.0,81.59742569080578,37.91491065920666,87.36503006319825,True,False
425000000.0,-1.0,0.8528640291921548,0.46257881306306975,0.7805704322581699,True,False
425000000.0,-0.5,0.09483430206691135,0.05442268573645397,0.08082323266091475,True,False
