protocol,scenario,observation_count,noise,gamma_true,gamma_est,relative_error,objective,G_loss,I_loss,T_sw_delta_K,T_sw_prior_width,recoverable_le_0p1,recoverable_le_0p2,finite_result,frozen_inputs_unchanged
multi_amplitude_synthetic,nominal_fixed_prior,32,0.02,450000000.0,450000000.0,0.0,0.011919232452233933,0.007859863094847474,0.00811873871477292,0.0,0.0,True,True,True,True
triangle,T_sw_mismatch,8,0.0,450000000.0,1000000000.0,1.2222222222222223,0.12545603954500878,0.08413681628934394,0.08263844651132968,2.0,1.0,False,False,True,True
triangle,T_sw_mismatch,8,0.02,450000000.0,1000000000.0,1.2222222222222223,0.12927854150225315,0.07881789408217384,0.1009212948401586,2.0,1.0,False,False,True,True
triangle,T_sw_mismatch,32,0.0,450000000.0,1000000000.0,1.2222222222222223,0.11989697954242562,0.08208401816381382,0.07562592275722359,2.0,1.0,False,False,True,True
triangle,T_sw_mismatch,32,0.02,450000000.0,1000000000.0,1.2222222222222223,0.1235362910263128,0.08012209908052594,0.08682838389157375,2.0,1.0,False,False,True,True
triangle,narrow_T_sw_prior,8,0.0,450000000.0,550000000.0,0.2222222222222222,0.00046835623965410566,0.00037007558657012785,0.00019656130616795564,2.0,0.1,False,False,True,True
triangle,narrow_T_sw_prior,8,0.02,450000000.0,550000000.0,0.2222222222222222,0.001848995790366305,0.0006641917153060517,0.0023696081501205068,2.0,0.1,False,False,True,True
triangle,narrow_T_sw_prior,32,0.0,450000000.0,550000000.0,0.2222222222222222,0.0005873140115977435,0.0004382900631547511,0.0002980478968859849,2.0,0.1,False,False,True,True
triangle,narrow_T_sw_prior,32,0.02,450000000.0,550000000.0,0.2222222222222222,0.0032498718129570867,0.0013358069561993438,0.0038281297135154863,2.0,0.1,False,False,True,True
triangle,nominal_fixed_prior,8,0.0,450000000.0,450000000.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True
triangle,nominal_fixed_prior,8,0.02,450000000.0,475000000.0,0.05555555555555555,0.0016370445519545036,0.0010003998810160777,0.001273289341876852,0.0,0.0,True,True,True,True
triangle,nominal_fixed_prior,32,0.0,450000000.0,450000000.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True
triangle,nominal_fixed_prior,32,0.02,450000000.0,475000000.0,0.05555555555555555,0.003102709050681683,0.0012030288584663116,0.0037993603844307428,0.0,0.0,True,True,True,True
