anchor_region,anchor_source,gamma_sub,T_sw_offset_K,protocol,T_sw_prior_width,observation_count,noise,response_surface_predicted_error,simulator_backed_error,absolute_discrepancy,relative_discrepancy,predicted_recoverable_le_0p1,simulator_recoverable_le_0p1,classification_agreement,finite_result
high_confidence_recoverable_zone,phase_diagram_or_confounding_phase_map_case,450000000.0,0.04,ltp_ltd,0.2,16,0.0,0.0,0.0,0.0,0.0,True,True,True,True
random_control_zone,phase_diagram_or_confounding_phase_map_case,450000000.0,0.04,ltp_ltd,0.02,16,0.0,0.0,0.0,0.0,0.0,True,True,True,True
random_control_zone,phase_diagram_or_confounding_phase_map_case,450000000.0,0.1,ltp_ltd,0.02,16,0.0,0.0,0.0,0.0,0.0,True,True,True,True
random_control_zone,phase_diagram_or_confounding_phase_map_case,450000000.0,1.0,ltp_ltd,0.1,16,0.0,0.10272536687631027,0.1111111111111111,0.008385744234800832,0.07547169811320749,False,False,True,True
random_control_zone,phase_diagram_or_confounding_phase_map_case,450000000.0,2.0,ltp_ltd,0.2,16,0.0,0.4109014675052411,0.4444444444444444,0.03354297693920333,0.07547169811320749,False,False,True,True
random_control_zone,phase_diagram_or_confounding_phase_map_case,450000000.0,1.0,ltp_ltd,0.2,16,0.0,0.20545073375262055,0.2222222222222222,0.016771488469601664,0.07547169811320749,False,False,True,True
random_control_zone,phase_diagram_or_confounding_phase_map_case,450000000.0,0.0,ltp_ltd,0.5,16,0.0,0.0,0.0,0.0,0.0,True,True,True,True
random_control_zone,phase_diagram_or_confounding_phase_map_case,450000000.0,0.4,ltp_ltd,0.1,16,0.0,0.051362683438155136,0.05555555555555555,0.004192872117400416,0.07547169811320749,True,True,True,True
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,450000000.0,-1.0,triangle,1.0,16,0.0,0.16796425095864834,0.10241246436865867,0.06555178658998967,0.6400762543318947,False,False,True,True
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,475000000.0,2.0,triangle,1.0,16,0.0,0.044783740191108284,0.037716643239926725,0.007067096951181559,0.18737343369147844,True,True,True,True
