protocol_name,protocol,sensitivity_norm_gamma_sub,sensitivity_norm_T_sw,sensitivity_angle_or_cosine,distinguishability_score,expected_gamma_error_proxy,recommended_for_gamma_sub_inversion,finite_result,frozen_inputs_unchanged
multi_pulse,ltp_ltd,18.853129460922034,5.755483487223021,0.9525383127185862,0.8948013347502902,1.1175665046130796,False,True,True
long_pulse,ltp_ltd,2.677588308043415,0.8716118435778285,0.9481386763643258,0.13886327380653682,7.201328130814429,True,True,True
short_pulse,ltp_ltd,0.4396625810523625,0.23075983288756133,0.8054126601383119,0.08555277208370304,11.688691969228314,True,True,True
mixed_amplitude_pulse,ltp_ltd,1.4795216381465512,1.5469609389043188,0.979199863570836,0.030774251923348487,32.49469727130225,False,True,True
triangle_high_amplitude,triangle,2.791687151355608,3.281336964147279,0.9933823417845044,0.01847443141226208,54.12886479073274,False,True,True
triangle_low_amplitude,triangle,0.164978501714228,0.15163309810322614,0.9668110971158045,0.005475455471373597,182.63320836561118,False,True,True
