method,geometry,transition_width,noise,seed,chi,chi_c,selected_branch,relative_error,gain_over_fourier_off,smooth_degradation,runtime_cost,failure,finite_result,is_actual_autograd_training
adaptive_f_sps,uniform_strip,0.1,0.0,2027,2.5,1.5,adaptive_front_asinh,1.2516088485717773,0.1207642958782529,0.0,374.40000000000003,False,True,True
fourier_off,uniform_strip,0.1,0.02,2026,2.5,1.5,vanilla,1.2033253908157349,0.0,0.0,288.0,False,True,True
fourier_always_on,uniform_strip,0.1,0.02,2026,2.5,1.5,fourier,1.2340142726898193,-0.025503394267514346,0.0,374.40000000000003,False,True,True
f_sps_always_on,uniform_strip,0.1,0.02,2026,2.5,1.5,f_sps,1.237621545791626,-0.028501147933595695,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,uniform_strip,0.1,0.02,2026,2.5,1.5,stiff_fourier_asinh,1.1982640027999878,0.004206167387788562,0.0,374.40000000000003,False,True,True
front_local_fourier,uniform_strip,0.1,0.02,2026,2.5,1.5,uniform_fourier,1.3680671453475952,-0.13690540878571658,0.0,374.40000000000003,False,True,True
adaptive_f_sps,uniform_strip,0.1,0.02,2026,2.5,1.5,adaptive_front_asinh,1.0704071521759033,0.11045909913836872,0.0,374.40000000000003,False,True,True
fourier_off,uniform_strip,0.1,0.02,2027,2.5,1.5,vanilla,1.4236912727355957,0.0,0.0,288.0,False,True,True
fourier_always_on,uniform_strip,0.1,0.02,2027,2.5,1.5,fourier,1.2855265140533447,0.09704685371623444,0.0,374.40000000000003,False,True,True
f_sps_always_on,uniform_strip,0.1,0.02,2027,2.5,1.5,f_sps,1.0098309516906738,0.2906952714893708,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,uniform_strip,0.1,0.02,2027,2.5,1.5,stiff_fourier_asinh,1.2030997276306152,0.15494338507892796,0.0,374.40000000000003,False,True,True
front_local_fourier,uniform_strip,0.1,0.02,2027,2.5,1.5,uniform_fourier,1.1850758790969849,0.16760332679438,0.0,374.40000000000003,False,True,True
adaptive_f_sps,uniform_strip,0.1,0.02,2027,2.5,1.5,adaptive_front_asinh,1.251631736755371,0.12085452743530238,0.0,374.40000000000003,False,True,True
fourier_off,uniform_strip,0.05,0.0,2026,5.0,1.5,vanilla,1.2072546482086182,0.0,0.0,288.0,False,True,True
fourier_always_on,uniform_strip,0.05,0.0,2026,5.0,1.5,fourier,1.328460931777954,-0.10039827450586965,0.0,374.40000000000003,False,True,True
f_sps_always_on,uniform_strip,0.05,0.0,2026,5.0,1.5,f_sps,1.6717709302902222,-0.38477075467953287,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,uniform_strip,0.05,0.0,2026,5.0,1.5,stiff_fourier_asinh,1.187050223350525,0.016735843500850087,0.0,374.40000000000003,False,True,True
front_local_fourier,uniform_strip,0.05,0.0,2026,5.0,1.5,uniform_fourier,1.4472904205322266,-0.1988277888842962,0.0,374.40000000000003,False,True,True
adaptive_f_sps,uniform_strip,0.05,0.0,2026,5.0,1.5,adaptive_front_asinh,1.0452210903167725,0.13421655334463098,0.0,374.40000000000003,False,True,True
fourier_off,uniform_strip,0.05,0.0,2027,5.0,1.5,vanilla,1.623727798461914,0.0,0.0,288.0,False,True,True
fourier_always_on,uniform_strip,0.05,0.0,2027,5.0,1.5,fourier,1.4155124425888062,0.12823291937869213,0.0,374.40000000000003,False,True,True
f_sps_always_on,uniform_strip,0.05,0.0,2027,5.0,1.5,f_sps,1.006959319114685,0.37984721326534326,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,uniform_strip,0.05,0.0,2027,5.0,1.5,stiff_fourier_asinh,1.1617614030838013,0.2845097533069972,0.0,374.40000000000003,False,True,True
front_local_fourier,uniform_strip,0.05,0.0,2027,5.0,1.5,uniform_fourier,1.2733516693115234,0.21578501611063536,0.0,374.40000000000003,False,True,True
adaptive_f_sps,uniform_strip,0.05,0.0,2027,5.0,1.5,adaptive_front_asinh,1.147003412246704,0.2935987095046288,0.0,374.40000000000003,False,True,True
fourier_off,uniform_strip,0.05,0.02,2026,5.0,1.5,vanilla,1.2071623802185059,0.0,0.0,288.0,False,True,True
fourier_always_on,uniform_strip,0.05,0.02,2026,5.0,1.5,fourier,1.3283151388168335,-0.10036160883045249,0.0,374.40000000000003,False,True,True
f_sps_always_on,uniform_strip,0.05,0.02,2026,5.0,1.5,f_sps,1.6717092990875244,-0.3848255433415113,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,uniform_strip,0.05,0.02,2026,5.0,1.5,stiff_fourier_asinh,1.1869959831237793,0.01670562090501552,0.0,374.40000000000003,False,True,True
front_local_fourier,uniform_strip,0.05,0.02,2026,5.0,1.5,uniform_fourier,1.447129726409912,-0.19878630259167807,0.0,374.40000000000003,False,True,True
adaptive_f_sps,uniform_strip,0.05,0.02,2026,5.0,1.5,adaptive_front_asinh,1.0452070236206055,0.13416203093455017,0.0,374.40000000000003,False,True,True
fourier_off,uniform_strip,0.05,0.02,2027,5.0,1.5,vanilla,1.62391996383667,0.0,0.0,288.0,False,True,True
fourier_always_on,uniform_strip,0.05,0.02,2027,5.0,1.5,fourier,1.415654182434082,0.12824879676369,0.0,374.40000000000003,False,True,True
f_sps_always_on,uniform_strip,0.05,0.02,2027,5.0,1.5,f_sps,1.0069541931152344,0.3799237551484948,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,uniform_strip,0.05,0.02,2027,5.0,1.5,stiff_fourier_asinh,1.1618280410766602,0.2845533850500072,0.0,374.40000000000003,False,True,True
front_local_fourier,uniform_strip,0.05,0.02,2027,5.0,1.5,uniform_fourier,1.2734524011611938,0.21581578555599634,0.0,374.40000000000003,False,True,True
adaptive_f_sps,uniform_strip,0.05,0.02,2027,5.0,1.5,adaptive_front_asinh,1.1470201015472412,0.2936720238124951,0.0,374.40000000000003,False,True,True
fourier_off,localized_hotspot,0.2,0.0,2026,1.25,1.5,vanilla,4.340516090393066,0.0,0.0,288.0,False,True,True
fourier_always_on,localized_hotspot,0.2,0.0,2026,1.25,1.5,fourier,4.390594482421875,-0.011537428035262419,0.011537428035262476,374.40000000000003,False,True,True
f_sps_always_on,localized_hotspot,0.2,0.0,2026,1.25,1.5,f_sps,2.6342906951904297,0.39309274742214473,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,localized_hotspot,0.2,0.0,2026,1.25,1.5,smooth_vanilla,4.142875671386719,0.04553385240151243,0.0,288.0,False,True,True
front_local_fourier,localized_hotspot,0.2,0.0,2026,1.25,1.5,localized_front_sampling,2.362534523010254,0.45570193179578594,0.0,436.8,False,True,True
adaptive_f_sps,localized_hotspot,0.2,0.0,2026,1.25,1.5,adaptive_smooth_off,4.562963485717773,-0.05124906593873788,0.0512490659387379,288.0,False,True,True
fourier_off,localized_hotspot,0.2,0.0,2027,1.25,1.5,vanilla,4.026381015777588,0.0,0.0,288.0,False,True,True
fourier_always_on,localized_hotspot,0.2,0.0,2027,1.25,1.5,fourier,3.7152211666107178,0.07728027922533255,0.0,374.40000000000003,False,True,True
f_sps_always_on,localized_hotspot,0.2,0.0,2027,1.25,1.5,f_sps,1.820539951324463,0.5478470755274822,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,localized_hotspot,0.2,0.0,2027,1.25,1.5,smooth_vanilla,4.275922775268555,-0.061976687877556585,0.0619766878775565,288.0,False,True,True
front_local_fourier,localized_hotspot,0.2,0.0,2027,1.25,1.5,localized_front_sampling,2.2732367515563965,0.43541439753252426,0.0,436.8,False,True,True
adaptive_f_sps,localized_hotspot,0.2,0.0,2027,1.25,1.5,adaptive_smooth_off,4.759929656982422,-0.18218560000416867,0.1821856000041686,288.0,False,True,True
fourier_off,localized_hotspot,0.2,0.02,2026,1.25,1.5,vanilla,4.339442253112793,0.0,0.0,288.0,False,True,True
fourier_always_on,localized_hotspot,0.2,0.02,2026,1.25,1.5,fourier,4.389482498168945,-0.011531492329517046,0.011531492329517112,374.40000000000003,False,True,True
f_sps_always_on,localized_hotspot,0.2,0.02,2026,1.25,1.5,f_sps,2.6345932483673096,0.39287284063350575,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,localized_hotspot,0.2,0.02,2026,1.25,1.5,smooth_vanilla,4.1418538093566895,0.04553314279372384,0.0,288.0,False,True,True
front_local_fourier,localized_hotspot,0.2,0.02,2026,1.25,1.5,localized_front_sampling,2.362807273864746,0.45550438603720467,0.0,436.8,False,True,True
adaptive_f_sps,localized_hotspot,0.2,0.02,2026,1.25,1.5,adaptive_smooth_off,4.561814308166504,-0.05124438627895043,0.05124438627895045,288.0,False,True,True
fourier_off,localized_hotspot,0.2,0.02,2027,1.25,1.5,vanilla,4.0267744064331055,0.0,0.0,288.0,False,True,True
fourier_always_on,localized_hotspot,0.2,0.02,2027,1.25,1.5,fourier,3.7155654430389404,0.0772849263412877,0.0,374.40000000000003,False,True,True
f_sps_always_on,localized_hotspot,0.2,0.02,2027,1.25,1.5,f_sps,1.820993185043335,0.5477786930069518,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,localized_hotspot,0.2,0.02,2027,1.25,1.5,smooth_vanilla,4.276335716247559,-0.061975488225950344,0.06197548822595045,288.0,False,True,True
front_local_fourier,localized_hotspot,0.2,0.02,2027,1.25,1.5,localized_front_sampling,2.273805856704712,0.43532822373358715,0.0,436.8,False,True,True
adaptive_f_sps,localized_hotspot,0.2,0.02,2027,1.25,1.5,adaptive_smooth_off,4.760385513305664,-0.18218331419325456,0.1821833141932545,288.0,False,True,True
fourier_off,localized_hotspot,0.1,0.0,2026,2.5,1.5,vanilla,4.684598922729492,0.0,0.0,288.0,False,True,True
fourier_always_on,localized_hotspot,0.1,0.0,2026,2.5,1.5,fourier,4.892305374145508,-0.044338150360798655,0.0,374.40000000000003,False,True,True
f_sps_always_on,localized_hotspot,0.1,0.0,2026,2.5,1.5,f_sps,3.062830924987793,0.34619142951020715,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,localized_hotspot,0.1,0.0,2026,2.5,1.5,stiff_fourier_asinh,4.651031970977783,0.007165384338207363,0.0,374.40000000000003,False,True,True
front_local_fourier,localized_hotspot,0.1,0.0,2026,2.5,1.5,localized_front_sampling,3.6362342834472656,0.22378962565943522,0.0,436.8,False,True,True
adaptive_f_sps,localized_hotspot,0.1,0.0,2026,2.5,1.5,adaptive_front_asinh,2.1475164890289307,0.5415794341305796,0.0,374.40000000000003,False,True,True
fourier_off,localized_hotspot,0.1,0.0,2027,2.5,1.5,vanilla,4.191590785980225,0.0,0.0,288.0,False,True,True
fourier_always_on,localized_hotspot,0.1,0.0,2027,2.5,1.5,fourier,3.807854652404785,0.09154904502103033,0.0,374.40000000000003,False,True,True
f_sps_always_on,localized_hotspot,0.1,0.0,2027,2.5,1.5,f_sps,1.8772714138031006,0.5521339010282009,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,localized_hotspot,0.1,0.0,2027,2.5,1.5,stiff_fourier_asinh,3.6852426528930664,0.12080094621372876,0.0,374.40000000000003,False,True,True
front_local_fourier,localized_hotspot,0.1,0.0,2027,2.5,1.5,localized_front_sampling,2.4429988861083984,0.41716665322397617,0.0,436.8,False,True,True
adaptive_f_sps,localized_hotspot,0.1,0.0,2027,2.5,1.5,adaptive_front_asinh,2.6082277297973633,0.3777475276161969,0.0,374.40000000000003,False,True,True
fourier_off,localized_hotspot,0.1,0.02,2026,2.5,1.5,vanilla,4.683609962463379,0.0,0.0,288.0,False,True,True
fourier_always_on,localized_hotspot,0.1,0.02,2026,2.5,1.5,fourier,4.8912553787231445,-0.04433448086495934,0.0,374.40000000000003,False,True,True
f_sps_always_on,localized_hotspot,0.1,0.02,2026,2.5,1.5,f_sps,3.0632576942443848,0.34596225586785584,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,localized_hotspot,0.1,0.02,2026,2.5,1.5,stiff_fourier_asinh,4.650152206420898,0.007143582900930358,0.0,374.40000000000003,False,True,True
front_local_fourier,localized_hotspot,0.1,0.02,2026,2.5,1.5,localized_front_sampling,3.636742115020752,0.2235172988000092,0.0,436.8,False,True,True
adaptive_f_sps,localized_hotspot,0.1,0.02,2026,2.5,1.5,adaptive_front_asinh,2.147958755493164,0.5413882085169557,0.0,374.40000000000003,False,True,True
fourier_off,localized_hotspot,0.1,0.02,2027,2.5,1.5,vanilla,4.191972732543945,0.0,0.0,288.0,False,True,True
fourier_always_on,localized_hotspot,0.1,0.02,2027,2.5,1.5,fourier,3.808185338973999,0.09155293177134781,0.0,374.40000000000003,False,True,True
f_sps_always_on,localized_hotspot,0.1,0.02,2027,2.5,1.5,f_sps,1.877763271331787,0.5520573746212691,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,localized_hotspot,0.1,0.02,2027,2.5,1.5,stiff_fourier_asinh,3.6855506896972656,0.12080757084012611,0.0,374.40000000000003,False,True,True
front_local_fourier,localized_hotspot,0.1,0.02,2027,2.5,1.5,localized_front_sampling,2.4436304569244385,0.417069095427657,0.0,436.8,False,True,True
adaptive_f_sps,localized_hotspot,0.1,0.02,2027,2.5,1.5,adaptive_front_asinh,2.608889102935791,0.3776464520673164,0.0,374.40000000000003,False,True,True
fourier_off,localized_hotspot,0.05,0.0,2026,5.0,1.5,vanilla,5.943587303161621,0.0,0.0,288.0,False,True,True
fourier_always_on,localized_hotspot,0.05,0.0,2026,5.0,1.5,fourier,6.680670261383057,-0.12401314570231903,0.0,374.40000000000003,False,True,True
f_sps_always_on,localized_hotspot,0.05,0.0,2026,5.0,1.5,f_sps,3.505156993865967,0.41026238615163607,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,localized_hotspot,0.05,0.0,2026,5.0,1.5,stiff_fourier_asinh,5.629235744476318,0.052889196818575734,0.0,374.40000000000003,False,True,True
front_local_fourier,localized_hotspot,0.05,0.0,2026,5.0,1.5,localized_front_sampling,3.5813441276550293,0.3974440106650784,0.0,436.8,False,True,True
adaptive_f_sps,localized_hotspot,0.05,0.0,2026,5.0,1.5,adaptive_front_asinh,2.06152606010437,0.653151210716167,0.0,374.40000000000003,False,True,True
fourier_off,localized_hotspot,0.05,0.0,2027,5.0,1.5,vanilla,4.819148540496826,0.0,0.0,288.0,False,True,True
fourier_always_on,localized_hotspot,0.05,0.0,2027,5.0,1.5,fourier,4.27274227142334,0.11338232562907369,0.0,374.40000000000003,False,True,True
f_sps_always_on,localized_hotspot,0.05,0.0,2027,5.0,1.5,f_sps,1.7597206830978394,0.6348482167938275,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,localized_hotspot,0.05,0.0,2027,5.0,1.5,stiff_fourier_asinh,3.280191421508789,0.3193421215502479,0.0,374.40000000000003,False,True,True
front_local_fourier,localized_hotspot,0.05,0.0,2027,5.0,1.5,localized_front_sampling,3.0965356826782227,0.3574517040391978,0.0,436.8,False,True,True
