time_s,base_Zth_K_W,fine_Zth_K_W,steady_R_K_W,base_fine_normalized_change
1e-10,14693.618917246067,14882.704617219053,18353582.760415934,0.0003157487912563086
3e-10,36297.8847463464,36654.43996712031,18353582.760415934,0.0003157487912563086
1e-09,95165.07067549083,95612.84450581414,18353582.760415934,0.0003157487912563086
3e-09,213769.6334858052,214336.88684994561,18353582.760415934,0.0003157487912563086
1e-08,444199.8714872302,448330.6261450151,18353582.760415934,0.0003157487912563086
3e-08,710007.2696269631,715802.391198787,18353582.760415934,0.0003157487912563086
1e-07,1078036.513175047,1081167.503319031,18353582.760415934,0.0003157487912563086
3e-07,1610078.1888862576,1611819.1654496903,18353582.760415934,0.0003157487912563086
1e-06,2619100.2395639573,2620041.1539562093,18353582.760415934,0.0003157487912563086
