transition_width,T_sw_delta_K,model,strategy,seed,finite_residual,state_residual_mse,stiffness_indicator,residual_median_proxy,uses_fourier_features,uses_continuation
4.0,0.4,vanilla_mlp,direct_stiff_residual,2026,True,0.016201257705688477,0.003907366655766964,0.020108625292778015,False,False
4.0,0.4,vanilla_mlp,direct_stiff_residual,2027,True,0.0028777129482477903,0.003906417638063431,0.006784130819141865,False,False
4.0,0.4,vanilla_mlp,direct_stiff_residual,2028,True,0.011589143425226212,0.0039053792133927345,0.015494522638618946,False,False
4.0,0.4,vanilla_mlp,low_to_high_width_continuation,2026,True,0.016201257705688477,0.003907366655766964,0.013874951750040054,False,True
4.0,0.4,vanilla_mlp,low_to_high_width_continuation,2027,True,0.0028777129482477903,0.003906417638063431,0.004681050311774015,False,True
4.0,0.4,vanilla_mlp,low_to_high_width_continuation,2028,True,0.011589143425226212,0.0039053792133927345,0.010691220872104168,False,True
4.0,0.4,fourier_feature_mlp,direct_stiff_residual,2026,True,0.028793776407837868,0.003916032146662474,0.031532254070043564,True,False
4.0,0.4,fourier_feature_mlp,direct_stiff_residual,2027,True,0.021855086088180542,0.003919888287782669,0.02484707534313202,True,False
4.0,0.4,fourier_feature_mlp,direct_stiff_residual,2028,True,0.029190808534622192,0.00392870232462883,0.031927209347486496,True,False
4.0,0.4,fourier_feature_mlp,low_to_high_width_continuation,2026,True,0.028793776407837868,0.003916032146662474,0.021757254377007484,True,True
4.0,0.4,fourier_feature_mlp,low_to_high_width_continuation,2027,True,0.021855086088180542,0.003919888287782669,0.01714448258280754,True,True
4.0,0.4,fourier_feature_mlp,low_to_high_width_continuation,2028,True,0.029190808534622192,0.00392870232462883,0.022029774263501167,True,True
4.0,1.0,vanilla_mlp,direct_stiff_residual,2026,True,0.015026651322841644,0.003908494021743536,0.018935145810246468,False,False
4.0,1.0,vanilla_mlp,direct_stiff_residual,2027,True,0.003653560997918248,0.0039055312518030405,0.007559092249721289,False,False
4.0,1.0,vanilla_mlp,direct_stiff_residual,2028,True,0.017581915482878685,0.0038966659922152758,0.02147858217358589,False,False
4.0,1.0,vanilla_mlp,low_to_high_width_continuation,2026,True,0.015026651322841644,0.003908494021743536,0.013065250590443611,False,True
4.0,1.0,vanilla_mlp,low_to_high_width_continuation,2027,True,0.003653560997918248,0.0039055312518030405,0.0052157738246023655,False,True
4.0,1.0,vanilla_mlp,low_to_high_width_continuation,2028,True,0.017581915482878685,0.0038966659922152758,0.014820221811532974,False,True
4.0,1.0,fourier_feature_mlp,direct_stiff_residual,2026,True,0.028641855344176292,0.0039659845642745495,0.03143395483493805,True,False
4.0,1.0,fourier_feature_mlp,direct_stiff_residual,2027,True,0.02158580906689167,0.003995134029537439,0.024660028517246246,True,False
4.0,1.0,fourier_feature_mlp,direct_stiff_residual,2028,True,0.02917557954788208,0.004037079401314259,0.03201700374484062,True,False
4.0,1.0,fourier_feature_mlp,low_to_high_width_continuation,2026,True,0.028641855344176292,0.0039659845642745495,0.02168942801654339,True,True
4.0,1.0,fourier_feature_mlp,low_to_high_width_continuation,2027,True,0.02158580906689167,0.003995134029537439,0.017015419900417328,True,True
4.0,1.0,fourier_feature_mlp,low_to_high_width_continuation,2028,True,0.02917557954788208,0.004037079401314259,0.022091733291745186,True,True
4.0,2.0,vanilla_mlp,direct_stiff_residual,2026,True,0.013175847940146923,0.003910494036972523,0.017086341977119446,False,False
4.0,2.0,vanilla_mlp,direct_stiff_residual,2027,True,0.005191122647374868,0.003902578493580222,0.009093700908124447,False,False
4.0,2.0,vanilla_mlp,direct_stiff_residual,2028,True,0.030456632375717163,0.0038641602732241154,0.03432079404592514,False,False
4.0,2.0,vanilla_mlp,low_to_high_width_continuation,2026,True,0.013175847940146923,0.003910494036972523,0.011789576150476933,False,True
4.0,2.0,vanilla_mlp,low_to_high_width_continuation,2027,True,0.005191122647374868,0.003902578493580222,0.006274653598666191,False,True
4.0,2.0,vanilla_mlp,low_to_high_width_continuation,2028,True,0.030456632375717163,0.0038641602732241154,0.02368134818971157,False,True
4.0,2.0,fourier_feature_mlp,direct_stiff_residual,2026,True,0.02857002057135105,0.004144828300923109,0.03153711184859276,True,False
4.0,2.0,fourier_feature_mlp,direct_stiff_residual,2027,True,0.02118290401995182,0.004268116317689419,0.024534782394766808,True,False
4.0,2.0,fourier_feature_mlp,direct_stiff_residual,2028,True,0.029258862137794495,0.00441838288679719,0.03246486559510231,True,False
4.0,2.0,fourier_feature_mlp,low_to_high_width_continuation,2026,True,0.02857002057135105,0.004144828300923109,0.0217606071382761,True,True
4.0,2.0,fourier_feature_mlp,low_to_high_width_continuation,2027,True,0.02118290401995182,0.004268116317689419,0.01692900061607361,True,True
4.0,2.0,fourier_feature_mlp,low_to_high_width_continuation,2028,True,0.029258862137794495,0.00441838288679719,0.022400757297873497,True,True
3.0,0.4,vanilla_mlp,direct_stiff_residual,2026,True,0.015926968306303024,0.006944082211703062,0.022871050983667374,False,False
3.0,0.4,vanilla_mlp,direct_stiff_residual,2027,True,0.0032049294095486403,0.006942592095583677,0.010147521272301674,False,False
3.0,0.4,vanilla_mlp,direct_stiff_residual,2028,True,0.013082821853458881,0.006938261911273003,0.02002108469605446,False,False
3.0,0.4,vanilla_mlp,low_to_high_width_continuation,2026,True,0.015926968306303024,0.006944082211703062,0.015380782075226307,False,True
3.0,0.4,vanilla_mlp,low_to_high_width_continuation,2027,True,0.0032049294095486403,0.006942592095583677,0.006824208423495293,False,True
3.0,0.4,vanilla_mlp,low_to_high_width_continuation,2028,True,0.013082821853458881,0.006938261911273003,0.013464179821312428,False,True
3.0,0.4,fourier_feature_mlp,direct_stiff_residual,2026,True,0.02925661765038967,0.00695978756994009,0.03458666428923607,True,False
3.0,0.4,fourier_feature_mlp,direct_stiff_residual,2027,True,0.021855095401406288,0.006966352462768555,0.02752448245882988,True,False
3.0,0.4,fourier_feature_mlp,direct_stiff_residual,2028,True,0.029189517721533775,0.0069822589866817,0.034544043242931366,True,False
3.0,0.4,fourier_feature_mlp,low_to_high_width_continuation,2026,True,0.02925661765038967,0.00695978756994009,0.02325953170657158,True,True
3.0,0.4,fourier_feature_mlp,low_to_high_width_continuation,2027,True,0.021855095401406288,0.006966352462768555,0.01851021498441696,True,True
3.0,0.4,fourier_feature_mlp,low_to_high_width_continuation,2028,True,0.029189517721533775,0.0069822589866817,0.023230869323015213,True,True
3.0,1.0,vanilla_mlp,direct_stiff_residual,2026,True,0.01439377386122942,0.006945441942662001,0.021339215338230133,False,False
3.0,1.0,vanilla_mlp,direct_stiff_residual,2027,True,0.00427912687882781,0.006940231192857027,0.011219358071684837,False,False
3.0,1.0,vanilla_mlp,direct_stiff_residual,2028,True,0.021741963922977448,0.006909520365297794,0.028651483356952667,False,False
3.0,1.0,vanilla_mlp,low_to_high_width_continuation,2026,True,0.01439377386122942,0.006945441942662001,0.01435062289237976,False,True
3.0,1.0,vanilla_mlp,low_to_high_width_continuation,2027,True,0.00427912687882781,0.006940231192857027,0.007545018568634987,False,True
3.0,1.0,vanilla_mlp,low_to_high_width_continuation,2028,True,0.021741963922977448,0.006909520365297794,0.01926812343299389,False,True
3.0,1.0,fourier_feature_mlp,direct_stiff_residual,2026,True,0.02907601185142994,0.007048132363706827,0.034498557448387146,True,False
3.0,1.0,fourier_feature_mlp,direct_stiff_residual,2027,True,0.021516626700758934,0.007099657319486141,0.027328548952937126,True,False
3.0,1.0,fourier_feature_mlp,direct_stiff_residual,2028,True,0.029182255268096924,0.007174596656113863,0.03472079336643219,True,False
3.0,1.0,fourier_feature_mlp,low_to_high_width_continuation,2026,True,0.02907601185142994,0.007048132363706827,0.023200280964374542,True,True
3.0,1.0,fourier_feature_mlp,low_to_high_width_continuation,2027,True,0.021516626700758934,0.007099657319486141,0.018378449603915215,True,True
3.0,1.0,fourier_feature_mlp,low_to_high_width_continuation,2028,True,0.029182255268096924,0.007174596656113863,0.023349734023213387,True,True
3.0,2.0,vanilla_mlp,direct_stiff_residual,2026,True,0.012028388679027557,0.006946993991732597,0.018975382670760155,False,False
