structure,geometry,pulse,material_family,transition_width,seed,finite_result,interface_bc_residual,potential_jump_residual,normal_current_mismatch,temperature_jump_residual,substrate_robin_residual,energy_balance_error,max_delta_T,conductance_ratio,used_artificial_lateral_factor,used_temperature_clip,used_global_sink,adaptive_substeps_enabled,semi_implicit_boundary_enabled
pcm_plus_electrodes,uniform_crossbar,short_pulse,vo2,0.08,2026,True,0.0,0.0,0.0,0.0,0.0,3.991373324579021e-08,3.5775735000243e-05,2.027589129723591,False,False,False,True,True
pcm_plus_electrodes,uniform_crossbar,short_pulse,vo2,0.2,2026,True,0.0,0.0,0.0,0.0,0.0,3.989303207074757e-08,3.5775735000243e-05,2.027589125311303,False,False,False,True,True
pcm_plus_electrodes,uniform_crossbar,ltp_ltd,vo2,0.08,2026,True,1.604160071072779e-16,1.604160071072779e-16,1.4735165253834438e-16,0.0,0.0,2.5279396255462816e-08,2.8596643574019254e-05,2.02758912972359,False,False,False,True,True
pcm_plus_electrodes,uniform_crossbar,ltp_ltd,vo2,0.2,2026,True,1.6041600745630633e-16,1.6041600745630633e-16,1.473516525381705e-16,0.0,0.0,2.5363817023546367e-08,2.8596643574019254e-05,2.0275891253111515,False,False,False,True,True
pcm_plus_electrodes,localized_filament,short_pulse,vo2,0.08,2026,True,0.0,0.0,0.0,0.0,0.0,3.764935341578726e-08,8.975037195568802e-05,2.026800198682949,False,False,False,True,True
pcm_plus_electrodes,localized_filament,short_pulse,vo2,0.2,2026,True,0.0,0.0,0.0,0.0,0.0,3.765902071377047e-08,8.975037195568802e-05,2.0268001942739495,False,False,False,True,True
pcm_plus_electrodes,localized_filament,ltp_ltd,vo2,0.08,2026,True,1.5101972943271453e-16,1.5101972943271453e-16,1.2360481040187897e-16,0.0,0.0,2.3573118942085972e-08,7.17524067681552e-05,2.026800198682949,False,False,False,True,True
pcm_plus_electrodes,localized_filament,ltp_ltd,vo2,0.2,2026,True,1.5101972976112778e-16,1.5101972976112778e-16,0.0,0.0,0.0,2.370414630603349e-08,7.17524067681552e-05,2.026800194273726,False,False,False,True,True
full_stack_with_SnSe_barrier,uniform_crossbar,short_pulse,vo2,0.08,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.73070496506989e-11,1.000000000000223,False,False,False,True,True
full_stack_with_SnSe_barrier,uniform_crossbar,short_pulse,vo2,0.2,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.73070496506989e-11,1.000000000000223,False,False,False,True,True
full_stack_with_SnSe_barrier,uniform_crossbar,ltp_ltd,vo2,0.08,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.88329385209363e-11,1.000000000000223,False,False,False,True,True
