metric,gate,baseline,repair
port_full_trace_nrmse95,0.1,0.12376401394385624,0.12035832244525033
max_heldout_residual_rms,0.01,0.019630316644906998,0.04828565940260887
max_field_score_only_nrmse95,0.25,0.4420256234130143,1.1494688775426998
max_interface_flux_rms,0.05,0.09638587385416031,0.008965015411376953
terminal_current_conservation,0.01,1.9874867980337114,0.5198086500060433
global_energy_imbalance,0.05,0.9618644474083736,0.9985563048378772
