voltage_V,regime,candidate,reference,reference_event_semantics,candidate_event_semantics,current_absolute_rmse_A,current_absolute_max_error_A,voltage_absolute_rmse_V,voltage_absolute_max_error_V,current_absolute_rmse_noise_fraction,current_max_error_noise_fraction,voltage_absolute_rmse_noise_fraction,voltage_max_error_noise_fraction,full_horizon_current_nrmse95,full_horizon_voltage_nrmse95,steady_current_error_A,steady_voltage_error_V,steady_current_error_noise_fraction,steady_voltage_error_noise_fraction,reference_activity_class,candidate_activity_class,activity_class_match,reference_activity_peak_count,candidate_activity_peak_count,charge_relative_error,energy_relative_error,reference_reversal_event_count,candidate_reversal_event_count,reversal_event_count_exact,reversal_event_type_sequence_exact,paired_reversal_event_count,maximum_event_time_error_s,median_event_time_error_s,phase_drift_s_per_event,short_raw_current_nrmse95,short_raw_voltage_nrmse95,dt_s,solver_family,normalized_primary_score,paired_cycle_count,reference_period_s,candidate_period_s,period_relative_error,frequency_relative_error,cycle_shape_current_nrmse95,cycle_shape_voltage_nrmse95,cycle_shape_combined_nrmse95,cycle_peak_relative_error,cycle_duty_cycle_absolute_error,cycle_charge_relative_error,cycle_energy_relative_error,cycle_ledger_count,electrical_cycle_ledger_relative_residual,thermal_cycle_ledger_relative_residual,cycle_ledger_relative_residual
15.0,oscillatory,Radau,DOP853,continuous_extremum_root_located_hysteresis_reference,continuous_extremum_root_located_hysteresis_reference,6.833293811771252e-10,1.2242521467940859e-08,3.6081968545453915e-07,2.3492612371001087e-06,0.00011345214850038916,0.0020326074099249105,1.2361627615306074e-05,8.048533313120396e-05,2.675042919501111e-07,8.978760577873763e-08,2.0456488239450898e-10,2.6268275776786254e-07,3.396359948024928e-05,8.999471379720743e-06,sustained_spiking,sustained_spiking,True,172,172,9.990423680444963e-10,1.7452063577656883e-09,344,344,True,True,344,1.180724355093199e-13,6.360843384130288e-14,-3.0161827103533086e-16,1.1756892970370858e-08,3.4056762204044664e-09,,independent_reference_parity,,171,2.0454069721827925e-06,2.045406971579861e-06,2.947734179958025e-10,2.947733677247962e-10,2.0899854227226562e-08,5.324475012027451e-09,1.6227240462666827e-08,3.0075880806374895e-08,0.0,1.8875055801979216e-09,3.0280288543108852e-09,171,2.2036472966646362e-08,1.6456772588084828e-07,1.6456772588084828e-07
15.0,oscillatory,Euler_dt_2.5e-09s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,0.001168157840724929,0.0036117253925129576,2.1289589702744345,4.147657419417278,193.94748779793153,599.6493299734076,72.93781093358291,142.09811316172676,0.4573010391135125,0.5297774385599375,1.027805087765155e-05,0.04929360695402352,1.7064493150538533,1.6887914865655924,sustained_spiking,sustained_spiking,True,172,171,0.0038160480101208697,0.00602953560904343,344,342,False,False,342,2.6217341981582846e-06,8.748554089165573e-07,9.02079584315454e-09,0.1780993894299213,0.09517633204674943,2.5e-09,source_compatible_explicit_euler,,170,2.0454069721827925e-06,2.062500000010113e-06,0.008356785744735811,0.00828752864350862,0.007921320429469534,0.01107157787900322,0.00886639766432964,0.023063403079161778,0.0,0.005028474926362554,0.014509359947975937,170,0.0001928605289917192,5.39233654602897e-06,0.0001928605289917192
15.0,oscillatory,Euler_dt_1.25e-09s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,0.0011950732602769845,0.0035776538325610185,2.18718919026721,4.1114114373527695,198.41621438877388,593.9924801645373,74.93276942538819,140.85633132194693,0.46783767115092,0.5442676458515218,9.976381781697376e-06,0.048903110649712644,1.6563636491730536,1.675413142496135,sustained_spiking,sustained_spiking,True,172,171,0.0019352747449642173,0.0029081642065439586,344,344,True,False,344,1.1043724285948013e-06,3.9491251136978026e-07,4.591381198773409e-09,0.1147002584039931,0.048968833215621954,1.25e-09,source_compatible_explicit_euler,44.17489714379205,171,2.0454069721827925e-06,2.0549999999877958e-06,0.0046900337856802645,0.004668140051124237,0.0038402271744640646,0.005569302236163964,0.004358949692974035,0.012000898272266332,0.0,0.003113748968037285,0.008080664177577492,171,9.45504474616904e-05,7.49340086172636e-07,9.45504474616904e-05
15.0,oscillatory,Euler_dt_6.25e-10s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,0.0010483151269249423,0.003541726544831714,1.7809878903722018,4.088653805280266,174.0501824321003,588.0275266663285,61.016374592800794,140.0766583040182,0.4103859770899531,0.4431871237734686,5.450499802087247e-06,0.024871034862443686,0.9049382771783036,0.852077876487036,sustained_spiking,sustained_spiking,True,172,172,0.00024313068720435916,0.002705298181497689,344,344,True,True,344,8.022853263384535e-07,4.3941489808049187e-07,2.1058414629502027e-09,0.06341762839760988,0.022897215424682493,6.25e-10,source_compatible_explicit_euler,32.09141305353814,171,2.0454069721827925e-06,2.0493750000100485e-06,0.0019399698354511286,0.0019362136393956762,0.0025587590443267305,0.0026683598863059873,0.0025916392969205075,0.00573711850237263,0.0,0.0011502803454749558,0.003454881440581748,171,4.693611921884639e-05,1.1132037951183823e-06,4.693611921884639e-05
15.0,oscillatory,Euler_dt_3.125e-10s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,0.0006813954017618925,0.003329126874287183,0.7273008169162487,3.0443446876340414,113.13105280941257,552.7299234047766,24.917215510846415,104.29878656359736,0.2667471932384668,0.18098402516360945,5.932243283198434e-06,0.0024569919475294633,0.9849214221500163,0.08417617090626167,sustained_spiking,sustained_spiking,True,172,172,0.0001677969066393019,0.001060809497610761,344,344,True,True,344,2.488478260923737e-07,1.4550864783287082e-07,6.353859308540087e-10,0.02081732029486801,0.006907067023181816,3.125e-10,source_compatible_explicit_euler,9.95391304369495,171,2.0454069721827925e-06,2.046562499987846e-06,0.0005649378440419784,0.0005646188694751155,0.004671331417851944,0.0017506506296812384,0.003795127181400732,0.0016606618544580838,0.0,0.00035372084328743307,0.001194017391116651,171,2.3330266247370873e-05,1.6086853884714706e-07,2.3330266247370873e-05
17.0,static,Radau,DOP853,continuous_extremum_root_located_hysteresis_reference,continuous_extremum_root_located_hysteresis_reference,4.230582893604786e-13,9.93578470366574e-11,1.263382404437972e-10,1.1823358292417652e-08,6.522260728996989e-08,1.5317931361763292e-05,3.4959579793999385e-09,3.2716906314735115e-07,6.522260728996989e-08,3.4959579793999385e-09,4.276960730020818e-15,5.132871905288994e-11,6.593761122384717e-10,1.4203383260284934e-09,quiescent,quiescent,True,0,0,2.8454253228279554e-12,2.076018124164108e-11,0,0,True,True,0,,,,1.7341385695549713e-09,1.518706487075494e-10,,independent_reference_parity,,,,,,,,,,,,,,,,,
17.0,static,Euler_dt_2.5e-09s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,1.2588256689536094e-05,0.0026992024924981962,0.007910498649619936,0.27890620125706,1.940722929145492,416.1342032334232,0.2188946971085429,7.7177294567633465,1.940722929145492,0.2188946971085429,5.643890246002838e-07,0.006772668295348616,0.08701147013552002,0.18740932029590757,quiescent,quiescent,True,0,0,0.0004732473803758629,0.002320309307043905,0,0,True,True,0,,,,0.051553199407434275,0.005712847523771196,2.5e-09,source_compatible_explicit_euler,83.22684064668464,,,,,,,,,,,,,,,,
17.0,static,Euler_dt_1.25e-09s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,6.712518699570933e-06,0.0016119796881992475,0.003961602339380431,0.14164379846150332,1.0348644195827301,248.5178066638526,0.10962314546186518,3.919484438951762,1.0348644195827301,0.10962314546186518,2.817851040715774e-07,0.0033814212491587448,0.04344261688101248,0.09356871329047711,quiescent,quiescent,True,0,0,0.00023619978406494853,0.0011593455240972164,0,0,True,True,0,,,,0.027493290218588224,0.002880867589210038,1.25e-09,source_compatible_explicit_euler,49.70356133277052,,,,,,,,,,,,,,,,
17.0,static,Euler_dt_6.25e-10s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,3.450442145294217e-06,0.0008299493681090024,0.0010580901103011988,0.0714277278805504,0.5319523069964681,127.95272677096254,0.029278851367865854,1.9765063559318987,0.5319523069964681,0.029278851367865854,1.4695634850073885e-08,0.0001763476188285651,0.0022656159796610406,0.0048797882812540725,quiescent,quiescent,True,0,0,1.0014115931101146e-05,5.008663672223977e-05,0,0,True,True,0,,,,0.014144111212036284,0.0013666412226844915,6.25e-10,source_compatible_explicit_euler,25.590545354192507,,,,,,,,,,,,,,,,
17.0,static,Euler_dt_3.125e-10s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,1.7418569406391176e-06,0.00040452275488894653,0.0005959503441334537,0.03583518811355546,0.26854089389514435,62.364996610425145,0.016490789752816884,0.9916103896081513,0.26854089389514435,0.016490789752816884,2.3920141992150867e-08,0.00028704170266058426,0.0036877519403597328,0.007942850298625336,quiescent,quiescent,True,0,0,2.067461243599672e-05,0.00010130492743767161,0,0,True,True,0,,,,0.007139672152967542,0.000688886519969287,3.125e-10,source_compatible_explicit_euler,12.472999322085029,,,,,,,,,,,,,,,,
