true_gamma_sub,n_obs,noise_level,nearest_grid_gamma_sub,nearest_grid_relative_error,nearest_grid_objective_value,continuous_refined_gamma_sub,continuous_refined_relative_error,continuous_refined_objective_value,continuous_refined_G_loss,continuous_refined_I_loss,continuous_eval_count,continuous_bracket_low,continuous_bracket_high,refinement_resimulated_non_grid,error_reduction,success_flag,optimizer_success
438000000.0,8,0.0,450000000.0,0.0273972602739726,0.00013573877227357085,438004929.2416284,1.1253976320567197e-05,1.0332025180340161e-06,1.2835134137013744e-11,2.1214732870901077e-11,7,425000000.0,475000000.0,True,0.027386006297652032,True,True
438000000.0,8,0.02,450000000.0,0.0273972602739726,0.0015742697139343005,451772520.75920385,0.03144411132238322,0.0015713822442684545,0.0009851984198662768,0.0011702719244310318,7,425000000.0,475000000.0,True,-0.00404685104841062,True,True
438000000.0,8,0.05,450000000.0,0.0273972602739726,0.017083563085393487,437968746.7206925,7.135451896685988e-05,0.01694528982303855,0.00862150422277301,0.01664550492016388,7,425000000.0,475000000.0,True,0.027325905755005743,True,True
438000000.0,16,0.0,450000000.0,0.0273972602739726,0.00010226422713048197,437994160.35720605,1.3332517794414198e-05,1.0331922230410495e-06,1.328568118079091e-11,2.2789921073118904e-11,7,425000000.0,475000000.0,True,0.02738392775617819,True,True
438000000.0,16,0.02,425000000.0,0.02968036529680365,0.003723653361004862,427103956.4853429,0.02487681167729927,0.0037203528442818516,0.0023527482683850056,0.0027331663574560535,7,400000000.0,450000000.0,True,0.00480355361950438,True,True
438000000.0,16,0.05,425000000.0,0.02968036529680365,0.01691521247290904,416820881.30173194,0.04835415227915081,0.016865697498475243,0.0046562272318918995,0.02441692021917055,7,400000000.0,450000000.0,True,-0.01867378698234716,True,True
438000000.0,32,0.0,450000000.0,0.0273972602739726,8.443900605553354e-05,437997813.97057545,4.990934759242349e-06,1.0331742096655947e-06,1.557210127797313e-12,2.574964190333835e-12,7,425000000.0,475000000.0,True,0.02739226933921336,True,True
438000000.0,32,0.02,450000000.0,0.0273972602739726,0.003129565055882087,444663387.0898363,0.01521321253387283,0.00311321092039612,0.0010604237032135525,0.004103493818510753,7,425000000.0,475000000.0,True,0.012184047740099771,True,True
438000000.0,32,0.05,450000000.0,0.0273972602739726,0.018051424038097858,446272178.4089494,0.018886252075226883,0.018043542063732515,0.007692913848736861,0.02069917238479597,7,425000000.0,475000000.0,True,0.008511008198745718,True,True
438000000.0,64,0.0,450000000.0,0.0273972602739726,7.557721961746934e-05,438000232.850302,5.316216940204847e-07,1.0331740795829404e-06,1.6056539987857955e-14,2.5513196304845564e-14,7,425000000.0,475000000.0,True,0.02739672865227858,True,True
