refinement,nx,nz,source_current_A_at_1V,peak_field_p99_V_m,relative_current_imbalance,main_qoi_change_from_previous,peak_field_change_from_previous
2,20,30,7.533097871992293e-06,7426946.004254443,2.503735912102033e-09,,
4,40,60,7.937988707462642e-06,8543689.561289662,1.103991119233025e-08,0.051006728579709976,0.13070975355835007
8,80,120,8.139754971603344e-06,9606816.608992632,2.4545981245371294e-08,0.02478775649200631,0.11066382246828892
