protocol,calibration_error_K,T_sw_prior_width_after_calibration,effective_prior_width,noise,seed,relative_error,gamma_est,success_le_0p1,success_le_0p15,success_le_0p2,finite_result
ltp_ltd,0.02,0.1,0.1,0.05,2029,0.22585065589589617,551632795.1531533,False,False,False,True
ltp_ltd,0.02,0.1,0.1,0.05,2030,0.22565960033416826,551546820.1503757,False,False,False,True
ltp_ltd,0.02,0.2,0.2,0.0,2026,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.02,0.2,0.2,0.0,2027,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.02,0.2,0.2,0.0,2028,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.02,0.2,0.2,0.0,2029,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.02,0.2,0.2,0.0,2030,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.02,0.2,0.2,0.02,2026,0.427478913393758,642365511.027191,False,False,False,True
ltp_ltd,0.02,0.2,0.2,0.02,2027,0.42759390612188375,642417257.7548476,False,False,False,True
ltp_ltd,0.02,0.2,0.2,0.02,2028,0.42747318433719755,642362932.9517388,False,False,False,True
ltp_ltd,0.02,0.2,0.2,0.02,2029,0.42722773909180284,642252482.5913113,False,False,False,True
ltp_ltd,0.02,0.2,0.2,0.02,2030,0.4270832316123868,642187454.225574,False,False,False,True
ltp_ltd,0.02,0.2,0.2,0.05,2026,0.4523654746094624,653564463.5742581,False,False,False,True
ltp_ltd,0.02,0.2,0.2,0.05,2027,0.45266954191941033,653701293.8637347,False,False,False,True
ltp_ltd,0.02,0.2,0.2,0.05,2028,0.4523503256618264,653557646.5478219,False,False,False,True
ltp_ltd,0.02,0.2,0.2,0.05,2029,0.45170131179179235,653265590.3063065,False,False,False,True
ltp_ltd,0.02,0.2,0.2,0.05,2030,0.45131920066833653,653093640.3007513,False,False,False,True
ltp_ltd,0.04,0.0,0.02,0.0,2026,0.051362683438155136,473113207.5471698,True,True,True,True
ltp_ltd,0.04,0.0,0.02,0.0,2027,0.051362683438155136,473113207.5471698,True,True,True,True
ltp_ltd,0.04,0.0,0.02,0.0,2028,0.051362683438155136,473113207.5471698,True,True,True,True
ltp_ltd,0.04,0.0,0.02,0.0,2029,0.051362683438155136,473113207.5471698,True,True,True,True
ltp_ltd,0.04,0.0,0.02,0.0,2030,0.051362683438155136,473113207.5471698,True,True,True,True
