case_id,operating_point_id,strategy,T_sw_prior_width_K,effective_T_sw_delta_K,protocol,response_surface_protocol,observation_count,noise,seed,predicted_relative_error,predicted_success,predicted_abstention,fresh_solver_anchor,solver_relative_error,solver_estimated_gamma_sub,discrete_profile_width_fraction,anchor_absolute_discrepancy,anchor_classification_agreement,solver_forward_evaluations,source_kind,cache_hit
proto_100_ltp_n16__noise_010,proto_100_ltp_n16,protocol_only,1.0,2.0,ltp_ltd,ltp_ltd,16,0.01,20260716,1.1525786163522014,False,True,False,,,,,,0,historical_response_surface,False
proto_100_ltp_n16__noise_020,proto_100_ltp_n16,protocol_only,1.0,2.0,ltp_ltd,ltp_ltd,16,0.02,20260717,1.1751781970649897,False,True,False,,,,,,0,historical_response_surface,False
proto_100_ltp_n16__noise_050,proto_100_ltp_n16,protocol_only,1.0,2.0,ltp_ltd,ltp_ltd,16,0.05,20260718,1.2222222222222223,False,True,False,,,,,,0,historical_response_surface,False
proto_100_multi_n16__noise_000,proto_100_multi_n16,protocol_only,1.0,2.0,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.0,20260715,1.1991614255765202,False,True,False,,,,,,0,historical_response_surface,False
proto_100_multi_n16__noise_010,proto_100_multi_n16,protocol_only,1.0,2.0,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.01,20260716,1.2222222222222223,False,True,False,,,,,,0,historical_response_surface,False
proto_100_multi_n16__noise_020,proto_100_multi_n16,protocol_only,1.0,2.0,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.02,20260717,1.2222222222222223,False,True,True,0.16666666666666666,375000000.0,0.0,1.0555555555555556,True,6,historical_response_surface_with_fresh_solver_anchor,False
proto_100_multi_n16__noise_050,proto_100_multi_n16,protocol_only,1.0,2.0,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.05,20260718,1.2222222222222223,False,True,False,,,,,,0,historical_response_surface,False
proto_100_short_n16__noise_000,proto_100_short_n16,protocol_only,1.0,2.0,short_pulse_to_ltp_ltd,mixed_protocol,16,0.0,20260715,1.1991614255765202,False,True,False,,,,,,0,historical_response_surface,False
proto_100_short_n16__noise_010,proto_100_short_n16,protocol_only,1.0,2.0,short_pulse_to_ltp_ltd,mixed_protocol,16,0.01,20260716,1.2222222222222223,False,True,False,,,,,,0,historical_response_surface,False
proto_100_short_n16__noise_020,proto_100_short_n16,protocol_only,1.0,2.0,short_pulse_to_ltp_ltd,mixed_protocol,16,0.02,20260717,1.2222222222222223,False,True,False,,,,,,0,historical_response_surface,False
proto_100_short_n16__noise_050,proto_100_short_n16,protocol_only,1.0,2.0,short_pulse_to_ltp_ltd,mixed_protocol,16,0.05,20260718,1.2222222222222223,False,True,False,,,,,,0,historical_response_surface,False
seq_005_multi_n16__noise_000,seq_005_multi_n16,sequential_calibration_then_protocol,0.05,0.1,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.0,20260715,0.10901467505241091,True,False,False,,,,,,0,historical_response_surface,False
seq_005_multi_n16__noise_010,seq_005_multi_n16,sequential_calibration_then_protocol,0.05,0.1,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.01,20260716,0.11119496855345913,True,False,False,,,,,,0,historical_response_surface,False
seq_005_multi_n16__noise_020,seq_005_multi_n16,sequential_calibration_then_protocol,0.05,0.1,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.02,20260717,0.11337526205450736,True,False,True,0.1111111111111111,500000000.0,0.0,0.0022641509433962564,True,6,historical_response_surface_with_fresh_solver_anchor,False
seq_005_multi_n16__noise_050,seq_005_multi_n16,sequential_calibration_then_protocol,0.05,0.1,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.05,20260718,0.11991614255765201,True,False,False,,,,,,0,historical_response_surface,False
seq_005_short_n16__noise_000,seq_005_short_n16,sequential_calibration_then_protocol,0.05,0.1,short_pulse_to_ltp_ltd,mixed_protocol,16,0.0,20260715,0.10901467505241091,True,False,True,0.1111111111111111,500000000.0,0.0,0.0020964360587001907,True,6,historical_response_surface_with_fresh_solver_anchor,False
seq_005_short_n16__noise_010,seq_005_short_n16,sequential_calibration_then_protocol,0.05,0.1,short_pulse_to_ltp_ltd,mixed_protocol,16,0.01,20260716,0.11119496855345913,True,False,False,,,,,,0,historical_response_surface,False
seq_005_short_n16__noise_020,seq_005_short_n16,sequential_calibration_then_protocol,0.05,0.1,short_pulse_to_ltp_ltd,mixed_protocol,16,0.02,20260717,0.11337526205450736,True,False,False,,,,,,0,historical_response_surface,False
seq_005_short_n16__noise_050,seq_005_short_n16,sequential_calibration_then_protocol,0.05,0.1,short_pulse_to_ltp_ltd,mixed_protocol,16,0.05,20260718,0.11991614255765201,True,False,False,,,,,,0,historical_response_surface,False
seq_010_short_n16__noise_000,seq_010_short_n16,sequential_calibration_then_protocol,0.1,0.2,short_pulse_to_ltp_ltd,mixed_protocol,16,0.0,20260715,0.21802935010482183,False,True,False,,,,,,0,historical_response_surface,False
seq_010_short_n16__noise_010,seq_010_short_n16,sequential_calibration_then_protocol,0.1,0.2,short_pulse_to_ltp_ltd,mixed_protocol,16,0.01,20260716,0.22238993710691826,False,True,False,,,,,,0,historical_response_surface,False
seq_010_short_n16__noise_020,seq_010_short_n16,sequential_calibration_then_protocol,0.1,0.2,short_pulse_to_ltp_ltd,mixed_protocol,16,0.02,20260717,0.22675052410901472,False,True,False,,,,,,0,historical_response_surface,False
seq_010_short_n16__noise_050,seq_010_short_n16,sequential_calibration_then_protocol,0.1,0.2,short_pulse_to_ltp_ltd,mixed_protocol,16,0.05,20260718,0.23983228511530402,False,True,False,,,,,,0,historical_response_surface,False
