profile_type,fixed_value,profiled_value,min_objective,G_loss,I_loss
min_over_T_sw_for_gamma,300000000.0,0.0,0.013837081409853449,0.007319850811791531,0.013034461196123837
min_over_T_sw_for_gamma,309167065.16756725,1.0,0.13504940547679245,0.07475880622576728,0.12058119850205046
min_over_T_sw_for_gamma,318614247.2810891,1.0,0.24051258426007335,0.12450705780473618,0.2320110529106743
min_over_T_sw_for_gamma,328350105.84155947,1.0,0.24646091094096517,0.12775061638151725,0.23742058911889585
min_over_T_sw_for_gamma,338383461.90164995,1.0,0.15478735827360224,0.08514623718174683,0.13928224218371088
min_over_T_sw_for_gamma,348723406.05791456,0.0,0.0072413878127366455,0.0036777418100834712,0.007127292005306345
min_over_T_sw_for_gamma,359379306.68721086,0.0,0.11830997623940796,0.05608209482002912,0.12445576283875769
min_over_T_sw_for_gamma,370360818.4348,1.0,0.20604332755610524,0.10969060756563181,0.19270543998094683
min_over_T_sw_for_gamma,381677890.96181774,1.0,0.18693047074069527,0.10127501223687253,0.17131091700764536
min_over_T_sw_for_gamma,393340777.9600396,0.0,0.049827234834057973,0.023568295627657,0.052517878412801935
min_over_T_sw_for_gamma,405360046.4421104,0.0,0.03133030153052161,0.014829749016745481,0.03300110502755226
min_over_T_sw_for_gamma,417746586.3156533,0.0,0.045634290812898236,0.021576508265897406,0.04811556509400165
min_over_T_sw_for_gamma,430511620.2499343,0.0,0.02815049691936831,0.013314731591674851,0.02967153065538692
min_over_T_sw_for_gamma,443666713.8440212,0.0,0.03276293141046765,0.015524205212685693,0.03447745239556389
min_over_T_sw_for_gamma,457223786.1056496,0.0,0.0384314419345068,0.01821822405015579,0.04042643576870203
min_over_T_sw_for_gamma,471195120.25029045,0.0,0.012905424524427065,0.006218417236781348,0.01337401457529143
min_over_T_sw_for_gamma,485593374.83020395,0.0,0.054564605748140184,0.02595129955959457,0.05722661237709123
min_over_T_sw_for_gamma,500431595.2035617,0.0,0.002603597421887395,0.0014767012080237282,0.002253792427727332
min_over_T_sw_for_gamma,515723225.3540305,0.0,0.11922827858729973,0.05662747047313675,0.12520161622832604
min_over_T_sw_for_gamma,531482120.07152486,0.0,0.14177946416941878,0.0674712259772683,0.14861647638430092
min_over_T_sw_for_gamma,547722557.5051662,0.0,0.009748608228775832,0.005223224580585869,0.009050767296379932
min_over_T_sw_for_gamma,564459252.0998209,0.0,0.1125171485598549,0.0537559782624229,0.11752234059486392
min_over_T_sw_for_gamma,581707367.9279385,1.0,0.2548523081251563,0.13654507665897392,0.2366144629323649
min_over_T_sw_for_gamma,599482532.4287696,1.0,0.30074318764187796,0.15837972624788269,0.2847269227879905
min_over_T_sw_for_gamma,617800850.567412,1.0,0.259218725038255,0.14011248365520548,0.23821248276609908
min_over_T_sw_for_gamma,636678919.4265116,0.0,0.08976583847517453,0.04403971387620283,0.09145224919794341
min_over_T_sw_for_gamma,656133843.2438418,0.0,0.03374689721915319,0.017656324376486596,0.0321811456853332
min_over_T_sw_for_gamma,676183248.9093837,1.0,0.23090027097788368,0.12774379581810746,0.20631295031955232
min_over_T_sw_for_gamma,696845301.935949,1.0,0.3442019257473923,0.18021558747881658,0.3279726765371514
min_over_T_sw_for_gamma,718138722.9178152,1.0,0.4050399770819781,0.20891513182747562,0.3922496905090049
min_over_T_sw_for_gamma,740082804.4922854,1.0,0.3835496565668522,0.19998165804059387,0.36713599705251665
