rank,parameter,relative_step,G_t_sensitivity,I_t_sensitivity,max_delta_T_sensitivity,mean_delta_T_sensitivity,aggregate_sensitivity,cosine_with_gamma_sub
1,T_sw,0.006389776357827476,72.06058276079496,74.06411327661323,343.44500800355024,343.4441652093775,248.28742849880723,0.9046382724137423
2,eta_A,0.10000000000000005,1.1111111111111116,1.1111111111111116,0.0,0.0,0.7856742013183865,-0.43584559677733203
3,gamma_sub,0.2,0.22481030420079723,0.2756145562331842,0.39118370865466645,0.391184089485383,0.32884370993900625,1.0
4,sigma_on0,0.10000000000000003,0.29998235752171415,0.33476300078717675,0.2635004852842937,0.2635006469171122,0.2919421082128766,-0.9468534328639979
5,tau_m,0.24999999999999997,0.21866677521456734,0.23510378932257067,0.19198167070543973,0.1919819171392832,0.21023972551107956,0.9419308101833433
