fraction,old_delta,new_delta,reversal_temperature_K,literal_tpr_K,atanh_tpr_K,literal_realized_fraction,atanh_realized_fraction,anchor_inverse_abs_error,literal_tpr_discrepancy_K,atanh_tpr_discrepancy_K,literal_state_discrepancy,atanh_state_discrepancy,literal_state_jump,atanh_state_jump,literal_temperature_contract_K,atanh_temperature_contract_K
0.0001,-1,1,347.40555606121734,-7.057277405090872,7.192999999999984,0.1192449248503415,0.00010000000097359907,1.1018204577883939e-17,0.0,0.0,0.0,0.0,0.11914492485034149,9.735990632404531e-13,-1.888024949197251e-08,1.924334652025901e-08
0.0005999000000000001,-1,1,343.8638705598681,-3.519543682397739,7.192999999999984,0.11945509443319274,0.0005999000058378168,1.3552527156068805e-17,0.0,0.0,0.0,0.0,0.11885519443319274,5.837816666708073e-12,-9.415792947805959e-09,1.924334652025901e-08
0.0010998000000000002,-1,1,342.6650148787881,-2.324639779973893,7.192999999999984,0.11966558377804842,0.001099800010697094,1.6046192152785466e-17,0.0,0.0,0.0,0.0,0.11856578377804843,1.0697093818373693e-11,-6.219080887086943e-09,1.924334652025901e-08
0.0015997000000000001,-1,1,341.92353594156225,-1.587112621404117,7.192999999999984,0.11987639346272944,0.0015997000155515972,1.8431436932253575e-17,0.0,0.0,0.0,0.0,0.11827669346272944,1.5551597119453642e-11,-4.2459833366267395e-09,1.924334652025901e-08
0.0020996,-1,1,341.38513363900387,-1.052662097501866,7.192999999999984,0.12008752383303273,0.00209960002040116,3.469446951953614e-17,0.0,0.0,0.0,0.0,0.11798792383303272,2.040115992807401e-11,-2.8161742681733805e-09,1.924334652025901e-08
0.0025995000000000002,-1,1,340.9620637857187,-0.6335440228728544,7.192999999999984,0.12029897521077443,0.002599500025245838,2.3418766925686896e-17,0.0,0.0,0.0,0.0,0.11769947521077442,2.524583753854559e-11,-1.6949127162493069e-09,1.924334652025901e-08
0.0030994,-1,1,340.6134654575557,-0.28889747336597793,7.192999999999984,0.12051074791077615,0.003099400030085686,8.109832250191573e-17,0.0,0.0,0.0,0.0,0.11741134791077615,3.008568611254092e-11,-7.728839411662483e-10,1.924334652025901e-08
0.0035993,-1,1,340.316958703174,0.0036575023596014944,7.192999999999984,0.12072284224489255,0.0035993000349207604,2.8189256484623115e-17,0.0,0.0,0.0,0.0,0.11712354224489255,3.4920760293849495e-11,9.784872140202515e-12,1.924334652025901e-08
0.004099200000000001,-1,1,340.05894628757017,0.2577181393073147,7.192999999999984,0.12093525852338421,0.004099200039750839,2.42861286636753e-17,0.0,0.0,0.0,0.0,0.11683605852338422,3.975083803786639e-11,6.894702431874116e-10,1.924334652025901e-08
0.004599100000000001,-1,1,339.83054533281506,0.48216731540628643,7.192999999999984,0.12114799705549145,0.004599100044576088,2.168404344971009e-17,0.0,0.0,0.0,0.0,0.11654889705549146,4.457608674540703e-11,1.2899364286259157e-09,1.924334652025901e-08
0.005099000000000001,-1,1,339.6256320012805,0.6831288682847116,7.192999999999984,0.12136105814970904,0.005099000049396507,1.9081958235744878e-17,0.0,0.0,0.0,0.0,0.11626205814970904,4.939650598279055e-11,1.8275664577221062e-09,1.924334652025901e-08
0.005598900000000001,-1,1,339.43980532908205,0.8650037618270403,7.192999999999984,0.12157444211392959,0.005598900054211986,7.19910242530375e-17,0.0,0.0,0.0,0.0,0.11597554211392959,5.421198472771449e-11,2.314134176305487e-09,1.924334652025901e-08
