refinement,nx,nz,source_current_A_at_1V,relative_current_imbalance,reconstructed_source_current_A_at_1V,terminal_reconstruction_relative_error,raw_unwindowed_field_max_V_m,source_terminal_area_m2,vo2_ti_total_contact_area_m2,raw_grid_field_p50_V_m,fixed_grid_field_p50_V_m,raw_grid_field_p90_V_m,fixed_grid_field_p90_V_m,raw_grid_field_p95_V_m,fixed_grid_field_p95_V_m,raw_grid_field_p99_V_m,fixed_grid_field_p99_V_m,probe_0_x_m,probe_0_z_m,probe_0_Ex_V_m,probe_0_Ez_V_m,probe_1_x_m,probe_1_z_m,probe_1_Ex_V_m,probe_1_Ez_V_m,probe_2_x_m,probe_2_z_m,probe_2_Ex_V_m,probe_2_Ez_V_m
8,80,120,8.139754971603344e-06,2.4545981245371294e-08,8.139754971603342e-06,2.0812246811096682e-16,44114851.918789625,1e-14,1.9999999999999997e-14,3249515.0583339776,3254706.0080288807,7938060.8488926655,7942164.066251311,8645846.506255817,8662918.500190383,9606816.608992632,9726394.599785272,4.4000000000000004e-08,3.0000000000000004e-08,1913873.653098901,-265842.2549892434,5.0000000000000004e-08,5e-08,3268027.935633058,-1.3988828868605196e-06,5.6000000000000005e-08,7e-08,5626417.914501095,900091.5723778675
16,160,240,8.240037708440251e-06,7.263248722253093e-08,8.240037708440251e-06,0.0,62120575.72544583,1e-14,1.999999999999999e-14,3271624.750378953,3281316.33621139,8080533.84437491,8053295.495247727,8815033.854454665,8799516.912586704,9927409.86170369,9900700.054672392,4.4000000000000004e-08,3.0000000000000004e-08,1929094.7240021348,-268027.4550819157,5.0000000000000004e-08,5e-08,3295683.87145618,-9.636733011575416e-07,5.6000000000000005e-08,7e-08,5690436.421719967,918191.1744806004
32,320,480,8.289158140495443e-06,2.393913406637712e-07,8.289158140495443e-06,0.0,86692032.82810278,1.000000000000001e-14,2.0000000000000022e-14,3282857.0525724273,3294650.7471086006,8009485.050132269,8105179.727795093,8748043.93565862,8862579.71527099,9810422.104696754,9985317.482730014,4.4000000000000004e-08,3.0000000000000004e-08,1936176.1381840152,-269083.0488765001,5.0000000000000004e-08,5e-08,3309456.2927327794,3.046144684049068e-06,5.6000000000000005e-08,7e-08,5720408.715820585,926841.3871356309
