phase,protocol,delta_T_sw_K,observation_count,noise,seed,solver_level,gamma_est,relative_error,objective,retained_candidate_count,abstained,success,target_cache_key
discovery,ltp_ltd,0.2,8,0.02,20260719,base,550000000.0,0.2222222222222222,0.0007788844578670185,11,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0.20000000000000001|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.2,32,0.0,20260715,base,500000000.0,0.1111111111111111,0.00036072504674767013,9,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0.20000000000000001|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.2,32,0.02,20260715,base,500000000.0,0.1111111111111111,0.0013920819349399864,9,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0.20000000000000001|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.2,32,0.02,20260716,base,500000000.0,0.1111111111111111,0.0017253188526258109,9,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0.20000000000000001|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.2,32,0.02,20260717,base,500000000.0,0.1111111111111111,0.0014791366152886913,9,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0.20000000000000001|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.2,32,0.02,20260718,base,500000000.0,0.1111111111111111,0.0019805595500193922,9,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0.20000000000000001|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.2,32,0.02,20260719,base,500000000.0,0.1111111111111111,0.001692546501207693,9,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0.20000000000000001|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,2.0,8,0.0,20260715,base,1000000000.0,1.2222222222222223,0.03602103312458599,4,False,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=2|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,2.0,8,0.02,20260715,base,1000000000.0,1.2222222222222223,0.04370669913712179,4,False,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=2|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,2.0,8,0.02,20260716,base,1000000000.0,1.2222222222222223,0.03824933896491163,4,False,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=2|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,2.0,8,0.02,20260717,base,1000000000.0,1.2222222222222223,0.03325676395749085,4,False,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=2|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,2.0,8,0.02,20260718,base,1000000000.0,1.2222222222222223,0.04181826592993143,4,False,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=2|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,2.0,8,0.02,20260719,base,1000000000.0,1.2222222222222223,0.04286098454627876,4,False,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=2|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,2.0,32,0.0,20260715,base,1000000000.0,1.2222222222222223,0.03386738505771758,4,False,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=2|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,2.0,32,0.02,20260715,base,1000000000.0,1.2222222222222223,0.033178286155720396,4,False,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=2|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,2.0,32,0.02,20260716,base,1000000000.0,1.2222222222222223,0.034847078456538214,4,False,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=2|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,2.0,32,0.02,20260717,base,1000000000.0,1.2222222222222223,0.03445899236444422,4,False,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=2|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,2.0,32,0.02,20260718,base,1000000000.0,1.2222222222222223,0.032851065393833846,4,False,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=2|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
