observation_protocol,geometry,noise,observation_count,seed,true_lateral_coupling,estimated_lateral_coupling,true_amplitude,estimated_amplitude,relative_error,success,objective_value,finite_result
terminal_only_sparse,uniform_strip,0.05,32,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0019078915160518485,True
terminal_only_sparse,uniform_strip,0.05,32,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.003039605842047032,True
terminal_only_sparse,uniform_strip,0.05,32,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0024067547713054658,True
terminal_only_sparse,localized_hotspot,0.0,8,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00043430213764856195,True
terminal_only_sparse,localized_hotspot,0.0,8,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0004503476928348156,True
terminal_only_sparse,localized_hotspot,0.0,8,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0004693407962263334,True
terminal_only_sparse,localized_hotspot,0.0,8,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0004620325017190896,True
terminal_only_sparse,localized_hotspot,0.0,8,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.000456615240224025,True
terminal_only_sparse,localized_hotspot,0.0,16,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00042279701789152836,True
terminal_only_sparse,localized_hotspot,0.0,16,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00044253767318710416,True
terminal_only_sparse,localized_hotspot,0.0,16,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0004625635721851179,True
terminal_only_sparse,localized_hotspot,0.0,16,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.000451620455334964,True
terminal_only_sparse,localized_hotspot,0.0,16,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0004442756572788622,True
terminal_only_sparse,localized_hotspot,0.0,32,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0004317409087613212,True
terminal_only_sparse,localized_hotspot,0.0,32,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0004541171691604851,True
terminal_only_sparse,localized_hotspot,0.0,32,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00047884874620154834,True
terminal_only_sparse,localized_hotspot,0.0,32,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0004662578852663746,True
terminal_only_sparse,localized_hotspot,0.0,32,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0004570450156586447,True
terminal_only_sparse,localized_hotspot,0.02,8,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0004279957896853988,True
terminal_only_sparse,localized_hotspot,0.02,8,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0009636707324440052,True
terminal_only_sparse,localized_hotspot,0.02,8,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0008135376222963421,True
terminal_only_sparse,localized_hotspot,0.02,8,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0006341049334392405,True
terminal_only_sparse,localized_hotspot,0.02,8,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.000796087907241186,True
terminal_only_sparse,localized_hotspot,0.02,16,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0007159455424924786,True
terminal_only_sparse,localized_hotspot,0.02,16,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0008199545000898408,True
terminal_only_sparse,localized_hotspot,0.02,16,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0008439703760462834,True
terminal_only_sparse,localized_hotspot,0.02,16,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005572544586024655,True
terminal_only_sparse,localized_hotspot,0.02,16,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0004710112423100964,True
terminal_only_sparse,localized_hotspot,0.02,32,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0009123311468100855,True
terminal_only_sparse,localized_hotspot,0.02,32,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0007514524906961579,True
terminal_only_sparse,localized_hotspot,0.02,32,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0008746083363003131,True
terminal_only_sparse,localized_hotspot,0.02,32,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0009733723647750952,True
terminal_only_sparse,localized_hotspot,0.02,32,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0006616062976882573,True
terminal_only_sparse,localized_hotspot,0.05,8,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0036877544541878316,True
terminal_only_sparse,localized_hotspot,0.05,8,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0024852240591123854,True
terminal_only_sparse,localized_hotspot,0.05,8,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0010929415819963015,True
terminal_only_sparse,localized_hotspot,0.05,8,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0020802981546301103,True
terminal_only_sparse,localized_hotspot,0.05,8,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0026573645456020424,True
terminal_only_sparse,localized_hotspot,0.05,16,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.005205760179484589,True
terminal_only_sparse,localized_hotspot,0.05,16,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0033033993167256356,True
terminal_only_sparse,localized_hotspot,0.05,16,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0016388491811967693,True
terminal_only_sparse,localized_hotspot,0.05,16,2029,0.35,0.35,1.05,1.05,0.0,True,0.002510228894863902,True
terminal_only_sparse,localized_hotspot,0.05,16,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0026352682907875235,True
terminal_only_sparse,localized_hotspot,0.05,32,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.004033442158732287,True
terminal_only_sparse,localized_hotspot,0.05,32,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.003026558472607212,True
terminal_only_sparse,localized_hotspot,0.05,32,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.001930724125535357,True
terminal_only_sparse,localized_hotspot,0.05,32,2029,0.35,0.35,1.05,1.05,0.0,True,0.0034224185355318866,True
terminal_only_sparse,localized_hotspot,0.05,32,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.002203497747530247,True
terminal_only_sparse,defect_seeded_filament,0.0,8,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0006097569115351475,True
terminal_only_sparse,defect_seeded_filament,0.0,8,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005828463655361332,True
terminal_only_sparse,defect_seeded_filament,0.0,8,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0006195762954648292,True
terminal_only_sparse,defect_seeded_filament,0.0,8,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0006133274781834662,True
terminal_only_sparse,defect_seeded_filament,0.0,8,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005920851020337996,True
terminal_only_sparse,defect_seeded_filament,0.0,16,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005972284680107944,True
terminal_only_sparse,defect_seeded_filament,0.0,16,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005695842306333476,True
terminal_only_sparse,defect_seeded_filament,0.0,16,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0006044942926203944,True
terminal_only_sparse,defect_seeded_filament,0.0,16,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005992516840120652,True
terminal_only_sparse,defect_seeded_filament,0.0,16,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005755372407787293,True
terminal_only_sparse,defect_seeded_filament,0.0,32,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0006100019312469737,True
terminal_only_sparse,defect_seeded_filament,0.0,32,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005772039578551999,True
terminal_only_sparse,defect_seeded_filament,0.0,32,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0006169903839579514,True
terminal_only_sparse,defect_seeded_filament,0.0,32,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0006159518557311201,True
terminal_only_sparse,defect_seeded_filament,0.0,32,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005861008500134665,True
terminal_only_sparse,defect_seeded_filament,0.02,8,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005214341174132357,True
terminal_only_sparse,defect_seeded_filament,0.02,8,2027,0.35,0.35,1.05,1.05,0.0,True,0.0011129657043594864,True
terminal_only_sparse,defect_seeded_filament,0.02,8,2028,0.35,0.35,1.05,1.05,0.0,True,0.000835810522407183,True
terminal_only_sparse,defect_seeded_filament,0.02,8,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0007635060847169047,True
terminal_only_sparse,defect_seeded_filament,0.02,8,2030,0.35,0.35,1.05,1.05,0.0,True,0.0008596661162410463,True
terminal_only_sparse,defect_seeded_filament,0.02,16,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0009246642456770041,True
terminal_only_sparse,defect_seeded_filament,0.02,16,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.000980017609267508,True
terminal_only_sparse,defect_seeded_filament,0.02,16,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.000923907481684445,True
terminal_only_sparse,defect_seeded_filament,0.02,16,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0006370004147932499,True
terminal_only_sparse,defect_seeded_filament,0.02,16,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005672744505121265,True
terminal_only_sparse,defect_seeded_filament,0.02,32,2026,0.35,0.35,1.05,1.05,0.0,True,0.001060843256598468,True
terminal_only_sparse,defect_seeded_filament,0.02,32,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0008615030777445732,True
terminal_only_sparse,defect_seeded_filament,0.02,32,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0010421605517841506,True
terminal_only_sparse,defect_seeded_filament,0.02,32,2029,0.35,0.35,1.05,1.05,0.0,True,0.0010709596740047342,True
terminal_only_sparse,defect_seeded_filament,0.02,32,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0007695333446336931,True
terminal_only_sparse,defect_seeded_filament,0.05,8,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.003373881399682647,True
terminal_only_sparse,defect_seeded_filament,0.05,8,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.002672543219149571,True
terminal_only_sparse,defect_seeded_filament,0.05,8,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0011732912068745487,True
terminal_only_sparse,defect_seeded_filament,0.05,8,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.002008552087615252,True
terminal_only_sparse,defect_seeded_filament,0.05,8,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0028176263795419354,True
terminal_only_sparse,defect_seeded_filament,0.05,16,2026,0.35,0.35,1.05,1.05,0.0,True,0.00541504689122464,True
terminal_only_sparse,defect_seeded_filament,0.05,16,2027,0.35,0.35,1.05,1.05,0.0,True,0.0033240384227426725,True
terminal_only_sparse,defect_seeded_filament,0.05,16,2028,0.35,0.35,1.05,1.05,0.0,True,0.0018366566247875124,True
terminal_only_sparse,defect_seeded_filament,0.05,16,2029,0.35,0.35,1.05,1.05,0.0,True,0.002510228894863902,True
terminal_only_sparse,defect_seeded_filament,0.05,16,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.002832120202899856,True
terminal_only_sparse,defect_seeded_filament,0.05,32,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.004159064924151085,True
terminal_only_sparse,defect_seeded_filament,0.05,32,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.003075590745652823,True
terminal_only_sparse,defect_seeded_filament,0.05,32,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0019856309575521725,True
terminal_only_sparse,defect_seeded_filament,0.05,32,2029,0.35,0.35,1.05,1.05,0.0,True,0.0034224185355318866,True
terminal_only_sparse,defect_seeded_filament,0.05,32,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0022763273228901385,True
terminal_multi_pulse,uniform_strip,0.0,8,2026,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,uniform_strip,0.0,8,2027,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,uniform_strip,0.0,8,2028,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,uniform_strip,0.0,8,2029,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,uniform_strip,0.0,8,2030,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,uniform_strip,0.0,16,2026,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,uniform_strip,0.0,16,2027,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,uniform_strip,0.0,16,2028,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,uniform_strip,0.0,16,2029,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,uniform_strip,0.0,16,2030,0.35,0.35,1.05,1.05,0.0,True,0.0,True
