voltage_V,coarse_dt_s,fine_dt_s,current_nrmse95,device_voltage_nrmse95,combined_nrmse95,observed_activity_class,predicted_activity_class,activity_class_match,observed_spike_count,predicted_spike_count,spike_count_abs_error,frequency_relative_error,peak_amplitude_relative_error,onset_abs_error_s,duty_cycle_abs_error,charge_relative_error,energy_relative_error,observed_frequency_Hz,predicted_frequency_Hz,observed_duty_cycle,predicted_duty_cycle,observed_charge_C,predicted_charge_C,observed_energy_J,predicted_energy_J,gate_raw_current_nrmse95,gate_raw_voltage_nrmse95,gate_frequency,gate_charge,gate_energy,gate_activity_class,all_operational_convergence_gates_pass,historical_d0a_nrmse95,historical_d0a_gate_passed
9.0,5e-09,2.5e-09,8994.345448012633,431857.49753457337,135853.29107398086,quiescent,quiescent,True,0,0,0,0.0,0.0,0.0,2.5510204081591326e-05,2.2717153987691635e-06,1.0955551832934369e-06,0.0,0.0,0.9747831632653061,0.9747576530612245,7.232369296333035e-08,7.232385726217735e-08,4.895410398793535e-07,4.895415761985772e-07,False,False,True,True,True,True,False,,
11.0,5e-09,2.5e-09,0.3781664447356617,0.23428650685190963,0.3350024633705361,sustained_spiking,sustained_spiking,True,98,98,0,0.0013850415512464767,0.00417515869445807,5.499999999997152e-08,0.0017984693877551028,0.00010888581409262481,0.003061384545867714,276625.1728908763,277008.3102494509,0.1098341836734694,0.1116326530612245,2.1017805672568212e-07,2.1015517131687114e-07,8.330651017253345e-07,8.305147690972108e-07,False,False,True,True,True,True,False,0.1631480017203279,False
15.0,5e-09,2.5e-09,0.4520662484246028,0.5180228349686943,0.4718532243878303,sustained_spiking,sustained_spiking,True,169,171,2,0.009685230024213105,0.028097359525943128,3.599999999998136e-07,0.0004719387755102167,0.0018234473983346937,0.008967273566949317,479616.3069546848,484261.5012109045,0.1422704081632653,0.14274234693877552,3.7948083213196335e-07,3.8017279546803226e-07,1.2097911303900037e-06,1.1989426023649277e-06,False,False,True,True,True,True,False,,
17.0,5e-09,2.5e-09,11596391.68902667,6776521.563879327,10150430.651482467,quiescent,quiescent,True,0,0,0,0.0,0.0,0.0,0.00016581632653067668,0.00038451557543347673,0.0018764343474256973,0.0,0.0,0.9837372448979592,0.9835714285714285,4.7436133510774957e-07,4.745437344294819e-07,1.1686927127966512e-06,1.1664997376487734e-06,False,False,True,True,True,True,False,,
