profile_type,fixed_value,profiled_value,min_objective,G_loss,I_loss
min_over_T_sw_for_gamma,300000000.0,0.5,0.013508915153444007,0.00893306035858361,0.009151709589720796
min_over_T_sw_for_gamma,350000000.0,0.0,0.00463984837563214,0.0024502952344099276,0.004379106282444426
min_over_T_sw_for_gamma,400000000.0,0.0,0.0006188233479015252,0.00031900658516877665,0.0005996335254654971
min_over_T_sw_for_gamma,425000000.0,0.0,5.098387239050622e-05,2.8460245354268998e-05,4.504725407247444e-05
min_over_T_sw_for_gamma,450000000.0,0.0,0.0002443675483479658,0.00015227162590481847,0.00018419184488629463
min_over_T_sw_for_gamma,475000000.0,0.0,0.0010815963136230902,0.0006302140431540403,0.0009027645409380998
min_over_T_sw_for_gamma,500000000.0,0.0,0.002459770428852195,0.001408757333440688,0.002102026190823014
min_over_T_sw_for_gamma,550000000.0,0.0,0.006503179858762418,0.0036915043397429265,0.005623351038038983
min_over_T_sw_for_gamma,650000000.0,-0.5,0.006947263158975717,0.004933103964408799,0.004028318389133837
min_over_T_sw_for_gamma,800000000.0,-0.5,0.0034608624855947006,0.001935370786809914,0.0030509833975695734
min_over_T_sw_for_gamma,1000000000.0,-1.0,0.016662556180507368,0.012677590464487758,0.007969931432039216
min_over_gamma_for_T_sw,-2.0,1000000000.0,1.4981417010820177,0.8797863254983086,1.2367107511674185
min_over_gamma_for_T_sw,-1.0,1000000000.0,0.016662556180507368,0.012677590464487758,0.007969931432039216
min_over_gamma_for_T_sw,-0.5,800000000.0,0.0034608624855947006,0.001935370786809914,0.0030509833975695734
min_over_gamma_for_T_sw,0.0,425000000.0,5.098387239050622e-05,2.8460245354268998e-05,4.504725407247444e-05
min_over_gamma_for_T_sw,0.5,300000000.0,0.013508915153444007,0.00893306035858361,0.009151709589720796
min_over_gamma_for_T_sw,1.0,300000000.0,0.06764037410846986,0.043085545858347216,0.04910965650024529
min_over_gamma_for_T_sw,2.0,300000000.0,0.19112290797953116,0.12209218486046235,0.13806144623813763
