geometry,transition_width,lateral_coupling,seed,finite_fields,finite_residual,final_mean_T,max_T,final_conductance,max_conductance,spatial_sigma_std,residual_rms
uniform_strip,0.05,0.0,2026,True,True,1.0270653954578473,1.08732660914054,15.388855209697503,15.388855209697503,2.527383621615434,0.0
uniform_strip,0.05,0.0,2027,True,True,1.0266318851314995,1.0981247287280598,15.350865800096079,15.350865800096079,2.4808838004465525,0.0
uniform_strip,0.05,0.0,2028,True,True,1.0255448207697848,1.0904788665226466,15.249164891374402,15.249164891374402,2.429015671608746,0.0
uniform_strip,0.05,0.25,2026,True,True,1.0270653954578473,1.0574723418197722,15.504676071432364,15.504676071432364,1.1857628075184938,0.0
uniform_strip,0.05,0.25,2027,True,True,1.0266318851314995,1.0651427467089705,15.45812976538063,15.45812976538063,1.2043547903860248,0.0
uniform_strip,0.05,0.25,2028,True,True,1.0255448207697848,1.0565636583528777,15.347596342750059,15.347596342750059,1.1009249027638799,0.0
uniform_strip,0.05,0.5,2026,True,True,1.0270653954578473,1.0491986465701653,15.521776815295132,15.521776815295132,0.8360300876059368,0.0
uniform_strip,0.05,0.5,2027,True,True,1.0266318851314997,1.0516433087923303,15.474492637715064,15.474492637715064,0.871735747413321,0.0
uniform_strip,0.05,0.5,2028,True,True,1.0255448207697848,1.0458121075653375,15.361826250584338,15.361826250584338,0.7732003048790097,0.0
uniform_strip,0.1,0.0,2026,True,True,1.0270653954578473,1.08732660914054,14.025505559658814,14.025505559658814,1.36113829391311,0.0
uniform_strip,0.1,0.0,2027,True,True,1.0266318851314995,1.0981247287280598,14.002208993674259,14.002208993674259,1.3360364054967246,0.0
uniform_strip,0.1,0.0,2028,True,True,1.0255448207697848,1.0904788665226466,13.94308522289592,13.94308522289592,1.3012036823819497,0.0
uniform_strip,0.1,0.25,2026,True,True,1.0270653954578473,1.0574723418197722,14.042197604007539,14.042197604007539,0.62839611022409,0.0
uniform_strip,0.1,0.25,2027,True,True,1.0266318851314995,1.0651427467089705,14.017701372672972,14.017701372672972,0.6371345172376447,0.0
uniform_strip,0.1,0.25,2028,True,True,1.0255448207697848,1.0565636583528777,13.95713569001836,13.95713569001836,0.5806092325360142,0.0
uniform_strip,0.1,0.5,2026,True,True,1.0270653954578473,1.0491986465701653,14.044544658407329,14.044544658407329,0.4415878248665627,0.0
uniform_strip,0.1,0.5,2027,True,True,1.0266318851314997,1.0516433087923303,14.019951026907075,14.019951026907075,0.45923427565269986,0.0
uniform_strip,0.1,0.5,2028,True,True,1.0255448207697848,1.0458121075653375,13.959075193384441,13.959075193384441,0.4059819629048188,0.0
