denominator_median,denominator_min,dtype,fixed_scale_max,fixed_scale_rms,grid_count,independent_gate_value,interval_relative_max,interval_relative_p95,ledger,local_residual_prefix_fixed_scale_max,local_residual_prefix_fixed_scale_rms,low_activity_interval_fraction,normalization,prefix_fixed_scale_max,prefix_fixed_scale_rms,training_implementation_abs_difference
6.726321333076482e-11,5.020235435987528e-11,float64,0.0008378494369890196,0.000684338347027686,32,1.0,1.0,1.0,defect,0.021011923730061676,0.012944604499887647,0.0,fixed_physical_and_interval_relative_parallel,0.02100214489723528,0.01294362829594833,4.130810277169772e-17
0.22986336952202557,0.19007427032690527,float64,0.05636239002487059,0.039994012062038224,32,0.9925243782939318,1.0,1.0,energy,1.1794727055470466,0.6542356326857897,0.0,fixed_physical_and_interval_relative_parallel,1.1794915382021516,0.6542357337690868,5.974387651264124e-15
3.306076330760192e-11,2.4354352244328774e-11,float64,0.0004141035949136956,0.0003367531033178042,64,1.0,1.0,1.0,defect,0.021004457392124403,0.012908998970471116,0.0,fixed_physical_and_interval_relative_parallel,0.021002135149725917,0.01290883088970551,6.619054263024005e-17
0.11382759616820994,0.09304802776806703,float64,0.02782453517916093,0.01971694034226704,64,0.9981865885743471,1.0,1.0,energy,1.1801188947538468,0.6510299314857442,0.0,fixed_physical_and_interval_relative_parallel,1.1801235047907093,0.6510299113589988,8.959846753420209e-15
2.194216390346271e-11,1.616290655621614e-11,float64,0.0002748622457149079,0.00022332248184481806,96,1.0,1.0,1.0,defect,0.021003146013119603,0.012897535635140156,0.0,fixed_physical_and_interval_relative_parallel,0.021002133404702118,0.012897466897438665,4.960224939121183e-17
0.0755311412204056,0.06195580180870242,float64,0.018454699275278583,0.013080097840758542,96,0.9992023841394301,1.0,1.0,energy,1.1802345933819678,0.6499392510995302,0.0,fixed_physical_and_interval_relative_parallel,1.1802366104732727,0.6499392345494164,1.194183640862434e-14
1.639603333882865e-11,1.2022748519364824e-11,float64,0.00020565744955951886,0.00016705278579426773,128,1.0,1.0,1.0,defect,0.02100269778398961,0.012891865243307493,0.0,fixed_physical_and_interval_relative_parallel,0.021002132801042104,0.012891828114339778,4.9629354445523965e-17
0.05638858726239743,0.04594380979048127,float64,0.01381036059455252,0.009785549248455138,128,0.9995537000554623,1.0,1.0,energy,1.1802745904463015,0.6493901993460537,0.0,fixed_physical_and_interval_relative_parallel,1.1802757171724445,0.6493901877300607,1.194183640862434e-14
5.2210069723543966e-12,3.8223202827470186e-12,float64,6.546878294285866e-05,5.3172388218019436e-05,400,1.0,1.0,1.0,defect,0.021002189166449053,0.01288041682289497,0.0,fixed_physical_and_interval_relative_parallel,0.021002132111638122,0.012880413314350797,6.616343757592791e-17
0.017976307277081778,0.014590375025781628,float64,0.004396538401897817,0.00311515010612489,400,0.9999547939857177,1.0,1.0,energy,1.1803202513195985,0.6482629388289329,0.0,fixed_physical_and_interval_relative_parallel,1.1803203652494034,0.6482629371300909,1.1944004812969311e-14
