case_name,conductivity_mode,T_c,transition_width,sigma_ins0,sigma_met0,sigma_contrast,initial_loss,final_loss,finite_loss,loss_decreased,relative_G_error,relative_I_error,nrmse_delta_T,nrmse_c_v,nrmse_m,nrmse_sigma,sigma_min,sigma_max,sigma_dynamic_range,used_vo2_sigma,used_free_log_sigma,frozen_inputs_unchanged
mild_transition,white_box_vo2_sigma,313.0,5.0,0.0025,0.03,12.0,0.08990262448787689,0.08949020504951477,True,True,0.42666156507013664,0.4461685719031997,0.47216820007229915,0.3412382587192515,0.31248473559538087,0.18380569851264908,0.004412933252751827,0.004459326155483723,1.010512940050241,True,False,True
sharp_transition,white_box_vo2_sigma,313.0,0.75,0.0025,0.03,12.0,0.17952024936676025,0.17876745760440826,True,True,0.6541468962013739,0.6620272150456785,0.47217163302931864,0.3451814005505574,0.31309521694563713,0.2502860490249889,0.002508987206965685,0.0025596902705729008,1.0202085779737933,True,False,True
near_threshold,white_box_vo2_sigma,300.5,1.0,0.0025,0.03,12.0,0.34904590249061584,0.3482680022716522,True,True,1.0033520810671768,1.0152833663449128,0.4721948463577361,0.34735744056506657,0.31113318577505117,0.3110244204386709,0.012938382104039192,0.012966097332537174,1.0021420938317573,True,False,True
high_contrast,white_box_vo2_sigma,313.0,2.0,0.001,0.3,300.0,0.2530696392059326,0.25269144773483276,True,True,0.7970808136413061,0.8011396652516292,0.4721681455809179,0.34313821202924694,0.31245966767332445,0.29290442824694246,0.001454874174669385,0.0014749980764463544,1.0138320564948804,True,False,True
