module,seed,relative_step,direction_l2_norm,raw_objective_base,normalized_objective_base,vjp_raw,vjp_normalized,central_fd_raw,central_fd_normalized,relative_error_raw,relative_error_normalized,taylor_remainder_raw,taylor_remainder_normalized,raw_parity_pass,normalized_parity_pass,direction_classification
shared_trunk,20260715,0.01,4.7000855440086085,2509632.8419676013,0.8333333333333334,396118863.85498494,25.14862782608211,394219281.0901057,25.208223687302144,0.004795486754638993,0.0023641436207206905,9519985.45280396,0.650019366845557,False,False,stable_parity_no_autograd_error
shared_trunk,20260715,0.003,4.7000855440086085,2509632.8419676013,0.8333333333333334,396118863.85498494,25.14862782608211,395561917.3443501,25.153991363986734,0.0014060085531264472,0.0002132281047175634,859130.2234903371,0.058463039362378066,False,False,stable_parity_no_autograd_error
shared_trunk,20260715,0.001,4.7000855440086085,2509632.8419676013,0.8333333333333334,396118863.85498494,25.14862782608211,396046518.05292416,25.149223773917928,0.00018263659891559208,2.3696470363325537e-05,95594.16454247461,0.006494690053274927,False,True,stable_parity_no_autograd_error
shared_trunk,20260715,0.0003,4.7000855440086085,2509632.8419676013,0.8333333333333334,396118863.85498494,25.14862782608211,396112233.6994508,25.148681461498366,1.673779296856574e-05,2.132732737491824e-06,8608.150523728458,0.0005844844443894555,True,True,stable_parity_no_autograd_error
shared_trunk,20260715,0.0001,4.7000855440086085,2509632.8419676013,0.8333333333333334,396118863.85498494,25.14862782608211,396118125.99601454,25.148633785802563,1.8627211115949123e-06,2.3697988943614506e-07,956.6097811768559,6.494152305385912e-05,True,True,stable_parity_no_autograd_error
shared_trunk,20260715,3e-05,4.7000855440086085,2509632.8419676013,0.8333333333333334,396118863.85498494,25.14862782608211,396118797.4351691,25.148628361469175,1.6767647769143496e-07,2.1288917174361904e-08,86.09954266131354,5.844699487349519e-06,True,True,stable_parity_no_autograd_error
shared_trunk,20260715,1e-05,4.7000855440086085,2509632.8419676013,0.8333333333333334,396118863.85498494,25.14862782608211,396118856.480997,25.148627886217852,1.8615593918877986e-08,2.391213698338757e-09,9.56676372737411,6.494098651661936e-07,True,True,stable_parity_no_autograd_error
shared_trunk,20260715,3e-06,4.7000855440086085,2509632.8419676013,0.8333333333333334,396118863.85498494,25.14862782608211,396118863.19029146,25.148627823915838,1.678015200540739e-09,8.613872428123513e-11,0.8610134088642099,5.844678979283083e-08,True,True,stable_parity_no_autograd_error
shared_trunk,20260715,1e-06,4.7000855440086085,2509632.8419676013,0.8333333333333334,396118863.85498494,25.14862782608211,396118863.7984451,25.148627839255422,1.4273451406844252e-10,5.238183646129208e-10,0.09566830381828595,6.494084731596748e-09,True,True,stable_parity_no_autograd_error
shared_trunk,20260715,3e-07,4.7000855440086085,2509632.8419676013,0.8333333333333334,396118863.85498494,25.14862782608211,396118863.9785784,25.148627856482385,3.120110169741225e-10,1.208824443534182e-09,0.008610197866559588,5.845250002245952e-10,True,True,stable_parity_no_autograd_error
shared_trunk,20260715,1e-07,4.7000855440086085,2509632.8419676013,0.8333333333333334,396118863.85498494,25.14862782608211,396118864.1539775,25.148628002846785,7.548051892290398e-10,7.028799971335418e-09,0.000956713551730104,6.489439157881201e-11,True,True,stable_parity_no_autograd_error
shared_trunk,20260716,0.01,4.7000855440086085,2509632.8419676013,0.8333333333333334,141150961.45494983,9.51805269328483,139335587.18759614,9.436014387881391,0.012861224951224184,0.008619232110504913,3064859.282271263,0.20731791499132524,False,False,stable_parity_no_autograd_error
shared_trunk,20260716,0.003,4.7000855440086085,2509632.8419676013,0.8333333333333334,141150961.45494983,9.51805269328483,140951687.8877137,9.510669517723983,0.001411776194664648,0.0007757023205025583,277341.733798623,0.01870880461202819,False,False,stable_parity_no_autograd_error
shared_trunk,20260716,0.001,4.7000855440086085,2509632.8419676013,0.8333333333333334,141150961.45494983,9.51805269328483,141128189.73083097,9.517232343098536,0.00016132886297148228,8.618886790489323e-05,30865.312274866243,0.0020803821961050007,False,True,stable_parity_no_autograd_error
shared_trunk,20260716,0.0003,4.7000855440086085,2509632.8419676013,0.8333333333333334,141150961.45494983,9.51805269328483,141148905.09658572,9.517978861769603,1.4568504124299134e-05,7.756997949693526e-06,2779.372189036614,0.0001872859304351349,True,True,stable_parity_no_autograd_error
shared_trunk,20260716,0.0001,4.7000855440086085,2509632.8419676013,0.8333333333333334,141150961.45494983,9.51805269328483,141150732.9024747,9.518044490086641,1.6192059392917636e-06,8.618567739250947e-07,308.86542427199674,2.0811187094953274e-05,True,True,stable_parity_no_autograd_error
shared_trunk,20260716,3e-05,4.7000855440086085,2509632.8419676013,0.8333333333333334,141150961.45494983,9.51805269328483,141150940.88578287,9.51805195562779,1.4572459688768739e-07,7.750083585602648e-08,27.799334360988723,1.8730585312522739e-06,True,True,stable_parity_no_autograd_error
shared_trunk,20260716,1e-05,4.7000855440086085,2509632.8419676013,0.8333333333333334,141150961.45494983,9.51805269328483,141150959.1696318,9.518052609913674,1.6190594760739972e-08,8.759265996875743e-09,3.088860831302327,2.0811920393647122e-07,True,True,stable_parity_no_autograd_error
shared_trunk,20260716,3e-06,4.7000855440086085,2509632.8419676013,0.8333333333333334,141150961.45494983,9.51805269328483,141150961.25371444,9.518052670520749,1.425674906318191e-09,2.3916741304168873e-09,0.2779989969222356,1.87307916264172e-08,True,True,stable_parity_no_autograd_error
shared_trunk,20260716,1e-06,4.7000855440086085,2509632.8419676013,0.8333333333333334,141150961.45494983,9.51805269328483,141150961.42911354,9.518052691559475,1.8304012004361433e-10,1.8127175142081963e-10,0.030888895512077852,2.0812352351958066e-09,True,True,stable_parity_no_autograd_error
shared_trunk,20260716,3e-07,4.7000855440086085,2509632.8419676013,0.8333333333333334,141150961.45494983,9.51805269328483,141150961.50664613,9.518052802766816,3.662483057485773e-10,1.1502561333947695e-08,0.0027801109501623955,1.8736371763174395e-10,True,True,stable_parity_no_autograd_error
shared_trunk,20260716,1e-07,4.7000855440086085,2509632.8419676013,0.8333333333333334,141150961.45494983,9.51805269328483,141150961.97929233,9.518052774826202,3.714763964562078e-09,8.567022551159187e-09,0.000309007988169796,2.083260741026135e-11,True,True,stable_parity_no_autograd_error
shared_trunk,20260717,0.01,4.7000855440086085,2509632.8419676013,0.8333333333333334,211340054.00100583,15.5329453031719,204829598.9191058,15.20221294378331,0.030805590131386288,0.021292314685551122,13075920.954574004,0.8893270066786808,False,False,stable_parity_no_autograd_error
shared_trunk,20260717,0.003,4.7000855440086085,2509632.8419676013,0.8333333333333334,211340054.00100583,15.5329453031719,210422830.66358635,15.50317895171066,0.004340035502286352,0.0019163365916933187,1184782.2419399158,0.0802470916495604,False,False,stable_parity_no_autograd_error
shared_trunk,20260717,0.001,4.7000855440086085,2509632.8419676013,0.8333333333333334,211340054.00100583,15.5329453031719,211223308.04785132,15.529637926528894,0.0005524080785649306,0.0002129265621202364,131954.23369872477,0.008922951429511102,False,False,stable_parity_no_autograd_error
shared_trunk,20260717,0.0003,4.7000855440086085,2509632.8419676013,0.8333333333333334,211340054.00100583,15.5329453031719,211329342.72723275,15.532647639187049,5.068264898343961e-05,1.916339619055291e-05,11884.633388166745,0.0008032739234979094,True,True,stable_parity_no_autograd_error
shared_trunk,20260717,0.0001,4.7000855440086085,2509632.8419676013,0.8333333333333334,211340054.00100583,15.5329453031719,211338861.78907007,15.532912229963557,5.641202002119847e-06,2.1292296919321103e-06,1320.7671383834895,8.925927228750586e-05,True,True,stable_parity_no_autograd_error
shared_trunk,20260717,3e-05,4.7000855440086085,2509632.8419676013,0.8333333333333334,211340054.00100583,15.5329453031719,211339946.6813076,15.532942326286953,5.07805766975058e-07,1.9164974114345584e-07,118.87670143045943,8.033542969534849e-06,True,True,stable_parity_no_autograd_error
shared_trunk,20260717,1e-05,4.7000855440086085,2509632.8419676013,0.8333333333333334,211340054.00100583,15.5329453031719,211340042.07309332,15.532944969098848,5.6439431511757555e-08,2.1507386098911683e-08,13.208762323963128,8.926224632082604e-07,True,True,stable_parity_no_autograd_error
shared_trunk,20260717,3e-06,4.7000855440086085,2509632.8419676013,0.8333333333333334,211340054.00100583,15.5329453031719,211340052.92419654,15.532945281189942,5.09515005170815e-09,1.4151828361247572e-09,1.1887961533893758,8.033627718755267e-08,True,True,stable_parity_no_autograd_error
shared_trunk,20260717,1e-06,4.7000855440086085,2509632.8419676013,0.8333333333333334,211340054.00100583,15.5329453031719,211340053.898748,15.53294530720617,4.838544140011465e-10,2.597234283208081e-10,0.1320887610330317,8.926302956509355e-09,True,True,stable_parity_no_autograd_error
shared_trunk,20260717,3e-07,4.7000855440086085,2509632.8419676013,0.8333333333333334,211340054.00100583,15.5329453031719,211340053.9274638,15.53294524318331,3.4797960572676204e-10,3.862022876184488e-09,0.011887946455232168,8.033650857047899e-10,True,True,stable_parity_no_autograd_error
shared_trunk,20260717,1e-07,4.7000855440086085,2509632.8419676013,0.8333333333333334,211340054.00100583,15.5329453031719,211340054.25032228,15.532944943608129,1.1796933374419043e-09,2.3148460497328024e-08,0.0013208778297091328,8.924207303663288e-11,True,True,stable_parity_no_autograd_error
shared_trunk,20260718,0.01,4.7000855440086085,2509632.8419676013,0.8333333333333334,288876991.7965554,18.169196873252375,288478980.11450106,18.232393998006945,0.0013777894860337117,0.0034662000372237614,3862112.3321791305,0.26749599481814007,False,False,stable_parity_no_autograd_error
shared_trunk,20260718,0.003,4.7000855440086085,2509632.8419676013,0.8333333333333334,288876991.7965554,18.169196873252375,288766625.99393284,18.174884651161165,0.0003820512043419607,0.000312947125550337,347933.180865449,0.0240343767804519,False,False,stable_parity_no_autograd_error
shared_trunk,20260718,0.001,4.7000855440086085,2509632.8419676013,0.8333333333333334,288876991.7965554,18.169196873252375,288863683.3730156,18.16982884887519,4.606951719155926e-05,3.478159470146608e-05,38682.57859209698,0.002669217976215648,True,True,stable_parity_no_autograd_error
