seed,variant,epochs,initial_loss,final_loss,E_T,E_m,interface_residual,electric_cv_residual,thermal_cv_residual,state_cv_residual,port_residual,wall_time_s,finite,success,uses_target_non_pcm_sigma,uses_control_volume_physics
2026,monolithic,300,11030435.0,0.10993865132331848,0.3482836186885834,0.32392618060112,nan,0.09336652606725693,0.05788358300924301,0.0027237082831561565,0.0005662242765538394,1.2666861000002427,True,False,False,False
2026,ordered_surrogate,300,11030435.0,0.0034457531291991472,0.1758105605840683,0.04656645655632019,nan,0.09465525299310684,0.058084338903427124,0.0023035851772874594,0.0005625405465252697,1.34474900000032,True,True,False,False
2026,cv_multidomain,300,16545653.0,0.08024272322654724,0.3789690434932709,0.067311130464077,nan,0.00014313509745988995,0.16911420226097107,0.040665075182914734,0.0008819170761853456,1.541986299999735,True,False,False,True
2026,cv_hard_bc,300,107256.1796875,356.77490234375,0.34553262591362,0.06524935364723206,nan,0.06944525986909866,0.06654050946235657,0.0015338088851422071,1332.2149658203125,1.5312867999996342,True,False,False,True
2026,cv_interface_mortar,300,107258.84375,503.8779602050781,0.3844110369682312,0.4585283696651459,5.5874552726745605,0.08024745434522629,0.0462278313934803,0.00014975429803598672,1574.9244384765625,3.747533900000235,True,False,False,True
2027,monolithic,300,11550307.0,0.11009877920150757,0.3493049144744873,0.3241356909275055,nan,0.0933765396475792,0.057889170944690704,0.0026116124354302883,0.00045859438250772655,1.150515599999835,True,False,False,False
2027,ordered_surrogate,300,11550307.0,0.00341758131980896,0.17663194239139557,0.04720117524266243,nan,0.09338545799255371,0.05750104784965515,0.0019568074494600296,0.0004475970927160233,1.6315094999999928,True,True,False,False
2027,cv_multidomain,300,17325460.0,0.07629352807998657,0.43571630120277405,0.06700262427330017,nan,0.00026211218209937215,0.1289251446723938,0.04305928945541382,0.0005133382510393858,2.1886829000000034,True,False,False,True
2027,cv_hard_bc,300,129273.5234375,619.150146484375,0.3233680725097656,0.05916418507695198,nan,0.055743101984262466,0.02359287068247795,0.0010528751881793141,1549.5548095703125,1.9816184999999678,True,False,False,True
2027,cv_interface_mortar,300,129339.765625,575.5145263671875,0.3493122458457947,0.06811526417732239,110.49223327636719,0.09275677055120468,0.04716338589787483,0.002401424804702401,2656.526123046875,4.422991399999773,True,False,False,True
2028,monolithic,300,7927472.5,0.11051728576421738,0.3525693118572235,0.3244093358516693,nan,0.09338463842868805,0.05789418891072273,0.015748899430036545,0.0004352554678916931,1.4569072999997843,True,False,False,False
2028,ordered_surrogate,300,7927472.5,0.0034264784771949053,0.17565201222896576,0.0461152158677578,nan,0.09449481219053268,0.05814358964562416,0.0015648577827960253,0.000434847897849977,1.7352011000002676,True,True,False,False
2028,cv_multidomain,300,11891208.0,0.0823582336306572,0.3584116995334625,0.06707964092493057,nan,3.490367453196086e-05,0.16904330253601074,0.04081139713525772,0.00036218701279722154,1.5996138000000428,True,False,False,True
2028,cv_hard_bc,300,44947.69140625,403.7896728515625,0.3289966881275177,0.06298467516899109,nan,0.07846130430698395,0.04608655348420143,0.0014822143130004406,1374.5400390625,1.4531181000002107,True,False,False,True
2028,cv_interface_mortar,300,44950.08984375,669.4927978515625,0.37563055753707886,0.06685163080692291,106.15460205078125,0.09822908788919449,0.04743887484073639,0.0009784126887097955,3436.30859375,3.8249675000001844,True,False,False,True
