protocol,calibration_error_K,T_sw_prior_width_after_calibration,effective_T_sw_delta_K,noise,seed,true_gamma_sub,estimated_gamma_sub,relative_error,success_flag,objective_value,G_loss,I_loss,heat_residual_loss,simulator_backed,finite_result
ltp_ltd,0.04,0.02,0.04,0.0,2026,450000000.0,500000000.0,0.1111111111111111,True,0.007842759451343755,1.8140602762263177e-05,1.3052757474617535e-05,0.7818092469844183,True,True
ltp_ltd,0.04,0.02,0.04,0.0,2027,450000000.0,500000000.0,0.1111111111111111,True,0.007842759451343755,1.8140602762263177e-05,1.3052757474617535e-05,0.7818092469844183,True,True
ltp_ltd,0.04,0.02,0.04,0.0,2028,450000000.0,500000000.0,0.1111111111111111,True,0.007842759451343755,1.8140602762263177e-05,1.3052757474617535e-05,0.7818092469844183,True,True
ltp_ltd,0.04,0.02,0.04,0.0,2029,450000000.0,500000000.0,0.1111111111111111,True,0.007842759451343755,1.8140602762263177e-05,1.3052757474617535e-05,0.7818092469844183,True,True
ltp_ltd,0.04,0.02,0.04,0.0,2030,450000000.0,500000000.0,0.1111111111111111,True,0.007842759451343755,1.8140602762263177e-05,1.3052757474617535e-05,0.7818092469844183,True,True
ltp_ltd,0.04,0.02,0.04,0.02,2026,450000000.0,500000000.0,0.1111111111111111,True,0.00862225420077813,0.00023685692069034544,0.0011346096204872009,0.7818092469844183,True,True
ltp_ltd,0.04,0.02,0.04,0.02,2027,450000000.0,500000000.0,0.1111111111111111,True,0.008995643760687164,0.0003845967672662793,0.0015859090471534018,0.7818092469844183,True,True
ltp_ltd,0.04,0.02,0.04,0.02,2028,450000000.0,450000000.0,0.0,True,0.009472514995405228,0.0005232058050673188,0.0022139632905566666,0.7842327545059575,True,True
ltp_ltd,0.04,0.02,0.04,0.02,2029,450000000.0,500000000.0,0.1111111111111111,True,0.008913278839625378,0.00027026352200146367,0.0016498456955594616,0.7818092469844183,True,True
ltp_ltd,0.04,0.02,0.04,0.02,2030,450000000.0,500000000.0,0.1111111111111111,True,0.009311958381500592,0.000788281394823682,0.0014111690336654525,0.7818092469844183,True,True
ltp_ltd,0.04,0.02,0.04,0.05,2026,450000000.0,500000000.0,0.1111111111111111,True,0.012686320319969961,0.0013539980144668285,0.007028459671317899,0.7818092469844183,True,True
ltp_ltd,0.04,0.02,0.04,0.05,2027,450000000.0,500000000.0,0.1111111111111111,True,0.014862343567249818,0.0021873565216968672,0.009713789151417537,0.7818092469844183,True,True
ltp_ltd,0.04,0.02,0.04,0.05,2028,450000000.0,450000000.0,0.0,True,0.017919779623186978,0.003149957597322353,0.0138549889616101,0.7842327545059575,True,True
ltp_ltd,0.04,0.02,0.04,0.05,2029,450000000.0,500000000.0,0.1111111111111111,True,0.014661278291349583,0.0017299907502710196,0.010226390142468761,0.7818092469844183,True,True
ltp_ltd,0.04,0.02,0.04,0.05,2030,450000000.0,500000000.0,0.1111111111111111,True,0.017066520176903174,0.004900014648311032,0.008696826117495922,0.7818092469844183,True,True
ltp_ltd,0.04,0.05,0.1,0.0,2026,450000000.0,500000000.0,0.1111111111111111,True,0.007949719273253901,9.136844391205636e-05,8.051671899532493e-05,0.7818092469844183,True,True
ltp_ltd,0.04,0.05,0.1,0.0,2027,450000000.0,500000000.0,0.1111111111111111,True,0.007949719273253901,9.136844391205636e-05,8.051671899532493e-05,0.7818092469844183,True,True
ltp_ltd,0.04,0.05,0.1,0.0,2028,450000000.0,500000000.0,0.1111111111111111,True,0.007949719273253901,9.136844391205636e-05,8.051671899532493e-05,0.7818092469844183,True,True
ltp_ltd,0.04,0.05,0.1,0.0,2029,450000000.0,500000000.0,0.1111111111111111,True,0.007949719273253901,9.136844391205636e-05,8.051671899532493e-05,0.7818092469844183,True,True
ltp_ltd,0.04,0.05,0.1,0.0,2030,450000000.0,500000000.0,0.1111111111111111,True,0.007949719273253901,9.136844391205636e-05,8.051671899532493e-05,0.7818092469844183,True,True
ltp_ltd,0.04,0.05,0.1,0.02,2026,450000000.0,500000000.0,0.1111111111111111,True,0.008731953017244755,0.0003163506955248087,0.001195019703751527,0.7818092469844183,True,True
