event_id,protocol_id,context_id,branch_label,detected,resolved,reason,coarse_pre_point_id,coarse_post_point_id,coarse_pre_voltage_V,coarse_post_voltage_V,coarse_mean_state_change,coarse_terminal_current_relative_jump,coarse_temperature_rise_field_relative_jump,coarse_mean_state_trigger,coarse_current_trigger,coarse_temperature_trigger,refinement_solve_count,refined_pre_point_id,refined_post_point_id,refined_pre_voltage_V,refined_post_voltage_V,interval_lower_V,interval_upper_V,switching_voltage_estimate_V,interval_width_V,refined_mean_state_jump,refined_terminal_current_relative_jump,refined_temperature_rise_field_relative_jump
,G0_heating,G0,heating,False,False,no_coarse_jump_candidate,,,,,,,,,,,,,,,,,,,,,,
G0_cooling_event_01,G0_cooling,G0,cooling,True,True,resolved,G0_cooling_coarse_028,G0_cooling_coarse_029,0.85,0.825,0.8625904907200258,0.989307172820727,0.9896261169009226,True,True,True,4,G0_cooling_event_refine_02,G0_cooling_event_reachability_confirmation,0.84375,0.840625,0.840625,0.84375,0.8421875,0.0031250000000000444,0.8535974614415495,0.9885558656227384,0.9886022290709165
,G1_heating,G1,heating,False,False,no_coarse_jump_candidate,,,,,,,,,,,,,,,,,,,,,,
G1_cooling_event_01,G1_cooling,G1,cooling,True,True,resolved,G1_cooling_coarse_019,G1_cooling_coarse_020,1.075,1.05,0.27982875758657577,0.3659717333539354,0.4019514482888387,False,False,True,4,G1_cooling_event_refine_03,G1_cooling_event_reachability_confirmation,1.065625,1.0625,1.0625,1.065625,1.0640625,0.0031250000000000444,0.2735678579182046,0.3415607648915308,0.3777138351695051
