candidate_fallback_steps,candidate_growth_events,candidate_local_pass,case_id,device_voltage_nrmse,event,growth_gate_pass,maximum_time_grid_difference_s,passed,reference_local_pass,regime,reversal_sequence_equal,terminal_current_nrmse,time_grid_equal,time_grid_tolerance_s
0,23,True,B3-9V-AA-CORRECTNESS,8.140401504118153e-05,"{'sequence_equal': True, 'maximum_absolute_error_s': 4.586568736536978e-10, 'maximum_relative_error': 2.677492524812322e-05}",True,2.3852447794681098e-18,False,True,quiescent_9V,False,0.00038932776393031324,True,1.7560156249987654e-17
0,10,True,B3-12P5V-AA-CORRECTNESS,1.457017507902997e-07,"{'sequence_equal': True, 'maximum_absolute_error_s': 1.3388475271741262e-12, 'maximum_relative_error': 6.766168019855958e-07}",True,0.0,True,True,transition_12p5V,True,1.1501689249825554e-06,True,1.9999999999999998e-18
