branch,component,sequence_index,stage,grid,current_A,current_mA,temperature_mean_K,temperature_min_K,temperature_max_K,device_voltage_V,active_area_mean_conductive_state,transition_area_fraction,transition_bearing,pattern_amplitude_K,alpha_tau,classification,stable,maximum_eta,maximum_ritz_residual_rate_per_s,uniform_mass_overlap,x_gradient_energy_fraction,y_gradient_energy_fraction,equilibrium_manifest,equilibrium_npz,spectrum_root,arclength_step,step_reductions,corrector_newton_iterations
heating,lower_current,10,C,L1,0.0002678367211579488,0.2678367211579488,333.96262846407626,333.9626284640762,333.9626284640764,6.893384356026797,0.22591217874528666,1.0,True,4.067369485963012e-14,0.3766290716376575,POSITIVE_UNSTABLE,False,6.538375138841864e-08,0.2715534835889967,7.40440336794044e-19,0.0355192924155535,0.9644807075844465,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_5_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_5_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_lower_current_arc_5_L1/lower_current_5_k6,0.125,0,3
heating,higher_current,11,C,L1,0.00020708552509456988,0.20708552509456987,331.7042798801896,331.06109677306563,337.38893972248934,6.669136602803858,0.10063707574948152,0.184,True,1.0014155738041624,1.3417977862822155,POSITIVE_UNSTABLE,False,1.5783089360715524e-07,0.8795582982197399,0.058553782572056415,0.2210759027446299,0.7789240972553702,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_5_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_5_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_higher_current_arc_5_L1/higher_current_5_k6,0.1953125,0,4
heating,lower_current,12,C,L1,0.0002756469057106007,0.2756469057106007,334.17210024653025,334.17210024653025,334.17210024653036,6.854612229055713,0.24498395626127395,1.0,True,2.2306795078058504e-14,0.49649837209572395,POSITIVE_UNSTABLE,False,7.70932461295255e-08,0.32018565932827125,8.604238409033915e-19,0.03212075242055129,0.9678792475794488,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_6_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_6_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_lower_current_arc_6_L1/lower_current_6_k6,0.15625,0,3
heating,higher_current,13,C,L1,0.00019709789223808113,0.19709789223808113,331.2101019383728,330.5062844853955,338.0427286440152,6.490586909775415,0.0869669497984151,0.136,True,1.1595941951081092,1.6965186502077254,POSITIVE_UNSTABLE,False,1.3226386539768005e-07,0.9319345073693558,0.07384810365497786,0.22817772531132377,0.7718222746886763,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_6_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_6_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_higher_current_arc_6_L1/higher_current_6_k6,0.2,0,4
heating,lower_current,14,C,L1,0.00028540996757207257,0.2854099675720726,334.418675507904,334.4186755079039,334.418675507904,6.798105795440571,0.2687882503123311,1.0,True,1.850682413973638e-14,0.6488931309428417,POSITIVE_UNSTABLE,False,9.689675912965685e-08,0.4024341205788167,9.586327633488982e-19,0.02853268181755945,0.9714673181824406,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_7_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_7_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_lower_current_arc_7_L1/lower_current_7_k6,0.1953125,0,3
heating,higher_current,15,C,L1,0.00018711225503752926,0.18711225503752926,330.67674837379565,329.8960194044892,338.65289327406276,6.24977858755081,0.07602925553174274,0.12,True,1.338686078850133,2.0245336989017093,POSITIVE_UNSTABLE,False,1.1326645002006701e-07,0.9523834571419741,0.09115992193283214,0.23205482346686324,0.7679451765331368,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_7_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_7_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_higher_current_arc_7_L1/higher_current_7_k6,0.2,0,3
heating,lower_current,16,C,L1,0.0002954076713437464,0.2954076713437464,334.65494976739575,334.6549497673949,334.65494976739654,6.732796216957892,0.2929241137459454,1.0,True,4.469420889324472e-13,0.8065763193855389,POSITIVE_UNSTABLE,False,1.1451941241720063e-07,0.4756249789907929,9.835881746056253e-19,0.02548009755205361,0.9745199024479463,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_8_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_8_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_lower_current_arc_8_L1/lower_current_8_k6,0.2,0,3
heating,higher_current,17,C,L1,0.00017712905197063422,0.17712905197063422,330.10101878025,329.22964573257514,339.2685523053025,5.932453524934466,0.0676711482186451,0.088,False,1.5390434658671521,2.297345317810956,POSITIVE_UNSTABLE,False,1.0173917336019134e-07,0.9707335240471876,0.11384628685927599,0.23111051792383858,0.7688894820761614,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_8_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_8_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_higher_current_arc_8_L1/higher_current_8_k6,0.2,0,3
cooling,canonical_plus_seed,0,C,L1,0.00018402835137529494,0.18402835137529494,328.82436311974016,328.6987941578433,328.98857673088867,4.2809643013094085,0.4522151207391592,1.0,True,0.09882424700784177,0.007984065087231335,POSITIVE_UNSTABLE,False,1.152314260166243e-07,0.4785821322464638,0.0006425223674513497,0.07494629725493565,0.9250537027450643,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/cooling_a1_pplus_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/cooling_a1_pplus_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/S/spectra/cooling_a1_pplus_L1/a1_p1_k6,,,
cooling,canonical_plus_seed,1,C,L1,0.00018281406042558438,0.18281406042558437,328.79553659399403,328.5712691008938,329.1788549173683,4.276916865926899,0.44869845754839605,1.0,True,0.19793701283944498,0.03172301477865169,POSITIVE_UNSTABLE,False,1.1156064402924226e-07,0.463336545766611,0.002658120788100076,0.1149489539600907,0.8850510460399094,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/cooling_a2_pplus_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/cooling_a2_pplus_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/S/spectra/cooling_a2_pplus_L1/a2_p1_k6,,,
