branch,amplitude_level,amplitude_fraction,target_amplitude_K,orientation,corrector_success,current_A,residual_inf,update_inf,nonlinear_iterations,jv_evaluations,full_residual_evaluations,failure_detail,mirror_pair_error_K,mirror_pair_pass,classification,alpha_tau,pattern_amplitude_K
heating,1,0.05,0.09881422924901186,1,True,0.00024153615009681766,5.28683799641287e-14,3.4931890773152944e-11,4,118,351,,2.2976765739705053e-10,True,POSITIVE_UNSTABLE,0.005616459693010149,0.09881830876571532
heating,1,0.05,0.09881422924901186,-1,True,0.00024153615009586514,5.404283741200231e-14,3.4965861275825635e-11,4,106,315,,2.2976765739705053e-10,True,POSITIVE_UNSTABLE,0.0056164586685833245,0.09881830898812674
heating,2,0.1,0.1976284584980237,1,True,0.00024088924610052244,5.838477100717141e-14,3.510263343511652e-12,4,111,330,,7.549952474465531e-10,True,POSITIVE_UNSTABLE,0.022534294512501347,0.19775600608332514
heating,2,0.1,0.1976284584980237,-1,True,0.00024088924609459267,6.018204679861436e-14,3.4786459556897857e-12,4,110,327,,7.549952474465531e-10,True,POSITIVE_UNSTABLE,0.022534295619585754,0.19775600675146066
cooling,1,0.05,0.09881422924901186,1,True,0.00018402835137529494,6.097391583543823e-14,8.537923300262901e-10,4,136,405,,7.453338024533447e-11,True,POSITIVE_UNSTABLE,0.007984065087231335,0.09882424700784177
cooling,1,0.05,0.09881422924901186,-1,True,0.0001840283513747268,6.771814875580335e-14,8.538250652483373e-10,4,126,375,,7.453338024533447e-11,True,POSITIVE_UNSTABLE,0.007984068908579743,0.09882424707888471
cooling,2,0.1,0.1976284584980237,1,True,0.00018281406042558438,6.073368590291863e-14,1.6096769284146615e-10,4,117,348,,2.3367254705517257e-11,True,POSITIVE_UNSTABLE,0.03172301477865169,0.19793701283944498
cooling,2,0.1,0.1976284584980237,-1,True,0.00018281406042525662,6.232632138147451e-14,1.6096743123434927e-10,4,118,351,,2.3367254705517257e-11,True,POSITIVE_UNSTABLE,0.031723017274580066,0.197937012859102
