branch,current_A,alpha_tau,absolute_alpha_tau,leading_spectral_gap_tau,operator_reflection_equivariance,static_dynamic_action_relative_error,dynamic_near_null_tau,fi_analytic_fd_relative_error,bracket_delta_alpha_tau,complex_to_real_mass_ratio,reflection_odd_residual,reflection_even_residual,transverse_first_moment,eigenvalue_real_per_s,eigenvalue_imag_per_s,uniform_mass_overlap,x_gradient_energy_fraction,y_gradient_energy_fraction,participation_ratio,dominant_spatial_axis,dominant_transverse_mode_index,passed,k6_k10_alpha_tau_difference,lower_current_A,upper_current_A,wording
heating,0.00024375,0.027182480880650735,0.027182480880650735,0.14259354128058094,2.0191416357187465e-11,1.3597236513634012e-16,0.027182475099809887,4.747744998123355e-12,0.08359367784617258,0.0,1.5132852761733325e-08,2.0,7.101047312214916e-18,112894.98107689619,0.0,3.137539955114688e-19,0.05000482353504835,0.9499951764649517,0.6655890599087322,y_transverse,1,True,1.4141465776162931e-14,0.0002375,0.00024375,candidate linear-stability boundary
cooling,0.0001875,0.03182493770248669,0.03182493770248669,0.1426434324793028,1.924085883642231e-11,1.2159540725569072e-16,0.03182484492704137,1.587599069350787e-11,0.06458521529528904,0.0,9.649848392644776e-09,1.9999999999999998,7.101056396816277e-18,132176.1525546826,0.0,5.185151400458906e-19,0.04974870958554127,0.9502512904144587,0.6655958366158973,y_transverse,1,True,2.304822999121825e-13,0.00018125,0.0001875,candidate linear-stability boundary
