case_id,rejection_index,attempted_outer_interval_s,at_outer_floor,accepted_bundle,path,root_status,root_failure_code,reduced_residual_inf,full_scaled_residual_inf,full_fixed_point_defect_inf,auxiliary_scaled_residual_inf,root_iterations,map_or_residual_evaluations,krylov_matvecs,backtracks,path_integrity_pass,current_relative_imbalance,power_relative_imbalance,embedded_e_max,attempt_wall_time_s
R0-A-QUIESCENT-9V-T1,10,9.765625e-12,True,False,second_half_step,,,,,,,,,,,,,,,0.02030689991079271
R0-B-CRITICAL-TRANSITION-T4,0,2.5e-09,False,False,full_step,PASS,,1.2698513715679473e-13,1.2698513715679473e-13,3.397282455352979e-14,7.930164461608261e-17,1,5,2,0,True,6.876235623795062e-16,8.595294529743832e-17,0.17635990677170266,0.14075009990483522
R0-B-CRITICAL-TRANSITION-T4,0,2.5e-09,False,False,first_half_step,PASS,,1.2463385248863105e-15,1.2463385248863105e-15,4.399258735077183e-15,9.870425969953474e-17,1,5,2,0,True,1.5987017325120213e-15,1.2789613860096165e-15,0.17635990677170266,0.14075009990483522
R0-B-CRITICAL-TRANSITION-T4,0,2.5e-09,False,False,second_half_step,PASS,,2.2647450922293833e-15,2.2647450922293833e-15,2.886579864025407e-15,1.2338147754829665e-16,1,5,2,0,True,0.0,3.171476001166066e-16,0.17635990677170266,0.14075009990483522
R0-B-CRITICAL-TRANSITION-T4,1,1.25e-09,False,False,full_step,PASS,,1.2463385248863105e-15,1.2463385248863105e-15,4.399258735077183e-15,9.870425969953474e-17,1,5,2,0,True,1.5987017325120213e-15,1.2789613860096165e-15,0.1314659459337124,0.07926719996612519
R0-B-CRITICAL-TRANSITION-T4,1,1.25e-09,False,False,first_half_step,PASS,,1.4652762162760637e-09,1.4652762162760637e-09,8.034788667732329e-10,1.3665947406513677e-16,0,1,0,0,True,1.912949550058554e-15,1.4028296700429389e-15,0.1314659459337124,0.07926719996612519
R0-B-CRITICAL-TRANSITION-T4,1,1.25e-09,False,False,second_half_step,PASS,,4.315136789112763e-09,4.315136789112763e-09,1.4886663013413681e-09,1.0249491593463132e-16,0,1,0,0,True,5.198463408432766e-16,3.11907804505966e-16,0.1314659459337124,0.07926719996612519
R0-B-CRITICAL-TRANSITION-T4,2,6.25e-10,False,False,full_step,PASS,,1.4652762162760637e-09,1.4652762162760637e-09,8.034788667732329e-10,1.3665947406513677e-16,0,1,0,0,True,1.912949550058554e-15,1.4028296700429389e-15,0.06974742939952933,0.06243609997909516
R0-B-CRITICAL-TRANSITION-T4,2,6.25e-10,False,False,first_half_step,PASS,,6.754527778839504e-11,6.754527778839504e-11,5.5992543934735295e-11,1.268920797577762e-16,0,1,0,0,True,3.5398430342675493e-16,2.8318744274140395e-16,0.06974742939952933,0.06243609997909516
R0-B-CRITICAL-TRANSITION-T4,2,6.25e-10,False,False,second_half_step,PASS,,2.232593782848509e-10,2.232593782848509e-10,1.4257739433531924e-10,8.987519723156029e-17,0,1,0,0,True,3.846266537679865e-16,6.410444229466443e-16,0.06974742939952933,0.06243609997909516
R0-B-CRITICAL-TRANSITION-T4,3,3.125e-10,False,False,full_step,PASS,,6.754527778839504e-11,6.754527778839504e-11,5.5992543934735295e-11,1.268920797577762e-16,0,1,0,0,True,3.5398430342675493e-16,2.8318744274140395e-16,0.027814477361408407,0.05800630000885576
R0-B-CRITICAL-TRANSITION-T4,3,3.125e-10,False,False,first_half_step,PASS,,2.680110175542273e-12,2.680110175542273e-12,2.8387292516640628e-12,1.440349827424966e-16,0,1,0,0,True,8.883226458964715e-16,5.181882101062748e-16,0.027814477361408407,0.05800630000885576
R0-B-CRITICAL-TRANSITION-T4,3,3.125e-10,False,False,second_half_step,PASS,,9.511877263964136e-12,9.511877263964136e-12,8.771983139865824e-12,9.602334148586271e-17,0,1,0,0,True,2.1407820491307522e-16,7.135940163769174e-17,0.027814477361408407,0.05800630000885576
R0-B-CRITICAL-TRANSITION-T4,4,1.5625e-10,False,True,full_step,PASS,,2.680110175542273e-12,2.680110175542273e-12,2.8387292516640628e-12,1.440349827424966e-16,0,1,0,0,True,8.883226458964715e-16,5.181882101062748e-16,0.009078076583440287,0.053889499977231026
R0-B-CRITICAL-TRANSITION-T4,4,1.5625e-10,False,True,first_half_step,PASS,,1.0277954571372739e-13,1.0277954571372739e-13,1.213473765915296e-13,1.0297952038507122e-16,0,1,0,0,True,8.267340423340952e-16,8.267340423340952e-16,0.009078076583440287,0.053889499977231026
R0-B-CRITICAL-TRANSITION-T4,4,1.5625e-10,False,True,second_half_step,PASS,,3.592696762651973e-13,3.592696762651973e-13,4.0545344859310717e-13,1.0297952749532187e-16,0,1,0,0,True,1.4118976839281084e-15,1.0403456618417644e-15,0.009078076583440287,0.053889499977231026
