case_id,branch_label,branch_value,device_voltage_V,contact_overlap_nm,sink_amplitude,phase_width_multiplier,transition_width_K,joule_feedback_multiplier,cold_valid,hot_valid,valid,unique,cold_transition_fraction,hot_transition_fraction,cold_mean_effective_state,hot_mean_effective_state,cold_Tmean_K,hot_Tmean_K,cold_Tmax_K,hot_Tmax_K,cold_current_A,hot_current_A,cold_iterations,hot_iterations,cold_scaled_residual,hot_scaled_residual,cold_current_imbalance,hot_current_imbalance,cold_terminal_ledger,hot_terminal_ledger,cold_state_consistent_sink_ledger,hot_state_consistent_sink_ledger,cold_raw_subsolve_sink_ledger,hot_raw_subsolve_sink_ledger,cold_hot_temperature_rise_relative_l2_difference,cold_hot_terminal_current_relative_difference,transition_bearing_unique_candidate,selected_for_branch
heating_0.95V,heating,1.0,0.95,20.0,0.0,1.0,3.952569169960474,1.0,True,True,True,True,0.0,0.0,0.0032632042156925827,0.003263204238641276,325.0886399838496,325.08863999779345,325.0892013544037,325.08920136843443,1.90647320461233e-05,1.9064732061510792e-05,38,58,8.599579927640465e-08,7.398589385875765e-08,0.0,1.244020762872497e-15,1.8707079156038628e-16,1.1224247484563885e-15,8.589726430703119e-08,7.060474192468312e-08,1.1029693870388211e-12,1.1742433576754141e-12,1.5730803697438368e-07,8.071181829101504e-10,False,False
heating_1.15V,heating,1.0,1.15,20.0,0.0,1.0,3.952569169960474,1.0,True,True,True,False,0.0,0.0,0.0033323297696741987,0.9969814510205836,325.130204032266,347.95524746370097,325.13102765791774,348.7119667033035,2.313402839836136e-05,0.004077749688623851,38,47,9.009490320163724e-08,1.4650677896576549e-08,3.075589185945704e-15,4.2541195719206527e-16,1.78295025272215e-15,3.6992344103657854e-16,9.003130668542624e-08,9.808223634207362e-09,6.845255434553567e-13,4.069157851402349e-15,0.9943312929895799,0.9943267659457125,False,False
heating_1.35V,heating,1.0,1.35,20.0,0.0,1.0,3.952569169960474,1.0,True,True,True,False,0.0,0.0,0.0034169843687014926,0.9999624237067357,325.1799502599626,356.74849228033673,325.18108694247957,357.87454449276595,2.723600556954456e-05,0.00480415545488202,38,38,9.535805981985174e-08,1.0181032172016692e-08,6.219949875479956e-16,0.0,7.37179244501328e-16,1.3373634186520794e-15,9.526416254945547e-08,4.6214612136705735e-09,5.385094381079306e-13,3.878353914091015e-15,0.9943360681761403,0.9943307401633169,False,False
cooling_0.95V,cooling,-1.0,0.95,20.0,0.0,1.0,3.952569169960474,1.0,True,True,True,False,1.0,0.0,0.11443511654532054,0.9970581671755167,325.1595912880903,340.76482445991985,325.1605995214251,341.29464677120905,3.432498012883037e-05,0.0033900003316592923,40,46,9.02148822892125e-08,2.3792844383500784e-08,2.566394100850678e-15,3.1982361841092317e-15,2.0780519035228173e-15,2.5585889472873852e-15,8.993613613275608e-08,1.723593320368608e-08,6.358838824775778e-13,8.753067451246262e-15,0.9898830862191157,0.9898746381207493,False,False
cooling_1.15V,cooling,-1.0,1.15,20.0,0.0,1.0,3.952569169960474,1.0,True,True,True,False,1.0,0.0,0.11861786823043105,0.99992990187705,325.2398946478675,348.2251378413759,325.2413917364002,349.0504754156536,4.262336165769545e-05,0.00412560809759758,42,40,7.028957500510084e-08,1.3381092783722246e-08,1.5898003617016394e-16,4.625247426399193e-15,1.3824350971318606e-16,3.4735059723946506e-15,7.002827547381299e-08,1.1203030314033792e-08,4.593831827767064e-13,4.021954283825383e-15,0.9896783699629704,0.9896685868726804,False,False
cooling_1.35V,cooling,-1.0,1.35,20.0,0.0,1.0,3.952569169960474,1.0,True,True,True,False,1.0,0.0,0.12411421033212758,0.999999014924001,325.3417730672525,356.75265773305057,325.34387188245313,357.8801582303791,5.172844180843337e-05,0.0048047841938728235,44,38,6.945783187825912e-08,1.0768165195371133e-08,1.3099686248290697e-16,3.0688474135021987e-15,1.9406942590060293e-16,3.075533355579545e-15,6.917294330401091e-08,4.389788435578018e-09,2.5947082242903877e-13,3.744127563314226e-15,0.9892442065044357,0.9892339718661248,False,False
