dt_ps,accepted_step_count,accepted_step_fraction
156.25,42679,0.6891267842149454
312.5,15107,0.2439288251630821
625.0,3281,0.052977459148743786
1250.0,490,0.00791190337789834
2500.0,81,0.0013078860685913584
5000.0,27,0.0004359620228637861
10000.0,267,0.004311180003875218
