call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
272,arpack_matvec,central_difference,1.0,0.002017923548851671,0.22536735139544903,77621808.5006087,333.2386456274473,333.2426631494595,333.23862730236175,333.24264482437394,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.710505431213761e-16,0.0016294999950332567,0.0015954999980749562,0.0,0.0,3.4999415256009796e-05,3.4999419141764795e-05,6.964402068350138,6.964401295138444,7.732116937830824e-07,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.0034564999950816855,0.0,,
273,arpack_matvec,central_difference,1.0,0.002017923548851671,0.22096900128202968,37840633.97844042,333.2386882621816,333.2426631494595,333.23862730236175,333.2426021896396,2,sparse_direct,not_applicable,1.452056481007372e-16,2.710505431213761e-16,0.0024316999915754423,0.00218460000178311,0.0,0.0,3.499941248931131e-05,3.499942205155095e-05,6.964402618885112,6.9644007161312125,1.9027538993299231e-06,0.0,0.0,0.0,True,0.005025299993576482,0.0,,
274,arpack_matvec,central_difference,1.0,0.002017923548851671,0.31555393741020443,95202664.45634311,333.2394032226139,333.2426631494595,333.23862730236175,333.24188722920735,2,sparse_direct,not_applicable,1.645664011808355e-16,2.710505431213761e-16,0.0017365999956382439,0.001663100003497675,0.0,0.015625,3.499941331928056e-05,3.499942094284492e-05,6.964402453732628,6.964400936748379,1.5169842493278907e-06,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.003645899996627122,0.015625,,
275,arpack_matvec,central_difference,1.0,0.002017923548851671,0.24884655567899602,49318917.47991011,333.23862730236175,333.24191501276465,333.2393754390566,333.2426631494595,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.0020259000011719763,0.001675399995292537,0.0,0.0,3.4999409321524315e-05,3.499942509078689e-05,6.964403249231294,6.964400111365365,3.1378659288705535e-06,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.003956000000471249,0.0,,
276,arpack_matvec,central_difference,1.0,0.002017923548851671,0.23293336279883106,78396091.65388516,333.23906066680496,333.2426631494595,333.23862730236175,333.2422297850164,2,sparse_direct,not_applicable,3.4849355544176928e-16,2.710505431213761e-16,0.0016238999960478395,0.001583100005518645,0.0,0.0,3.499940996119085e-05,3.4999424421938154e-05,6.964403121946415,6.964400244456989,2.877489425401336e-06,3.872150616019659e-17,1.1616451848058975e-16,1.5488602464078636e-16,True,0.003434199999901466,0.0,,
277,arpack_matvec,central_difference,1.0,0.002017923548851671,0.298421477720281,59392125.9922232,333.2389545341668,333.2426631494595,333.23862730236175,333.24233591765443,2,sparse_direct,not_applicable,2.323290369611795e-16,3.097720492815727e-16,0.0023117999953683466,0.00210759999754373,0.0,0.0,3.4999410319980624e-05,3.499942402719775e-05,6.964403050552165,6.964400323004858,2.7275473071242118e-06,7.744301232039318e-17,1.1616451848058975e-16,3.872150616019659e-17,True,0.004757100003189407,0.0,,
278,arpack_matvec,central_difference,1.0,0.002017923548851671,0.2848071312479077,70364542.38928877,333.23862730236175,333.24181239181974,333.2394780600015,333.2426631494595,2,sparse_direct,not_applicable,1.9360753080098294e-16,3.872150616019659e-16,0.0016853999986778945,0.001636300003156066,0.015625,0.0,3.4999412142759944e-05,3.499942215414376e-05,6.9644026878440775,6.964400695716662,1.992127415029188e-06,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.0035681000008480623,0.015625,,
279,arpack_matvec,central_difference,1.0,0.002017923548851671,0.264033505553795,54648576.69949188,333.23885776448464,333.24266314945953,333.2386273023618,333.2424326873366,2,sparse_direct,not_applicable,3.097720492815727e-16,2.323290369611795e-16,0.0018684999959077686,0.001601200012373738,0.0,0.0,3.4999409914832575e-05,3.499942447444445e-05,6.964403131171076,6.964400234008964,2.897162111992202e-06,7.744301232039318e-17,3.872150616019659e-17,1.1616451848058975e-16,True,0.0037026999925728887,0.0,,
280,arpack_matvec,central_difference,1.0,0.002017923548851671,0.22631251923916595,59041108.30311999,333.2386273023618,333.24233619894295,333.2389542528783,333.24266314945953,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.710505431213761e-16,0.0015917999990051612,0.0015835999947739765,0.0,0.0,3.4999411696012786e-05,3.499942268525532e-05,6.964402776740632,6.964400590032813,2.1867078183746003e-06,7.744301232039318e-17,1.1616451848058975e-16,3.872150616019659e-17,True,0.003409299999475479,0.0,,
281,arpack_matvec,central_difference,1.0,0.002017923548851671,0.2543950068249771,55020229.57766872,333.2390958165272,333.24266314945953,333.2386273023618,333.242194635294,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.323290369611795e-16,0.0015860999992582947,0.0027006000018445775,0.0,0.0,3.4999410105459996e-05,3.4999424278461907e-05,6.964403093238831,6.964400273006773,2.8202320576653506e-06,1.5488602464078636e-16,7.744301232039318e-17,2.323290369611795e-16,True,0.004533799990895204,0.0,,
282,arpack_matvec,central_difference,1.0,0.002017923548851671,0.23966156582134684,65090485.79682218,333.2388240128711,333.2426631494594,333.2386273023617,333.24246643895015,2,sparse_direct,not_applicable,1.9360753080098294e-16,3.097720492815727e-16,0.0017553000070620328,0.0016503000078955665,0.015625,0.0,3.499941180116048e-05,3.499942254930603e-05,6.964402755817683,6.96440061708484,2.1387328432709296e-06,1.1616451848058975e-16,7.744301232039318e-17,1.9360753080098294e-16,True,0.0037357999972300604,0.015625,,
283,arpack_matvec,central_difference,1.0,0.002017923548851671,0.2371166930864959,43514629.02296631,333.23862730236175,333.2425836929226,333.2387067588986,333.2426631494595,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.9360753080098294e-16,0.0022052999993320554,0.0016389000084018335,0.0,0.0,3.499941034473945e-05,3.499942408755385e-05,6.964403045625498,6.964400310994829,2.7346306685771538e-06,7.744301232039318e-17,7.744301232039318e-17,1.5488602464078636e-16,True,0.004085499997017905,0.0,,
